"УИК №1365"	"УИК №1366"	"УИК №1367"	"УИК №1368"	"УИК №1369"	"УИК №1370"	"УИК №1371"	"УИК №1372"	"УИК №1373"	"УИК №1374"	"УИК №1375"	"УИК №1376"	"УИК №1377"	"УИК №1378"	"УИК №1379"	"УИК №1380"	"УИК №1381"	"УИК №1382"	"УИК №1383"	"УИК №1384"	"УИК №1385"	"УИК №1386"	"УИК №1387"	"УИК №1388"	"УИК №1389"	"УИК №1390"	"УИК №1391"	"УИК №1392"	"УИК №1393"	"УИК №1394"	"УИК №1395"	"УИК №1396"	"УИК №1397"	"УИК №1398"	"УИК №1399"	"УИК №1400"	"УИК №1401"	"УИК №1402"	"УИК №1403"	"УИК №1404"	"УИК №1405"	"УИК №1406"	"УИК №1407"	"УИК №1408"	"УИК №1409"	"УИК №1410"	"УИК №1411"	"УИК №1412"	"УИК №1413"	"УИК №1414"	"УИК №1415"	"УИК №1416"	"УИК №1417"	"УИК №1418"	"УИК №1419"	"УИК №1420"	"УИК №1421"	"УИК №1422"	"УИК №1423"	"УИК №1424"	
1404	279	1233	1267	1411	1328	1228	1099	628	1296	1303	1259	1326	1169	1260	1388	1231	1200	1336	1118	1204	1321	477	506	563	564	518	489	551	505	495	566	583	959	538	765	1072	612	771	973	602	395	354	495	683	537	582	580	358	172	294	566	620	281	1380	1350	782	348	860	863	
1270	250	1080	1100	1280	1180	1090	980	550	1170	1150	1100	1200	1050	1150	1160	1100	1100	1200	1050	1100	1100	450	450	500	500	500	450	500	450	450	520	500	900	500	700	1000	560	700	800	500	300	300	450	600	500	500	500	300	150	300	500	550	250	1200	1200	750	300	750	800	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
901	181	722	839	868	869	697	740	406	856	838	688	763	756	823	798	778	807	905	731	734	812	283	308	329	315	273	259	332	294	265	409	339	609	275	485	713	384	441	567	313	256	254	303	487	341	397	315	227	106	150	313	378	168	902	900	427	238	569	523	
29	14	35	30	27	14	14	11	11	15	42	54	39	17	17	29	17	12	15	10	22	27	41	12	42	24	48	42	37	13	20	0	47	45	86	14	33	33	96	142	82	39	19	54	13	44	38	38	27	19	39	53	47	21	52	28	34	23	60	49	
340	55	323	231	385	297	379	229	133	299	270	358	398	277	310	333	305	281	280	309	344	261	126	130	129	161	179	149	131	143	165	111	114	246	139	201	254	143	163	91	105	5	27	93	100	115	65	147	46	25	111	134	125	61	246	272	289	39	121	228	
29	14	35	30	27	14	14	11	11	15	42	54	39	17	17	29	17	12	15	10	22	27	41	12	42	24	48	42	37	13	20	0	47	45	86	14	33	33	96	142	82	39	19	54	13	44	38	38	27	19	39	53	47	21	52	28	34	23	60	49	
900	181	722	839	868	869	697	740	406	856	838	688	763	756	823	798	778	807	905	731	734	812	283	308	329	315	273	259	332	294	265	409	339	609	275	485	713	384	441	567	313	256	254	303	487	341	397	315	227	106	150	313	378	168	902	900	427	238	569	523	
10	5	7	16	14	17	12	11	4	14	9	13	13	13	13	14	13	14	21	3	13	5	3	7	3	7	0	4	4	7	7	4	5	8	2	1	11	5	5	9	10	4	1	2	2	3	10	5	2	0	2	7	6	0	21	20	8	7	11	13	
919	190	750	853	881	866	699	740	413	857	871	729	789	760	827	813	782	805	899	738	743	834	321	313	368	332	321	297	365	300	278	405	381	646	359	498	735	412	532	700	385	291	272	355	498	382	425	348	252	125	187	359	419	189	933	908	453	254	618	559	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

8	2	4	3	1	3	6	5	1	9	6	3	3	7	7	3	7	3	9	6	11	8	3	0	0	6	5	4	3	1	0	1	3	6	4	2	2	1	2	5	4	3	0	0	4	1	4	0	0	0	0	3	4	2	4	2	0	0	3	7	
135	18	130	102	141	144	120	119	59	132	142	116	113	106	180	136	135	150	138	119	114	131	48	54	44	42	39	37	45	25	32	56	46	77	46	62	61	49	57	70	46	26	60	36	67	50	53	53	23	10	27	23	48	23	150	140	49	25	108	95	
69	14	47	69	37	47	43	41	27	43	50	64	53	44	62	52	54	50	55	43	61	58	27	16	25	27	19	18	31	18	17	29	20	55	42	43	53	23	35	42	21	12	9	22	25	31	21	34	13	11	14	22	26	18	59	59	39	11	31	34	
669	145	554	615	673	638	501	547	308	640	640	512	598	561	551	583	556	572	654	540	535	615	231	231	293	248	252	226	273	247	221	288	307	489	253	383	605	330	432	563	306	248	192	286	391	289	336	258	214	103	146	304	330	142	695	685	360	209	456	407	
12	2	5	37	10	15	8	16	6	13	12	17	9	16	13	12	11	13	11	10	7	8	4	6	2	3	4	4	4	0	3	23	3	6	5	2	5	3	4	6	6	2	4	7	4	3	3	1	1	0	0	4	3	0	12	5	3	2	8	3	
9	6	5	8	4	10	6	4	5	5	6	5	3	18	7	14	5	5	12	5	2	3	3	1	4	4	1	3	3	1	2	3	0	8	1	2	2	0	0	6	1	0	2	2	3	4	4	2	1	0	0	3	2	3	7	4	1	3	1	2	
7	1	2	8	9	6	7	5	4	10	9	5	6	5	4	6	7	1	11	9	10	4	1	2	0	2	1	1	3	3	2	4	0	3	4	2	5	1	2	6	0	0	4	1	2	2	4	0	0	1	0	0	4	0	3	5	0	1	5	10	
10	2	3	11	6	3	8	3	3	5	6	7	4	3	3	7	7	11	9	6	3	7	4	3	0	0	0	4	3	5	1	1	2	2	4	2	2	5	0	2	1	0	1	1	2	2	0	0	0	0	0	0	2	1	3	8	1	3	6	1	
