"УИК №266"	"УИК №267"	"УИК №268"	"УИК №269"	"УИК №270"	"УИК №271"	"УИК №272"	"УИК №273"	"УИК №274"	"УИК №275"	"УИК №276"	"УИК №277"	"УИК №278"	
1845	1788	1725	1541	239	2029	1965	1805	1761	72	210	1169	105	
1800	1800	1700	1500	240	1900	1800	1800	1800	70	200	1200	100	
0	0	0	0	0	89	0	0	0	0	0	0	0	
1093	993	1087	958	156	1179	1209	1065	1142	47	123	703	38	
67	33	39	17	0	25	34	16	21	0	3	36	0	
640	774	574	525	84	607	557	719	637	23	74	461	62	
67	33	39	17	0	114	34	16	21	0	3	36	0	
1076	993	1087	958	156	1177	1207	1064	1142	47	123	703	38	
14	7	15	11	0	28	21	11	21	0	1	7	0	
1129	1019	1111	964	156	1263	1220	1069	1142	47	125	732	38	
0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	

16	4	4	7	3	8	3	9	7	0	0	5	0	
94	94	123	111	10	119	138	97	131	5	16	85	4	
98	87	88	79	12	106	102	73	88	4	11	58	4	
875	796	857	725	129	979	935	854	871	37	98	562	30	
21	13	17	22	0	21	22	15	17	0	0	10	0	
7	7	4	7	1	7	7	5	9	0	0	6	0	
9	8	10	5	1	11	7	8	6	1	0	4	0	
9	10	8	8	0	12	6	8	13	0	0	2	0	
