"УИК №97"	"УИК №98"	"УИК №99"	"УИК №100"	"УИК №101"	"УИК №102"	"УИК №103"	"УИК №104"	"УИК №105"	"УИК №106"	"УИК №107"	"УИК №108"	"УИК №109"	"УИК №110"	"УИК №111"	"УИК №112"	"УИК №113"	"УИК №114"	"УИК №115"	"УИК №116"	"УИК №117"	"УИК №118"	"УИК №119"	"УИК №120"	"УИК №121"	"УИК №122"	"УИК №123"	"УИК №124"	"УИК №125"	"УИК №126"	"УИК №127"	"УИК №128"	"УИК №129"	"УИК №130"	"УИК №131"	"УИК №132"	"УИК №133"	"УИК №134"	"УИК №135"	"УИК №136"	"УИК №137"	"УИК №138"	"УИК №139"	"УИК №140"	"УИК №141"	"УИК №142"	"УИК №143"	"УИК №144"	"УИК №145"	
1259	142	359	544	705	623	156	415	123	98	266	304	1801	337	212	1477	1513	306	1030	414	1118	1120	151	202	753	484	825	1606	1256	987	1298	462	1854	632	1241	296	283	293	569	973	602	775	359	459	441	492	698	425	1511	
1200	140	350	550	700	650	150	400	110	90	250	300	1800	300	200	1400	1400	300	1000	400	1100	1100	150	200	750	450	800	1600	1200	950	1300	450	1800	650	1200	300	250	300	550	1000	600	750	350	450	450	480	650	400	1500	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
808	111	303	282	571	420	63	188	79	75	152	165	1130	221	165	1013	925	254	445	221	532	699	67	113	545	387	700	1248	908	802	998	344	1136	462	751	175	179	157	355	522	442	584	239	267	343	291	417	210	811	
128	0	22	162	46	117	36	147	18	6	18	11	54	59	27	31	289	25	187	45	107	80	26	33	117	18	16	13	62	15	210	70	21	18	96	65	27	67	60	82	51	36	58	113	81	83	60	49	124	
264	29	25	106	83	113	51	65	13	9	80	124	616	20	8	356	186	21	368	134	461	321	57	54	88	45	84	339	230	133	92	36	643	170	353	60	44	76	135	396	107	130	53	70	26	106	173	141	565	
128	0	22	162	46	117	36	147	18	6	18	11	54	59	27	31	289	25	187	45	107	80	26	33	117	18	16	13	62	15	210	70	21	18	96	65	27	67	60	82	51	36	58	113	81	83	60	49	124	
808	111	303	282	571	420	63	188	79	75	152	165	1130	221	165	1013	925	254	445	221	532	699	67	113	545	387	700	1248	907	802	998	344	1136	462	751	175	179	157	355	522	442	584	239	267	343	291	417	210	811	
5	0	1	3	1	1	0	2	0	0	2	2	14	2	1	9	9	3	6	2	3	6	0	0	0	7	3	0	9	5	7	2	8	8	10	0	2	0	3	5	4	6	2	2	0	2	2	2	6	
931	111	324	441	616	536	99	333	97	81	168	174	1170	278	191	1035	1205	276	626	264	636	773	93	146	662	398	713	1261	960	812	1201	412	1149	472	837	240	204	224	412	599	489	614	295	378	424	372	475	257	929	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

7	0	4	1	4	4	0	5	0	0	0	0	10	3	1	8	10	1	5	1	3	1	1	2	6	1	5	6	4	1	4	3	5	4	4	0	2	3	0	2	3	6	2	2	3	1	0	2	6	
81	6	20	37	51	53	3	11	6	9	13	19	141	13	17	173	148	31	28	17	49	118	5	3	125	28	63	151	122	42	74	45	144	39	72	15	15	10	43	77	41	62	16	12	24	33	40	25	86	
70	10	19	28	38	22	5	15	6	6	18	19	125	26	20	65	76	13	38	17	29	66	3	7	60	24	24	52	47	38	45	29	84	29	43	10	15	10	25	53	37	71	24	22	14	24	34	15	64	
756	94	267	370	509	452	91	299	84	65	136	134	874	230	152	753	897	227	546	223	548	571	83	130	408	340	611	1032	770	716	1067	328	886	387	701	212	169	198	331	457	395	452	242	339	380	307	385	212	763	
7	0	9	2	5	1	0	0	0	0	0	0	7	3	0	12	20	2	2	3	1	5	0	0	7	2	2	8	7	2	2	1	14	2	4	2	1	1	3	3	3	10	1	0	0	3	0	0	5	
5	1	4	1	5	3	0	2	0	0	0	2	5	2	0	10	15	1	2	2	2	5	1	3	8	2	5	8	4	4	2	4	8	5	6	0	2	1	4	2	8	8	8	2	2	3	12	3	2	
2	0	1	0	0	1	0	1	0	0	1	0	5	1	1	5	23	0	4	0	3	4	0	1	2	0	2	3	4	5	6	1	6	0	6	0	0	1	6	5	1	4	1	0	0	0	4	0	2	
3	0	0	2	4	0	0	0	1	1	0	0	3	0	0	9	16	1	1	1	1	3	0	0	46	1	1	1	2	4	1	1	2	6	1	1	0	0	0	0	1	1	1	1	1	1	0	0	1	
