"УИК №652"	"УИК №653"	"УИК №654"	"УИК №655"	"УИК №656"	"УИК №657"	"УИК №658"	"УИК №659"	"УИК №660"	"УИК №661"	"УИК №662"	"УИК №663"	"УИК №664"	"УИК №665"	"УИК №666"	"УИК №667"	"УИК №668"	"УИК №669"	"УИК №670"	"УИК №671"	"УИК №672"	"УИК №673"	"УИК №674"	"УИК №675"	"УИК №676"	"УИК №677"	"УИК №678"	"УИК №679"	"УИК №680"	"УИК №681"	"УИК №682"	"УИК №683"	"УИК №684"	
1513	1953	1578	1043	311	143	112	515	479	333	393	458	283	457	599	322	333	129	273	160	465	578	196	270	168	311	391	318	283	141	391	458	343	
1500	2000	1600	1050	300	120	100	500	450	300	350	450	280	450	600	330	330	120	280	150	450	570	180	250	150	300	350	300	250	140	400	450	300	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
821	1092	865	575	162	63	80	285	211	109	175	261	130	140	357	162	154	75	94	85	207	316	148	140	70	117	117	100	146	45	195	219	136	
84	80	88	52	39	43	9	51	83	88	65	39	64	151	73	33	65	15	99	28	43	64	19	59	56	92	136	115	65	44	60	142	109	
595	828	647	423	99	14	11	164	156	103	110	150	86	159	170	135	111	30	87	37	200	190	13	51	24	91	97	85	39	51	145	89	55	
84	80	88	52	39	43	9	51	83	88	65	39	64	151	73	33	65	15	99	28	43	64	19	59	56	92	136	115	65	44	60	142	109	
821	1092	865	574	162	63	80	285	211	109	175	261	130	140	357	162	154	75	94	85	207	316	148	140	70	117	117	100	146	45	195	219	136	
11	11	3	5	1	0	1	0	0	2	3	0	0	2	3	0	0	1	2	1	1	2	0	2	0	0	4	0	3	0	4	2	0	
894	1161	950	621	200	106	88	336	294	195	237	300	194	289	427	195	219	89	191	112	249	378	167	197	126	209	249	215	208	89	251	359	245	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

6	9	9	3	1	0	0	4	1	1	0	4	0	5	1	3	5	1	0	0	4	9	0	0	0	1	2	0	4	2	0	1	2	
168	173	191	114	29	1	6	48	57	16	26	36	23	41	55	27	28	5	19	6	22	42	17	23	10	26	38	19	63	9	21	33	21	
63	110	82	69	20	5	7	28	46	21	24	18	11	38	47	14	16	10	6	5	36	38	12	13	10	18	38	21	32	7	14	39	25	
630	841	643	427	144	98	74	244	185	153	184	235	159	200	309	149	164	73	164	93	181	284	136	159	101	164	171	168	107	71	208	274	196	
8	5	5	0	2	0	0	2	3	0	1	3	0	1	4	1	0	0	0	3	1	3	0	0	2	0	0	1	2	0	1	4	0	
8	3	7	4	4	1	1	3	0	3	1	4	1	2	5	0	5	0	1	3	4	1	2	0	0	0	0	2	0	0	3	4	1	
7	10	10	3	0	0	0	6	2	1	1	0	0	1	4	1	1	0	1	2	0	1	0	2	2	0	0	3	0	0	2	2	0	
4	10	3	1	0	1	0	1	0	0	0	0	0	1	2	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	2	2	0	
