"УИК №1701"	"УИК №1702"	"УИК №1703"	"УИК №1704"	"УИК №1705"	"УИК №1706"	"УИК №1707"	"УИК №1708"	"УИК №1709"	"УИК №1710"	"УИК №1711"	"УИК №1712"	"УИК №1713"	"УИК №1714"	"УИК №1715"	"УИК №1716"	"УИК №1717"	"УИК №1718"	"УИК №1719"	"УИК №1720"	"УИК №1721"	"УИК №1722"	"УИК №1723"	"УИК №1724"	"УИК №1725"	"УИК №1726"	"УИК №1727"	"УИК №1728"	"УИК №1729"	"УИК №1730"	"УИК №1731"	"УИК №1732"	"УИК №1733"	"УИК №1734"	"УИК №1735"	"УИК №1736"	"УИК №1737"	"УИК №1738"	"УИК №1739"	"УИК №1740"	"УИК №1741"	"УИК №1742"	"УИК №1743"	"УИК №1744"	"УИК №1745"	"УИК №1746"	"УИК №1747"	"УИК №1748"	
1183	1324	1056	1203	1119	1171	1294	1304	1022	230	461	246	309	365	272	113	1009	172	338	1014	699	181	1594	1323	115	583	249	380	382	598	683	262	837	423	1190	210	229	219	236	243	1363	1414	1156	1006	1089	1343	1300	1362	
1200	1300	1050	1200	1100	1100	1300	1300	1000	200	450	250	300	350	250	100	1000	150	350	1050	650	150	1600	1300	100	550	200	350	350	600	650	250	800	400	1150	200	200	200	200	200	1350	1400	1150	1000	1100	1150	1300	1350	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
669	918	741	821	720	705	783	791	611	146	352	153	217	126	138	42	675	121	123	787	395	90	987	665	74	346	127	302	210	405	377	150	504	249	799	141	160	151	167	175	827	803	824	618	681	768	748	834	
100	48	42	82	87	203	91	105	160	52	63	62	58	131	43	35	151	25	140	60	174	60	122	192	26	158	53	22	46	70	212	65	219	86	165	48	26	31	30	23	112	112	37	114	54	257	78	84	
431	334	267	297	293	192	426	404	229	2	35	35	25	93	69	23	174	4	87	203	81	0	491	443	0	46	20	26	94	125	61	35	77	65	186	11	14	18	3	2	411	485	289	268	365	125	474	432	
100	48	42	82	87	203	91	105	160	52	63	62	58	131	43	35	151	25	140	60	174	60	122	192	26	158	53	22	46	70	212	65	219	86	165	48	26	31	30	23	112	112	37	114	54	257	78	84	
669	918	741	821	720	705	783	791	611	146	352	153	217	126	138	42	675	121	123	787	395	90	987	665	74	346	127	302	210	405	377	150	504	249	799	141	160	151	167	175	827	803	824	618	681	768	748	834	
3	15	10	6	3	12	9	0	3	0	2	0	4	1	3	0	3	0	1	26	5	0	16	11	1	1	1	1	3	1	2	0	1	3	2	0	1	0	0	2	6	5	3	5	9	5	15	5	
766	951	773	897	804	896	865	896	768	198	413	215	271	256	178	77	823	146	262	821	564	150	1093	846	99	503	179	323	253	474	587	215	722	332	962	189	185	182	197	196	933	910	858	727	726	1020	811	913	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

4	6	6	3	3	9	5	3	9	0	1	2	0	0	2	0	8	0	2	2	4	2	4	3	0	2	0	1	2	1	1	1	5	2	2	1	0	0	1	1	7	6	2	3	5	6	4	4	
96	94	102	47	66	97	60	66	66	13	30	7	27	15	17	6	75	5	9	85	49	5	118	80	3	35	23	50	33	65	25	7	54	29	55	4	9	6	13	8	107	100	110	65	77	103	95	109	
46	84	36	28	52	62	50	64	93	15	32	13	26	21	18	12	52	6	29	35	51	14	156	108	6	50	14	11	29	52	29	17	66	22	57	11	19	9	5	14	64	85	45	67	62	67	88	76	
605	730	604	807	662	692	729	726	589	165	340	185	209	211	140	57	675	133	218	688	446	127	785	628	89	409	140	259	185	342	519	186	593	276	832	170	150	164	177	171	730	694	676	564	565	816	601	698	
5	12	9	4	6	17	7	14	1	2	7	2	4	4	0	2	4	1	1	3	6	0	7	10	0	1	0	1	3	3	4	0	3	2	4	1	2	1	0	2	9	5	3	12	8	10	8	9	
4	8	8	5	4	8	7	8	5	2	1	0	0	4	0	0	3	1	2	2	4	1	8	7	0	5	0	0	0	9	1	3	0	0	4	0	1	0	1	0	4	9	3	4	1	8	8	9	
2	9	1	2	8	8	6	9	4	1	1	4	2	1	1	0	2	0	1	3	3	0	13	6	1	1	2	1	1	1	6	0	1	1	3	0	2	0	0	0	9	10	11	6	5	4	5	5	
4	8	7	1	3	3	1	6	1	0	1	2	3	0	0	0	4	0	0	3	1	1	2	4	0	0	0	0	0	1	2	1	0	0	5	2	2	2	0	0	3	1	8	6	3	6	2	3	
