"УИК №1001"	"УИК №1002"	"УИК №1003"	"УИК №1004"	"УИК №1005"	"УИК №1006"	"УИК №1007"	"УИК №1008"	"УИК №1009"	"УИК №1010"	"УИК №1011"	"УИК №1012"	"УИК №1013"	"УИК №1014"	"УИК №1015"	
152	173	188	162	763	105	274	179	495	192	1806	63	431	231	86	
130	150	170	150	750	100	250	170	500	170	1700	60	400	220	80	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
91	72	55	78	518	42	135	74	259	115	1041	36	238	113	42	
20	29	51	36	77	36	27	52	80	22	97	5	50	49	13	
19	49	64	36	155	22	88	44	161	33	562	19	112	58	25	
20	29	51	36	77	36	27	52	80	22	97	5	50	49	13	
91	72	54	78	518	42	135	74	259	115	1039	36	238	113	42	
1	0	1	1	6	0	3	0	9	0	23	1	6	2	0	
110	101	104	113	589	78	159	126	330	137	1113	40	282	160	55	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

1	2	1	0	5	0	1	1	3	1	8	0	7	1	0	
10	12	4	7	41	1	25	4	44	11	154	3	43	23	2	
10	13	1	12	42	10	11	20	22	16	124	3	29	13	1	
89	71	95	92	481	65	116	99	245	104	780	33	190	119	51	
0	1	2	1	4	1	2	0	5	3	16	1	6	0	0	
0	2	0	1	12	0	4	0	4	2	11	0	3	3	1	
0	0	0	0	3	0	0	2	6	0	11	0	2	1	0	
0	0	1	0	1	1	0	0	1	0	9	0	2	0	0	
