"УИК №1201"	"УИК №1202"	"УИК №1203"	"УИК №1204"	"УИК №1205"	"УИК №1206"	"УИК №1207"	"УИК №1208"	"УИК №1209"	"УИК №1210"	"УИК №1211"	"УИК №1212"	"УИК №1213"	"УИК №1214"	"УИК №1215"	"УИК №1216"	"УИК №1217"	"УИК №1218"	"УИК №1219"	"УИК №1220"	"УИК №1221"	"УИК №1222"	"УИК №1223"	"УИК №1224"	"УИК №1225"	"УИК №1226"	"УИК №1227"	"УИК №1228"	"УИК №1229"	"УИК №1230"	"УИК №1231"	"УИК №1232"	"УИК №1233"	"УИК №1234"	"УИК №1235"	"УИК №1236"	"УИК №1237"	"УИК №1238"	"УИК №1239"	"УИК №1240"	"УИК №1241"	
1334	384	547	1401	1502	197	797	1359	2675	1548	2441	1348	1764	179	1099	2174	2285	2459	2531	542	1898	1676	414	335	813	893	962	465	416	2019	368	753	1221	194	383	592	1677	1386	863	836	570	
1300	390	540	1350	1500	150	800	1300	2650	1550	2400	1390	1650	150	1050	2220	2300	2450	2450	530	1890	1700	400	330	790	870	950	460	400	2000	350	740	1260	190	390	600	1700	1350	880	840	500	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
714	152	207	812	677	80	333	670	1613	672	1217	704	942	46	587	1172	1253	1173	1384	212	776	840	189	141	476	435	571	158	164	1188	200	365	469	67	85	247	998	592	436	465	318	
37	30	67	61	87	47	79	75	31	88	57	44	75	52	21	15	15	23	55	49	105	63	68	45	51	66	65	84	52	27	12	34	49	9	66	22	24	54	34	13	3	
549	208	266	477	736	23	388	555	1006	790	1126	642	633	52	442	1033	1032	1254	1011	269	1009	797	143	144	263	369	314	218	184	785	138	341	742	114	239	331	678	704	410	362	179	
37	30	67	61	87	47	79	75	31	88	57	44	75	52	21	15	15	23	55	49	105	63	68	45	51	66	65	84	52	27	12	34	49	9	66	22	24	54	34	13	3	
714	152	207	812	677	80	333	670	1613	672	1217	704	942	46	587	1172	1252	1173	1384	212	775	838	189	141	476	435	571	158	164	1188	200	365	469	67	85	247	998	591	436	465	318	
11	3	4	13	10	0	7	2	18	15	25	13	9	1	10	13	16	10	20	1	14	9	3	1	4	2	3	0	3	10	3	5	7	1	2	6	15	12	3	2	2	
740	179	270	860	754	127	405	743	1626	745	1249	735	1008	97	598	1174	1251	1186	1419	260	866	892	254	185	523	499	633	242	213	1205	209	394	511	75	149	263	1007	633	467	476	319	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

6	1	2	5	9	0	2	9	19	9	9	5	4	2	4	3	9	12	13	0	8	10	1	0	4	6	2	3	3	12	2	4	6	1	0	2	7	3	2	4	1	
88	18	23	70	70	5	41	93	212	78	189	54	109	13	69	129	160	167	171	21	98	114	18	13	71	68	96	25	23	134	25	20	41	5	9	22	117	84	38	43	52	
56	12	26	92	72	7	46	60	100	67	101	34	83	8	56	97	106	99	106	11	74	79	12	13	33	31	56	22	19	115	18	36	58	6	14	18	71	52	39	46	24	
558	137	209	671	574	109	297	534	1213	572	872	628	777	72	453	894	897	830	1079	216	657	652	218	151	392	377	460	176	164	864	157	321	389	63	121	214	763	460	370	366	225	
6	5	1	7	11	1	6	15	38	6	31	4	12	0	8	20	34	32	19	2	13	12	2	5	7	7	11	6	3	35	2	9	6	0	1	4	20	5	4	6	9	
6	1	4	5	6	3	4	7	14	3	11	3	9	0	2	14	14	11	11	4	6	13	1	3	3	0	2	0	1	16	2	0	5	0	2	3	6	6	5	5	2	
8	2	2	4	4	2	4	10	11	4	17	4	3	0	2	6	9	16	11	4	2	4	2	0	12	5	3	7	0	14	1	3	1	0	1	0	6	1	4	3	3	
12	3	3	6	8	0	5	15	19	6	19	3	11	2	4	11	22	19	9	2	8	8	0	0	1	5	3	3	0	15	2	1	5	0	1	0	17	22	5	3	3	
