"УИК №414"	"УИК №415"	"УИК №416"	"УИК №417"	"УИК №418"	"УИК №419"	"УИК №420"	"УИК №421"	"УИК №422"	"УИК №423"	"УИК №424"	"УИК №425"	"УИК №426"	"УИК №427"	"УИК №428"	"УИК №429"	"УИК №430"	"УИК №431"	"УИК №432"	"УИК №433"	"УИК №434"	"УИК №435"	"УИК №436"	"УИК №437"	"УИК №438"	"УИК №439"	"УИК №440"	"УИК №441"	"УИК №442"	"УИК №443"	"УИК №445"	"УИК №446"	"УИК №447"	"УИК №448"	
1454	1379	1318	1427	1512	1435	1059	621	416	811	238	445	1016	439	272	1538	312	105	479	159	119	549	392	103	96	472	137	269	539	598	41	69	305	160	
1300	1300	1250	1400	1450	1400	1000	600	390	800	220	450	1000	430	270	1480	280	90	480	150	110	540	390	100	90	480	130	250	500	600	50	70	290	170	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
857	776	735	772	887	815	609	355	247	437	161	283	577	245	147	1031	190	74	270	86	37	298	221	61	47	277	71	131	332	359	31	46	171	95	
45	33	82	36	52	40	36	19	7	30	10	19	32	20	18	65	13	0	20	4	12	17	11	7	13	58	12	43	38	126	0	1	22	35	
398	491	433	592	511	545	355	226	136	333	49	148	391	165	105	384	77	16	190	60	61	225	158	32	30	145	47	76	130	115	19	23	97	40	
45	33	82	36	52	40	36	19	7	30	10	19	32	20	18	65	13	0	20	4	12	17	11	7	13	58	12	43	38	126	0	1	22	35	
856	776	735	772	887	815	609	355	247	437	161	283	577	245	147	1031	190	74	270	86	37	298	221	61	47	277	71	131	332	359	31	46	171	95	
9	10	6	11	15	13	8	7	2	4	1	4	11	3	2	22	1	0	0	1	2	2	2	0	0	4	0	4	3	3	0	0	1	0	
892	799	811	797	924	842	637	367	252	463	170	298	598	262	163	1074	202	74	290	89	47	313	230	68	60	331	83	170	367	482	31	47	192	130	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

7	2	5	0	8	3	2	0	0	4	0	0	4	2	1	2	0	2	2	1	0	1	0	0	3	0	0	3	2	2	0	0	1	0	
148	142	124	136	133	144	100	51	42	50	14	37	81	36	14	166	32	13	15	0	0	30	20	1	3	21	16	24	58	39	2	3	12	18	
58	55	65	62	59	63	42	24	21	42	14	20	91	15	11	86	14	3	21	5	2	36	17	10	3	21	1	10	20	56	1	2	22	8	
669	583	603	574	713	618	480	284	183	363	140	241	413	207	135	813	153	56	246	82	45	243	192	57	51	288	66	130	282	373	27	41	157	104	
5	4	5	17	2	6	3	4	3	3	0	0	7	0	1	2	1	0	2	0	0	1	1	0	0	0	0	1	2	3	1	1	0	0	
3	7	3	4	2	3	5	1	1	0	0	0	0	1	1	2	1	0	2	1	0	2	0	0	0	0	0	1	3	3	0	0	0	0	
0	2	4	1	2	1	1	2	1	1	2	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	5	0	0	0	0	
2	4	2	3	5	4	4	1	1	0	0	0	2	1	0	2	1	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	
