"УИК №146"	"УИК №149"	"УИК №154"	"УИК №162"	"УИК №166"	"УИК №167"	"УИК №168"	"УИК №169"	"УИК №170"	"УИК №171"	"УИК №172"	"УИК №173"	"УИК №174"	"УИК №175"	"УИК №176"	"УИК №177"	"УИК №178"	"УИК №179"	"УИК №180"	"УИК №181"	"УИК №182"	"УИК №183"	"УИК №184"	"УИК №185"	"УИК №749"	
519	399	1495	1565	1571	1633	1458	1722	1549	1894	1683	1475	677	1740	1727	1677	1047	1666	1695	1701	1770	440	1619	1470	212	
400	350	1250	1300	1250	1350	1250	1450	1400	1550	1400	1250	550	1450	1450	1400	850	1400	1400	1400	1450	350	1350	1200	214	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
281	228	972	989	964	981	965	1002	933	1105	1042	863	422	1032	994	1014	647	1064	1151	1072	1161	254	1068	852	209	
17	41	64	40	57	82	50	71	70	74	57	58	60	74	76	63	18	56	41	49	37	33	45	94	0	
102	81	214	271	229	287	235	377	397	371	301	329	68	344	380	323	185	280	208	279	252	63	237	254	5	
17	41	64	40	57	82	50	71	70	74	57	58	60	74	76	63	18	56	41	49	37	33	45	94	0	
281	228	972	989	964	981	965	1002	932	1105	1042	861	422	1032	994	1014	647	1064	1151	1072	1161	254	1068	852	209	
5	6	9	6	12	17	14	7	9	17	14	16	9	15	24	10	11	12	16	6	14	6	15	16	2	
293	263	1027	1023	1009	1046	1001	1066	993	1162	1085	903	473	1091	1046	1067	654	1108	1176	1115	1184	281	1098	930	207	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

9	2	5	5	12	4	9	5	7	12	5	7	1	6	9	11	6	8	9	10	8	5	5	9	2	
32	27	181	170	187	152	187	154	166	184	188	105	69	192	185	180	91	158	188	176	183	48	184	151	26	
32	26	59	72	64	66	60	97	62	83	68	77	39	77	82	77	57	91	71	65	95	14	79	73	23	
211	200	749	749	709	795	727	769	724	843	793	677	351	768	740	764	480	816	865	834	855	208	803	666	149	
2	7	13	6	15	8	9	19	12	17	10	16	4	15	14	14	7	9	16	9	12	2	11	9	3	
3	0	8	12	8	10	2	7	6	11	9	9	7	13	8	8	5	5	13	9	14	3	6	12	2	
2	1	9	6	5	6	3	10	9	5	8	4	2	8	3	6	4	14	9	9	13	1	5	5	0	
2	0	3	3	9	5	4	5	7	7	4	8	0	12	5	7	4	7	5	3	4	0	5	5	2	
