"УИК №54"	"УИК №55"	"УИК №56"	"УИК №57"	"УИК №58"	"УИК №59"	"УИК №60"	"УИК №61"	"УИК №62"	"УИК №63"	"УИК №64"	"УИК №65"	"УИК №66"	"УИК №67"	"УИК №68"	"УИК №69"	"УИК №70"	"УИК №71"	"УИК №72"	"УИК №73"	"УИК №74"	"УИК №75"	"УИК №76"	"УИК №77"	"УИК №78"	"УИК №79"	"УИК №80"	"УИК №81"	"УИК №82"	"УИК №83"	"УИК №84"	"УИК №85"	"УИК №86"	"УИК №87"	"УИК №88"	"УИК №89"	"УИК №90"	"УИК №91"	"УИК №92"	"УИК №93"	"УИК №94"	"УИК №95"	"УИК №96"	"УИК №97"	"УИК №98"	"УИК №99"	"УИК №100"	"УИК №101"	"УИК №299"	"УИК №300"	
2229	917	1408	1097	860	1749	1553	1336	1355	1697	1890	1941	2420	1990	2633	2305	2740	2139	2143	1387	1795	1640	983	2485	2256	1141	2412	2168	2233	2493	1640	2369	1579	1031	1246	1220	1809	2050	2084	994	827	1578	1597	2110	1779	1280	2061	2595	1254	1586	
2270	900	1380	1090	860	1660	1530	1340	1390	1680	1860	1940	2460	1970	2680	2330	2540	2160	2150	1360	1810	1640	990	2540	2250	1110	2480	2180	2290	2350	1680	2350	1560	940	1260	1210	1760	2050	2110	920	800	1550	1610	2140	1810	1280	2030	2430	970	1560	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1451	526	846	591	530	1045	946	1008	794	1035	1253	1148	1381	1148	1471	1195	1740	1225	1295	781	1125	1032	524	1530	1493	667	1368	1364	1421	1516	1073	1482	919	587	589	647	1053	1222	1345	634	476	1072	983	1379	1023	725	1397	1648	839	943	
73	23	10	34	30	32	30	19	33	45	31	39	41	40	80	95	64	92	82	39	36	48	21	38	37	36	39	23	34	80	44	24	51	24	17	78	58	112	53	32	24	57	47	41	54	33	27	26	7	30	
746	351	524	465	300	583	554	313	563	600	576	753	1038	782	1129	1040	736	843	773	540	649	560	445	972	720	407	1073	793	835	754	563	844	590	329	654	484	649	716	712	254	300	421	580	720	733	522	606	756	124	587	
73	23	10	34	30	32	30	19	33	45	31	39	41	40	80	95	64	92	82	39	36	48	21	38	37	36	39	23	34	80	44	24	51	24	17	78	58	112	53	32	24	57	47	41	54	33	27	26	7	30	
1451	526	846	591	530	1045	946	1008	794	1035	1252	1148	1381	1148	1470	1195	1740	1224	1293	781	1125	1032	524	1530	1493	667	1367	1363	1421	1516	1072	1482	919	587	589	647	1053	1222	1345	634	476	1072	983	1379	1023	725	1397	1648	839	943	
13	4	6	8	4	8	9	28	17	8	10	9	19	4	16	13	28	11	15	11	20	21	8	18	18	7	19	15	16	21	14	13	10	7	7	7	16	12	15	9	4	6	19	8	14	10	20	19	13	6	
1511	545	850	617	556	1069	967	999	810	1072	1273	1178	1403	1184	1534	1277	1776	1305	1360	809	1141	1059	537	1550	1512	696	1387	1371	1439	1575	1102	1493	960	604	599	718	1095	1322	1383	657	496	1123	1011	1412	1063	748	1404	1655	833	967	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

14	2	10	1	4	9	10	12	10	13	19	9	16	11	13	9	7	9	16	14	15	17	6	21	29	4	15	13	13	12	11	10	18	5	9	9	8	15	11	7	4	14	5	12	7	6	16	15	3	9	
171	67	126	72	70	146	122	122	91	132	196	177	154	150	178	158	200	168	164	86	131	136	64	187	203	96	159	184	183	231	156	179	134	75	63	90	133	174	158	74	60	123	153	163	136	92	140	227	136	146	
86	45	55	53	38	60	57	48	61	64	71	54	100	77	99	96	95	82	95	56	70	60	32	78	95	41	87	93	95	96	57	105	54	51	56	46	65	94	86	43	27	53	65	95	61	52	87	108	40	66	
1146	397	601	466	416	789	733	733	598	801	921	859	1061	903	1187	968	1400	990	1027	605	858	781	409	1184	1111	519	1063	989	1087	1157	823	1116	708	444	448	548	837	989	1074	498	379	876	725	1066	784	560	1086	1204	619	700	
36	18	29	9	13	31	22	45	15	20	24	29	25	25	21	19	31	18	20	11	29	17	12	38	20	11	21	37	26	25	25	38	23	10	9	16	17	14	20	14	7	24	29	24	27	16	31	42	17	17	
17	3	4	5	5	7	4	7	11	12	7	14	22	6	15	8	10	13	5	9	10	9	5	7	10	11	14	11	15	14	10	9	6	2	4	4	12	10	14	6	4	16	11	17	7	5	13	15	4	4	
22	6	15	8	6	14	10	17	8	18	24	24	20	8	10	11	18	15	19	13	12	25	1	17	23	10	15	19	14	20	9	14	10	9	8	3	4	13	11	10	9	9	16	15	16	5	15	28	8	13	
19	7	10	3	4	13	9	15	16	12	11	12	5	4	11	8	15	10	14	15	16	14	8	18	21	4	13	25	6	20	11	22	7	8	2	2	19	13	9	5	6	8	7	20	25	12	16	16	6	12	
