"УИК №112"	"УИК №113"	"УИК №114"	"УИК №115"	"УИК №116"	"УИК №117"	"УИК №118"	"УИК №119"	"УИК №120"	"УИК №121"	"УИК №122"	"УИК №123"	"УИК №124"	"УИК №125"	"УИК №126"	"УИК №127"	"УИК №128"	"УИК №129"	"УИК №130"	"УИК №131"	"УИК №132"	"УИК №133"	"УИК №134"	"УИК №135"	"УИК №136"	"УИК №137"	"УИК №138"	"УИК №139"	"УИК №140"	"УИК №141"	"УИК №142"	"УИК №143"	"УИК №144"	"УИК №145"	"УИК №146"	"УИК №147"	"УИК №148"	"УИК №149"	"УИК №150"	"УИК №151"	"УИК №152"	"УИК №153"	"УИК №154"	
767	895	817	839	339	316	86	65	373	72	491	96	40	51	205	626	63	214	133	216	69	223	121	93	115	615	497	176	866	219	106	349	388	232	194	71	415	327	54	217	221	200	87	
804	945	848	879	344	347	88	62	412	74	489	103	36	52	214	516	67	225	136	232	63	231	121	93	122	667	529	181	914	222	104	352	406	250	181	60	438	356	49	225	225	218	88	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
558	623	602	522	206	232	62	44	268	46	295	55	30	39	158	449	43	138	78	145	41	114	62	62	47	364	274	132	542	145	66	203	263	144	115	52	257	210	44	146	166	138	61	
29	16	34	48	46	29	3	6	26	5	33	11	0	0	14	25	3	37	15	30	7	40	8	5	21	21	25	0	42	20	9	18	28	20	6	0	33	30	0	26	7	8	8	
216	306	212	309	92	86	23	12	118	23	161	37	6	13	42	42	21	50	43	57	15	77	51	26	54	282	230	49	330	57	29	131	112	86	60	8	148	116	5	53	52	72	19	
29	16	34	48	46	29	3	6	26	5	33	11	0	0	14	25	3	37	15	30	7	40	8	5	21	21	25	0	42	20	9	18	28	20	6	0	33	30	0	26	7	8	8	
558	623	602	522	206	232	62	44	268	46	295	55	30	39	158	449	43	138	78	145	41	114	62	62	47	364	274	132	542	145	66	203	260	144	115	52	257	210	44	146	166	138	61	
3	2	2	4	1	6	1	0	4	0	1	1	0	0	3	11	0	1	0	2	0	0	0	0	1	1	2	0	6	1	1	0	1	0	0	0	2	2	0	2	0	3	0	
584	637	634	566	251	255	64	50	290	51	327	65	30	39	169	463	46	174	93	173	48	154	70	67	67	384	297	132	578	164	74	221	287	164	121	52	288	238	44	170	173	143	69	
1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

4	5	1	4	1	0	0	0	6	0	2	1	0	0	0	4	0	1	2	0	0	0	0	0	0	5	0	0	0	2	1	2	1	0	1	0	0	1	0	0	0	0	0	
103	99	108	85	32	45	2	15	65	7	68	22	7	3	26	114	4	29	14	20	11	17	17	9	0	51	27	13	102	52	14	43	58	17	17	3	59	33	2	19	24	14	4	
52	52	49	41	14	10	4	1	5	2	27	4	1	3	7	33	3	21	2	6	3	11	7	2	12	28	25	17	40	17	11	10	40	19	4	2	18	25	3	15	6	10	5	
421	472	463	428	201	192	55	32	208	42	224	38	21	33	127	296	37	118	72	141	33	117	36	49	53	293	238	102	429	90	48	163	184	123	96	46	203	173	38	124	138	118	60	
0	1	6	0	1	2	0	0	1	0	4	0	1	0	6	6	0	2	3	1	1	2	7	3	0	4	3	0	2	1	0	2	1	3	0	0	3	0	1	5	5	0	0	
2	5	1	4	2	3	3	2	1	0	2	0	0	0	1	1	2	0	0	3	0	4	2	3	1	2	1	0	2	1	0	1	3	1	3	0	3	4	0	7	0	0	0	
2	2	4	2	0	1	0	0	1	0	0	0	0	0	1	3	0	2	0	2	0	1	0	1	1	1	2	0	1	1	0	0	0	1	0	1	2	1	0	0	0	0	0	
0	1	2	2	0	2	0	0	3	0	0	0	0	0	1	6	0	1	0	0	0	2	1	0	0	0	1	0	2	0	0	0	0	0	0	0	0	1	0	0	0	1	0	
