"УИК №1327"	"УИК №1328"	"УИК №1329"	"УИК №1330"	"УИК №1331"	"УИК №1332"	"УИК №1333"	"УИК №1334"	"УИК №1335"	"УИК №1336"	"УИК №1337"	"УИК №1338"	"УИК №1339"	"УИК №1340"	"УИК №1342"	"УИК №1344"	"УИК №1346"	"УИК №1347"	"УИК №1348"	"УИК №1349"	"УИК №1350"	"УИК №1351"	"УИК №1352"	"УИК №1354"	"УИК №1355"	"УИК №1356"	"УИК №1357"	"УИК №1358"	"УИК №1359"	"УИК №1360"	"УИК №1361"	"УИК №1363"	"УИК №1364"	"УИК №1365"	"УИК №1366"	"УИК №1367"	"УИК №1368"	"УИК №1370"	"УИК №1371"	
96	552	267	460	178	518	149	421	390	126	165	845	54	55	847	197	110	499	72	72	225	96	901	579	2286	1180	1950	1819	363	258	135	108	270	334	498	412	642	597	467	
96	528	264	436	180	534	157	442	360	129	173	840	51	59	842	206	113	477	82	79	229	102	919	590	2350	1500	2300	2138	375	262	143	111	282	343	491	344	652	602	469	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
67	320	159	228	140	339	118	265	217	73	101	544	44	43	541	113	84	334	56	43	163	73	466	364	1197	750	1155	1021	251	159	75	58	182	257	368	306	548	391	331	
3	29	28	58	4	25	7	38	68	14	5	56	0	0	48	11	14	42	0	15	7	7	29	45	90	13	26	87	13	8	6	9	17	10	31	12	49	68	53	
26	179	77	150	36	170	32	139	75	42	67	240	7	16	253	82	15	101	26	21	59	22	424	181	1063	737	1119	1030	111	95	62	44	83	76	92	26	55	143	85	
3	29	28	58	4	25	7	38	68	14	5	56	0	0	48	11	14	42	0	15	7	7	29	45	90	13	26	87	13	8	6	9	17	10	31	12	49	68	53	
67	320	159	228	140	339	118	265	217	73	101	544	44	43	541	113	84	334	56	43	163	73	466	364	1197	750	1155	1021	251	159	75	58	182	257	368	306	548	391	331	
0	7	0	1	1	2	0	6	1	0	0	2	0	1	7	3	0	8	0	1	1	0	4	2	11	3	9	15	2	0	0	0	2	1	4	2	1	5	6	
70	342	187	285	143	362	125	297	284	87	106	598	44	42	582	121	98	368	56	57	169	80	491	407	1276	760	1172	1093	262	167	81	67	197	266	395	316	596	454	378	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

0	2	0	2	1	0	0	2	0	0	0	1	0	1	3	0	0	0	0	0	0	1	2	2	8	8	6	5	1	0	0	0	1	1	2	1	1	0	3	
16	62	35	56	27	44	21	39	23	20	7	59	1	8	81	15	10	57	2	5	24	32	123	72	236	154	239	224	56	17	8	11	24	34	62	63	70	64	79	
3	7	9	24	7	17	10	6	12	1	7	32	1	2	44	9	5	37	1	2	16	2	30	28	103	64	91	85	12	5	9	8	9	22	29	29	17	48	19	
50	261	141	201	107	295	92	245	246	65	92	487	42	30	442	95	82	266	52	50	127	42	327	289	909	514	809	745	190	145	62	47	163	202	295	211	500	331	272	
0	4	0	1	0	2	1	1	0	1	0	7	0	1	1	0	1	4	0	0	0	0	4	5	7	2	8	8	1	0	0	0	0	2	1	3	1	5	1	
1	2	2	0	1	3	0	3	3	0	0	7	0	0	11	1	0	2	1	0	0	3	3	4	2	9	8	19	2	0	2	0	0	3	3	6	2	6	4	
0	2	0	1	0	1	1	0	0	0	0	2	0	0	0	1	0	2	0	0	1	0	1	6	4	3	10	3	0	0	0	1	0	2	2	2	1	0	0	
0	2	0	0	0	0	0	1	0	0	0	3	0	0	0	0	0	0	0	0	1	0	1	1	7	6	1	4	0	0	0	0	0	0	1	1	4	0	0	
