"УИК №1541"	"УИК №1542"	"УИК №1543"	"УИК №1544"	"УИК №1545"	"УИК №1546"	"УИК №1547"	"УИК №1548"	"УИК №1549"	"УИК №1550"	"УИК №1551"	"УИК №1552"	"УИК №1553"	"УИК №1554"	"УИК №1555"	"УИК №1556"	"УИК №1557"	"УИК №1558"	"УИК №1559"	"УИК №1560"	"УИК №1561"	"УИК №1562"	"УИК №1563"	"УИК №1564"	"УИК №1565"	"УИК №1566"	"УИК №1567"	"УИК №1568"	"УИК №1569"	"УИК №1570"	"УИК №1571"	"УИК №1572"	"УИК №1573"	"УИК №1574"	
416	134	557	138	225	297	239	76	270	164	447	170	172	194	165	108	138	217	190	122	285	184	496	127	125	2294	1469	560	352	101	110	357	193	200	
440	140	580	150	230	310	240	80	280	170	460	190	180	220	180	120	130	240	220	130	300	200	530	130	130	2400	1600	580	400	110	130	390	210	200	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
220	72	423	94	134	194	163	47	172	105	353	84	115	125	135	64	60	128	98	92	162	113	328	94	53	1361	906	313	177	57	82	259	112	105	
43	13	34	11	40	48	31	10	49	15	78	23	32	21	10	9	30	28	39	9	23	17	30	14	30	152	44	56	50	13	11	27	24	24	
177	55	123	45	56	68	46	23	59	50	29	83	33	74	35	47	40	84	83	29	115	70	172	22	47	887	650	211	173	40	37	104	74	71	
43	13	34	11	40	48	31	10	49	15	78	23	32	21	10	9	30	28	39	9	23	17	30	14	30	152	44	56	50	13	11	27	24	24	
220	72	423	94	134	194	163	47	172	105	353	84	115	125	135	64	60	128	98	92	162	113	328	94	53	1361	905	313	177	57	82	259	112	105	
2	0	7	1	1	3	0	0	2	1	22	2	0	0	0	0	0	1	0	5	0	0	2	0	0	24	7	4	1	1	1	1	1	0	
261	85	450	104	173	239	194	57	219	119	409	105	147	146	145	73	90	155	137	96	185	130	356	108	83	1489	942	365	226	69	92	285	135	129	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

0	0	1	1	0	3	1	0	1	2	2	1	0	2	0	0	1	3	1	3	1	0	0	2	0	9	9	6	6	0	1	1	1	0	
14	4	57	18	5	15	28	5	9	1	15	16	5	7	4	4	9	22	4	17	21	7	89	4	3	281	200	49	22	2	8	25	24	11	
7	5	19	4	5	10	13	2	6	5	5	7	3	5	0	8	1	16	11	3	10	12	35	11	0	67	70	39	8	17	8	9	11	13	
236	75	363	80	162	203	150	50	200	104	385	79	134	129	139	60	78	107	121	69	152	109	226	91	80	1105	641	257	188	49	73	247	98	104	
1	0	4	1	0	3	0	0	1	1	1	0	1	0	2	1	1	2	0	1	0	1	0	0	0	8	7	7	0	0	2	0	0	1	
1	1	2	0	1	2	1	0	1	5	1	1	4	1	0	0	0	5	0	2	0	0	5	0	0	10	6	2	1	1	0	1	0	0	
2	0	2	0	0	2	1	0	1	1	0	1	0	1	0	0	0	0	0	1	1	1	1	0	0	5	4	3	1	0	0	1	0	0	
0	0	2	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	4	5	2	0	0	0	1	1	0	
