"УИК №413"	"УИК №414"	"УИК №415"	"УИК №416"	"УИК №417"	"УИК №418"	"УИК №419"	"УИК №420"	"УИК №421"	"УИК №422"	"УИК №423"	"УИК №424"	"УИК №425"	"УИК №426"	"УИК №427"	"УИК №429"	"УИК №430"	"УИК №431"	"УИК №432"	"УИК №433"	"УИК №434"	"УИК №435"	"УИК №436"	"УИК №437"	"УИК №438"	"УИК №439"	"УИК №440"	"УИК №441"	"УИК №442"	"УИК №443"	"УИК №444"	"УИК №445"	"УИК №446"	"УИК №447"	"УИК №448"	"УИК №449"	
415	693	686	2180	1623	1877	442	345	518	178	173	414	437	219	314	225	741	2052	1908	2134	1035	385	1110	144	1530	1527	1456	821	1541	168	1498	263	2168	1828	2760	2209	
413	634	693	2275	1679	1903	458	347	536	176	172	428	456	211	298	234	765	1988	1932	2170	1060	385	1138	146	1557	1555	1501	832	1591	157	1562	247	2197	1861	2800	2262	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
311	383	349	1401	700	873	343	325	448	113	120	334	283	117	198	190	593	1496	987	1640	777	299	702	72	1211	760	1056	659	772	106	1230	179	1808	1251	2169	2024	
62	112	119	81	95	217	52	5	40	48	23	48	93	84	42	16	42	169	78	126	127	44	103	45	71	76	61	30	76	16	131	49	14	93	60	8	
40	139	225	793	884	813	63	17	48	15	29	46	80	10	58	28	130	323	867	404	156	42	333	29	275	719	384	143	743	35	201	19	375	517	571	230	
62	112	119	81	95	217	52	5	40	48	23	48	93	84	42	16	42	169	78	126	127	44	103	45	71	76	61	30	76	16	131	49	14	93	60	8	
311	383	349	1399	700	873	343	325	448	113	120	334	282	117	198	190	593	1494	987	1640	777	299	702	72	1211	760	1055	659	772	106	1230	179	1808	1251	2167	2024	
2	5	1	20	10	19	8	2	3	0	0	13	2	0	6	0	2	15	17	15	4	0	5	1	44	1	7	0	4	0	22	2	27	18	27	8	
371	490	467	1460	785	1071	387	328	485	161	143	369	373	201	234	206	633	1648	1048	1751	900	343	800	116	1238	835	1109	689	844	122	1339	226	1795	1326	2200	2024	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

1	1	2	5	10	4	0	0	7	0	5	2	5	1	0	0	0	3	15	7	4	4	4	0	2	6	8	1	6	0	6	0	0	5	3	0	
9	46	36	116	87	138	12	8	28	4	5	25	34	15	8	6	44	163	154	165	98	19	96	9	153	131	116	71	132	10	84	6	95	132	152	116	
14	38	27	68	55	70	15	8	26	2	7	21	19	4	7	5	40	71	63	87	38	14	42	1	12	28	27	24	52	4	67	13	13	7	19	11	
341	395	390	1236	617	834	355	308	420	155	124	315	301	181	215	188	543	1379	784	1457	752	299	637	101	1056	650	928	581	635	108	1161	207	1659	1168	2002	1878	
3	5	3	12	2	11	4	4	2	0	1	5	2	0	2	1	2	11	15	11	2	2	8	4	1	11	13	6	5	0	3	0	5	4	11	3	
1	3	4	15	6	9	0	0	1	0	1	0	4	0	1	3	3	8	6	13	4	4	8	1	12	7	10	4	5	0	13	0	12	5	5	14	
1	1	3	4	5	0	0	0	1	0	0	1	3	0	1	3	1	7	8	7	2	1	5	0	2	1	4	2	5	0	3	0	3	1	8	0	
1	1	2	4	3	5	1	0	0	0	0	0	5	0	0	0	0	6	3	4	0	0	0	0	0	1	3	0	4	0	2	0	8	4	0	2	
