"УИК №201"	"УИК №202"	"УИК №203"	"УИК №204"	"УИК №205"	"УИК №206"	"УИК №207"	"УИК №208"	"УИК №209"	"УИК №210"	"УИК №211"	"УИК №212"	"УИК №213"	"УИК №214"	"УИК №215"	"УИК №216"	"УИК №217"	"УИК №218"	"УИК №219"	"УИК №220"	"УИК №221"	"УИК №222"	"УИК №223"	"УИК №224"	"УИК №225"	"УИК №226"	"УИК №227"	"УИК №228"	"УИК №229"	"УИК №230"	"УИК №231"	"УИК №232"	"УИК №233"	"УИК №234"	"УИК №235"	"УИК №236"	"УИК №237"	"УИК №238"	"УИК №239"	"УИК №240"	"УИК №241"	"УИК №242"	"УИК №243"	"УИК №244"	"УИК №245"	"УИК №246"	"УИК №247"	
1347	1254	1493	1190	1300	211	77	108	329	333	327	136	744	167	50	252	80	218	826	65	156	138	1016	512	169	61	56	363	87	78	382	178	988	294	412	101	461	281	46	120	118	49	266	185	348	182	140	
1200	1150	1400	1050	1200	200	70	100	350	350	350	150	750	160	50	250	80	220	850	70	170	130	950	450	200	60	55	350	85	85	315	170	1000	250	400	90	500	300	45	110	110	45	300	200	350	200	150	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
843	768	1112	700	810	157	61	58	253	254	222	86	564	118	37	192	54	185	627	48	131	100	743	372	147	50	42	229	70	65	269	141	687	173	288	70	351	235	31	95	87	38	198	143	223	97	92	
73	114	74	117	136	32	8	26	31	26	57	27	131	32	10	34	17	17	89	6	19	24	151	59	21	9	11	46	14	12	31	19	150	48	57	15	40	18	5	5	12	4	55	16	38	62	42	
284	268	214	233	254	11	1	16	66	70	71	37	55	10	3	24	9	18	134	16	20	6	56	19	32	1	2	75	1	8	15	10	163	29	55	5	109	47	9	10	11	3	47	41	89	41	16	
73	114	74	117	136	32	8	26	31	26	57	27	131	32	10	34	17	17	89	6	19	24	151	59	21	9	11	46	14	12	31	19	150	48	57	15	40	18	5	5	12	4	55	16	38	62	42	
843	768	1112	700	810	157	61	58	253	254	222	86	564	118	37	192	54	185	627	48	131	100	743	372	147	50	42	229	70	65	269	141	687	173	288	70	351	235	31	95	87	38	198	143	223	97	92	
6	13	13	6	10	1	0	0	2	0	4	1	2	0	0	2	2	4	6	4	0	1	6	2	0	0	1	4	0	0	2	1	10	1	2	0	2	1	0	1	5	0	1	2	3	1	1	
910	869	1173	811	936	188	69	84	282	280	275	112	693	150	47	224	69	198	710	50	150	123	888	429	168	59	52	271	84	77	298	159	827	220	343	85	389	252	36	99	94	42	252	157	258	158	133	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

2	7	8	1	5	3	0	2	1	3	0	0	3	0	0	1	0	2	5	0	0	1	2	1	0	0	0	6	0	0	1	0	2	0	5	1	3	1	0	1	0	1	1	1	4	1	0	
191	153	232	137	167	40	15	13	40	23	33	18	99	21	4	42	6	23	143	10	14	14	134	46	22	7	9	8	12	12	45	13	176	26	53	13	72	29	2	21	28	0	20	14	29	18	6	
26	45	56	36	58	3	3	1	13	7	11	4	28	8	1	7	2	10	22	0	8	2	40	9	9	1	2	25	5	3	9	11	42	7	13	5	12	4	1	3	4	0	10	5	10	11	9	
645	623	840	605	667	139	50	68	214	234	227	89	541	116	42	170	57	156	516	37	122	103	678	362	134	50	38	227	65	61	235	131	569	182	261	63	289	208	31	70	61	40	217	132	197	123	116	
17	11	13	12	17	1	1	0	6	4	1	0	10	3	0	1	3	2	5	3	1	1	12	9	2	0	0	5	0	1	1	1	19	2	5	2	7	5	1	2	0	0	0	4	4	2	1	
7	10	7	10	9	1	0	0	1	3	2	0	5	1	0	3	0	3	12	0	4	0	12	0	1	0	1	0	1	0	3	1	7	2	3	0	2	4	0	0	1	1	2	0	2	2	1	
13	8	8	4	3	0	0	0	1	4	0	0	3	1	0	0	1	1	4	0	1	1	3	1	0	1	2	0	0	0	0	1	7	1	1	1	0	1	0	1	0	0	0	1	2	1	0	
9	12	9	6	10	1	0	0	6	2	1	1	4	0	0	0	0	1	3	0	0	1	7	1	0	0	0	0	1	0	4	1	5	0	2	0	4	0	1	1	0	0	2	0	10	0	0	
