"УИК №1501"	"УИК №1502"	"УИК №1503"	"УИК №1504"	"УИК №1505"	"УИК №1506"	"УИК №1507"	"УИК №1508"	"УИК №1509"	"УИК №1510"	"УИК №1511"	"УИК №1512"	"УИК №1513"	"УИК №1514"	"УИК №1515"	"УИК №1516"	"УИК №1517"	"УИК №1518"	"УИК №1519"	"УИК №1520"	"УИК №1521"	"УИК №1522"	
532	174	238	144	640	179	138	233	330	350	238	219	161	430	382	702	699	335	132	130	2184	1148	
500	150	200	120	700	180	120	200	300	300	200	200	150	400	350	700	700	300	100	120	2000	1000	
18	0	0	0	0	0	0	0	69	0	0	0	26	0	0	44	0	0	0	7	0	8	
284	61	157	98	406	112	65	105	127	222	117	133	85	216	95	379	425	208	67	70	1374	670	
87	70	21	22	101	35	40	77	55	46	50	27	13	90	166	81	80	47	23	32	224	110	
111	19	22	0	193	33	15	18	49	32	33	40	26	94	89	196	195	45	10	11	402	212	
105	70	21	22	101	35	40	77	124	46	50	27	39	90	166	125	80	47	23	39	224	118	
284	61	157	98	406	112	65	105	127	222	117	133	85	216	95	379	425	208	67	70	1374	670	
2	2	0	0	8	0	2	2	2	2	1	1	0	3	3	10	2	4	0	0	20	10	
387	129	178	120	499	147	103	180	249	266	166	159	124	303	258	494	503	251	90	109	1578	778	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

2	2	2	0	3	2	1	1	1	1	2	0	2	0	0	4	6	0	0	0	9	2	
16	7	20	2	41	14	5	11	15	25	15	34	17	10	10	39	31	24	4	10	162	67	
36	13	7	4	42	16	18	17	21	38	15	8	13	24	21	72	37	19	2	9	135	62	
326	104	144	109	409	111	73	145	208	195	131	116	86	266	224	371	411	204	83	86	1208	630	
2	0	4	2	2	1	2	1	2	4	1	0	3	1	1	2	6	1	1	2	21	3	
2	0	1	1	0	0	2	4	2	1	2	0	1	1	0	1	5	1	0	1	19	7	
1	1	0	1	2	2	2	1	0	2	0	1	0	0	0	4	2	1	0	0	11	7	
2	2	0	1	0	1	0	0	0	0	0	0	2	1	2	1	5	1	0	1	13	0	
