"УИК №5101"	"УИК №5102"	"УИК №5103"	"УИК №5104"	"УИК №5105"	"УИК №5106"	"УИК №5107"	"УИК №5108"	"УИК №5109"	"УИК №5110"	"УИК №5111"	"УИК №5112"	"УИК №5113"	"УИК №5114"	"УИК №5115"	"УИК №5116"	"УИК №5117"	"УИК №5118"	"УИК №5119"	"УИК №5120"	"УИК №5121"	"УИК №5122"	"УИК №5123"	"УИК №5124"	"УИК №5125"	"УИК №5126"	"УИК №5127"	"УИК №5129"	"УИК №5130"	"УИК №5131"	"УИК №5132"	"УИК №5133"	"УИК №5134"	"УИК №5135"	"УИК №5137"	"УИК №5138"	"УИК №5139"	"УИК №5140"	"УИК №5141"	"УИК №5142"	
1420	199	263	169	120	164	735	165	160	121	1182	206	365	285	305	475	167	138	214	799	506	192	278	385	289	650	765	112	115	291	811	402	178	445	199	72	976	1047	387	920	
1180	200	230	150	100	150	670	140	140	120	1000	170	320	250	280	400	130	150	190	670	430	160	240	330	230	580	690	110	100	290	740	360	180	430	180	100	860	900	340	810	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
752	120	113	75	72	70	404	55	79	93	586	96	197	182	174	228	108	79	123	408	245	98	174	234	162	376	401	90	75	159	457	234	101	272	125	58	437	551	199	378	
102	39	80	35	19	26	120	47	36	16	198	62	65	42	44	88	17	19	32	133	61	40	43	51	59	72	108	5	7	25	100	70	19	75	27	5	154	157	78	277	
326	41	37	40	9	54	146	38	25	11	216	12	58	26	62	84	5	52	35	129	124	22	23	45	9	132	181	15	18	106	183	56	60	83	28	37	269	192	63	155	
102	39	80	35	19	26	120	47	36	16	198	62	65	42	44	88	17	19	32	133	61	40	43	51	59	72	108	5	7	25	100	70	19	75	27	5	154	157	78	277	
752	120	113	75	72	70	404	55	79	93	586	96	197	182	174	228	108	79	123	408	245	98	174	234	162	376	401	90	75	159	457	234	101	272	125	58	437	551	199	378	
10	3	2	1	0	0	4	2	4	2	12	0	5	3	1	6	7	1	0	12	3	0	1	0	7	5	11	1	0	2	6	1	3	0	0	0	7	10	2	5	
844	156	191	109	91	96	520	100	111	107	772	158	257	221	217	310	118	97	155	529	303	138	216	285	214	443	498	94	82	182	551	303	117	347	152	63	584	698	275	650	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

1	0	0	1	0	0	4	0	2	0	9	0	0	1	1	4	0	0	5	8	1	1	2	0	1	2	1	0	1	0	3	1	1	1	0	0	2	2	0	2	
81	19	11	8	3	7	30	10	10	10	64	6	18	24	11	16	1	5	14	50	29	14	16	21	13	36	32	4	11	13	29	18	3	36	7	3	56	53	11	50	
60	17	14	10	9	7	41	8	15	8	95	26	33	26	22	13	8	11	19	40	26	5	20	25	13	28	43	5	11	13	43	20	1	32	8	4	49	80	19	74	
681	118	164	89	79	82	430	78	82	87	588	122	204	162	180	272	106	81	113	420	239	117	175	237	179	368	407	83	56	154	466	250	111	265	136	55	458	554	243	516	
10	0	0	1	0	0	7	1	2	2	8	3	1	4	1	2	0	0	2	4	2	0	0	0	1	3	6	1	3	0	4	5	0	5	1	1	6	5	1	3	
3	2	0	0	0	0	3	3	0	0	3	0	0	3	0	2	3	0	0	5	1	1	3	1	2	4	3	1	0	2	2	3	0	4	0	0	8	0	1	3	
3	0	2	0	0	0	3	0	0	0	1	1	0	1	2	0	0	0	2	1	4	0	0	1	2	1	5	0	0	0	4	5	0	2	0	0	4	1	0	2	
5	0	0	0	0	0	2	0	0	0	4	0	1	0	0	1	0	0	0	1	1	0	0	0	3	1	1	0	0	0	0	1	1	2	0	0	1	3	0	0	
