"УИК №299"	"УИК №300"	"УИК №301"	"УИК №302"	"УИК №303"	"УИК №304"	"УИК №305"	"УИК №306"	"УИК №307"	"УИК №308"	
1607	1344	326	334	399	679	449	628	839	303	
1650	1400	300	400	400	700	450	650	900	300	
0	0	0	0	0	0	0	0	0	0	
908	807	115	124	156	232	145	203	370	96	
124	114	116	139	114	198	172	214	216	106	
618	479	69	137	130	270	133	233	314	98	
124	114	116	139	114	198	172	214	216	106	
908	807	115	124	156	232	145	203	370	96	
13	7	1	1	0	4	4	1	2	3	
1019	914	230	262	270	426	313	416	584	199	
0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	

6	9	1	4	2	4	3	2	4	1	
144	125	40	11	10	50	42	34	67	30	
55	63	8	13	19	32	34	38	42	24	
776	687	176	227	231	320	230	337	452	136	
17	9	4	3	4	8	1	3	10	1	
4	4	1	3	3	5	2	1	3	5	
9	5	0	0	1	5	0	0	2	1	
8	12	0	1	0	2	1	1	4	1	
