"УИК №819"	"УИК №820"	"УИК №821"	"УИК №822"	"УИК №823"	"УИК №824"	"УИК №825"	"УИК №826"	"УИК №827"	"УИК №828"	"УИК №829"	"УИК №830"	"УИК №831"	"УИК №832"	"УИК №833"	"УИК №834"	"УИК №835"	"УИК №836"	"УИК №837"	"УИК №838"	"УИК №839"	"УИК №840"	"УИК №841"	"УИК №842"	"УИК №843"	"УИК №844"	"УИК №845"	"УИК №846"	"УИК №847"	"УИК №848"	"УИК №849"	"УИК №850"	"УИК №851"	"УИК №852"	"УИК №853"	"УИК №854"	"УИК №855"	"УИК №856"	"УИК №857"	"УИК №858"	"УИК №859"	"УИК №860"	"УИК №861"	"УИК №862"	"УИК №863"	"УИК №864"	"УИК №865"	"УИК №866"	
565	418	1310	358	1896	607	120	214	438	302	329	176	691	142	133	233	1496	1740	1158	2268	2023	789	388	446	445	518	204	470	1001	835	1660	537	474	470	603	1373	1043	157	608	1951	2317	2003	509	334	616	79	309	315	
536	398	1229	322	1798	572	101	187	393	279	308	173	645	123	115	218	1361	1535	1091	2093	1870	788	362	415	420	477	194	444	900	758	1611	506	414	417	562	1220	983	138	563	1774	2106	1839	465	297	563	68	290	295	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
255	220	609	149	1108	500	64	120	335	156	208	93	574	111	90	187	633	885	547	1018	997	612	309	284	377	330	145	333	601	507	1082	351	297	309	297	702	680	127	446	1420	1937	1551	379	203	420	50	185	202	
31	25	75	44	122	14	21	8	26	54	25	33	71	12	25	15	88	68	57	115	60	86	21	55	37	51	19	61	218	83	80	95	87	59	72	318	175	10	30	69	33	72	32	31	14	10	35	48	
250	153	545	129	568	58	16	59	32	69	75	47	0	0	0	16	640	582	487	960	813	90	32	76	6	96	30	50	81	168	449	60	30	49	193	200	128	1	87	285	136	216	54	63	129	8	70	45	
31	25	75	44	122	14	21	8	26	54	25	33	71	12	25	15	88	68	57	115	60	86	21	55	37	51	19	61	218	83	80	95	87	59	72	318	175	10	30	69	33	72	32	31	14	10	35	48	
255	220	609	149	1108	500	64	120	335	156	208	93	574	111	90	187	633	885	547	1018	997	612	309	284	377	330	145	333	601	507	1082	351	297	309	297	702	680	127	446	1420	1937	1551	379	203	420	50	185	202	
0	5	5	3	3	0	0	0	4	1	3	0	0	0	0	0	5	5	0	15	10	1	0	0	0	3	0	1	7	4	14	0	4	3	3	10	7	0	3	10	0	4	0	2	0	0	0	4	
286	240	679	190	1227	514	85	128	357	209	230	126	645	123	115	202	716	948	604	1118	1047	697	330	339	414	378	164	393	812	586	1148	446	380	365	366	1010	848	137	473	1479	1970	1619	411	232	434	60	220	246	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

1	1	3	1	2	3	1	5	1	0	1	2	4	0	0	0	2	6	3	9	4	0	0	2	2	1	0	0	2	5	8	1	3	0	1	11	3	0	1	13	7	6	0	2	6	0	0	1	
23	40	48	12	150	43	8	27	27	19	16	6	21	5	11	18	100	106	85	172	155	40	14	13	15	31	6	15	83	78	106	54	28	25	31	68	38	11	34	126	145	116	45	26	87	2	22	30	
15	18	55	15	67	20	7	7	11	16	21	8	31	3	0	3	45	54	42	79	80	25	22	21	11	18	17	15	30	48	83	34	27	13	34	72	19	2	31	87	55	63	20	17	32	8	13	18	
244	172	559	160	992	444	65	79	314	171	183	110	583	114	104	181	555	766	459	832	778	626	294	296	384	327	140	359	690	447	934	352	316	326	294	839	772	124	401	1226	1746	1421	344	183	296	50	183	194	
2	1	3	0	1	0	0	1	1	2	2	0	3	0	0	0	3	3	3	9	6	1	0	1	0	1	0	0	1	3	7	2	2	0	2	4	10	0	1	9	5	6	0	3	3	0	0	1	
1	3	8	1	11	2	3	2	1	0	5	0	0	0	0	0	6	1	9	10	13	1	0	1	2	0	1	3	2	2	6	1	1	1	2	9	1	0	3	11	10	3	1	0	5	0	2	2	
0	5	1	0	1	1	1	5	1	1	1	0	1	1	0	0	3	9	1	3	8	4	0	1	0	0	0	0	2	3	2	2	1	0	2	4	4	0	1	4	1	2	0	1	0	0	0	0	
0	0	2	1	3	1	0	2	1	0	1	0	2	0	0	0	2	3	2	4	3	0	0	4	0	0	0	1	2	0	2	0	2	0	0	3	1	0	1	3	1	2	1	0	5	0	0	0	
