"УИК №41"	"УИК №42"	"УИК №43"	"УИК №44"	"УИК №45"	"УИК №46"	"УИК №47"	"УИК №48"	"УИК №49"	"УИК №50"	"УИК №51"	"УИК №52"	"УИК №53"	"УИК №54"	"УИК №55"	"УИК №56"	"УИК №57"	"УИК №58"	"УИК №59"	
720	545	300	197	120	181	360	256	198	725	1378	1099	174	548	230	143	147	587	220	
650	550	290	190	120	170	350	220	190	700	1100	1000	150	500	230	130	140	550	220	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
483	322	154	152	92	87	272	145	115	441	739	602	120	324	139	98	80	332	162	
50	63	93	26	19	53	28	16	23	93	146	87	17	66	48	11	37	113	20	
117	165	43	12	9	30	50	59	52	166	215	311	13	110	43	21	23	105	38	
50	63	93	26	19	53	28	16	23	93	146	87	17	66	48	11	37	113	20	
483	322	154	152	92	87	272	145	115	441	739	602	120	324	139	98	80	332	162	
3	1	0	2	0	2	0	0	1	3	7	6	0	2	1	0	0	1	0	
530	384	247	176	111	138	300	161	137	531	878	683	137	388	186	109	117	444	182	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

5	1	4	0	0	0	1	0	3	2	3	3	0	2	0	1	0	2	0	
39	31	4	12	6	7	33	18	4	64	104	72	3	31	18	18	7	17	8	
27	27	9	13	11	7	15	7	5	30	52	53	7	27	13	8	5	20	7	
453	322	227	148	92	124	246	133	124	428	695	531	125	327	152	81	104	404	162	
1	2	1	3	1	0	2	1	0	2	11	8	1	1	2	0	1	0	1	
4	1	0	0	0	0	0	1	1	0	6	7	1	0	0	0	0	1	3	
0	0	1	0	1	0	2	1	0	2	5	5	0	0	1	0	0	0	1	
1	0	1	0	0	0	1	0	0	3	2	4	0	0	0	1	0	0	0	
