"УИК №290"	"УИК №291"	"УИК №292"	"УИК №293"	"УИК №294"	"УИК №295"	"УИК №296"	"УИК №297"	"УИК №298"	"УИК №299"	"УИК №300"	"УИК №301"	"УИК №302"	"УИК №303"	"УИК №304"	"УИК №305"	
213	205	232	520	105	75	133	134	109	304	348	150	133	756	516	487	
190	200	230	500	100	70	120	130	90	290	310	130	120	700	470	450	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
121	129	130	334	57	45	81	82	74	171	174	79	84	472	314	297	
64	23	47	51	23	15	17	13	12	30	70	45	17	60	47	45	
5	48	53	115	20	10	22	35	4	89	66	6	19	168	109	108	
64	23	47	51	23	15	17	13	12	30	70	45	17	60	47	45	
121	129	130	334	57	45	81	82	74	171	174	79	84	472	314	297	
1	4	0	5	0	0	0	0	0	1	1	0	1	0	3	3	
184	148	177	380	80	60	98	95	86	200	243	124	100	532	358	339	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

1	0	2	3	0	0	0	1	0	2	2	1	0	0	2	3	
37	7	26	47	3	3	18	6	16	21	31	4	7	107	42	73	
7	8	13	33	7	5	6	10	8	15	18	9	11	30	21	31	
135	130	136	293	70	49	72	76	62	151	189	109	81	379	287	221	
2	3	0	1	0	0	1	0	0	2	1	0	0	8	4	5	
2	0	0	2	0	3	1	0	0	7	0	0	0	3	0	3	
0	0	0	1	0	0	0	2	0	1	2	0	0	3	0	0	
0	0	0	0	0	0	0	0	0	1	0	1	1	2	2	3	
