"УИК №946"	"УИК №947"	"УИК №948"	"УИК №949"	"УИК №950"	"УИК №951"	"УИК №952"	"УИК №953"	"УИК №954"	"УИК №955"	"УИК №956"	"УИК №957"	"УИК №958"	"УИК №959"	"УИК №960"	"УИК №961"	"УИК №962"	"УИК №963"	"УИК №964"	"УИК №965"	"УИК №966"	"УИК №967"	"УИК №968"	"УИК №969"	"УИК №970"	"УИК №971"	"УИК №972"	"УИК №973"	"УИК №974"	"УИК №975"	"УИК №976"	"УИК №977"	"УИК №978"	"УИК №979"	"УИК №980"	"УИК №981"	"УИК №982"	"УИК №983"	"УИК №984"	"УИК №985"	"УИК №986"	"УИК №987"	"УИК №988"	"УИК №989"	"УИК №990"	"УИК №991"	"УИК №992"	"УИК №993"	"УИК №1026"	"УИК №1030"	
817	2046	2480	2397	2375	2411	1966	2024	1767	2452	2095	1804	2515	2379	2401	2001	1920	2297	2470	2728	2811	2157	1933	2885	2144	2744	2796	2442	2146	2246	2294	2730	2919	2637	2598	2607	2926	2725	2517	2799	3006	1880	1454	1607	1515	1686	2200	2116	2977	357	
800	1600	2000	2000	2300	2200	1700	1800	1600	2200	1900	1600	2300	2200	2100	1800	1800	2100	2200	2500	2400	2000	1700	2600	1800	2600	2500	2300	2000	2000	2100	2600	2600	2500	2400	2500	2700	2600	2300	2600	2600	1600	1300	1400	1400	1500	2000	2000	2500	353	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
581	838	1285	1344	1402	1290	991	1155	954	1393	1210	915	1367	1354	1356	1109	1132	1372	1366	1597	1491	1184	1022	1633	1217	1598	1644	1385	1147	1311	1376	1595	1489	1652	1594	1522	1695	1471	1363	1650	1811	938	694	899	759	863	1026	1120	1582	304	
7	533	369	33	52	87	48	57	47	40	41	52	40	42	57	41	49	67	43	54	47	20	28	47	44	38	47	39	66	31	53	35	47	35	38	37	33	29	30	23	21	93	48	93	40	70	54	29	41	49	
212	229	346	623	846	823	661	588	599	767	649	633	893	804	687	650	619	661	791	849	862	796	650	920	539	964	809	876	787	658	671	970	1064	813	768	941	972	1100	907	927	768	569	558	408	601	567	920	851	877	0	
7	533	369	33	52	87	48	57	47	40	41	52	40	42	57	41	49	67	43	54	47	20	28	47	44	38	47	39	66	31	53	35	47	35	38	37	33	29	30	23	21	93	48	93	40	70	54	29	41	49	
581	838	1285	1342	1402	1290	991	1155	954	1393	1210	915	1367	1353	1356	1109	1131	1372	1366	1597	1491	1184	1022	1633	1217	1596	1641	1385	1147	1310	1376	1595	1489	1652	1593	1522	1695	1471	1363	1650	1810	938	694	899	759	862	1025	1120	1581	304	
14	10	12	8	12	13	8	10	5	10	7	2	11	15	6	8	10	19	27	22	13	8	12	11	17	15	10	10	9	14	17	14	11	11	12	10	14	15	14	16	20	7	8	12	9	8	7	29	15	3	
574	1361	1642	1367	1442	1364	1031	1202	996	1423	1244	965	1396	1380	1407	1142	1170	1420	1382	1629	1525	1196	1038	1669	1244	1619	1678	1414	1204	1327	1412	1616	1525	1676	1619	1549	1714	1485	1379	1657	1811	1024	734	980	790	924	1072	1120	1607	350	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

4	9	11	15	9	17	5	8	7	11	11	6	7	13	13	11	12	20	10	9	12	4	6	20	19	21	16	8	16	14	12	16	6	12	12	17	14	15	11	12	10	11	5	5	6	7	3	7	6	2	
97	176	234	217	241	204	133	144	144	220	173	140	196	183	224	186	171	215	176	265	211	170	162	232	209	229	251	211	159	189	205	223	241	214	216	217	254	232	216	247	270	134	72	108	98	128	126	144	217	37	
29	86	89	88	102	94	87	76	64	81	62	62	95	115	92	77	93	88	106	105	95	82	83	115	69	103	90	91	77	92	96	103	123	108	107	108	123	99	80	94	114	57	73	96	76	56	81	114	102	22	
389	1025	1195	993	1028	997	769	915	733	1015	921	722	1049	984	1024	807	839	1037	1026	1190	1127	891	744	1219	887	1199	1230	1038	895	971	1017	1176	1079	1261	1213	1128	1239	1079	1011	1210	1329	797	556	736	590	706	817	818	1205	273	
20	27	53	19	36	21	13	27	16	42	36	18	18	34	13	31	26	17	22	28	38	23	17	26	17	30	30	24	29	22	34	41	43	31	26	30	30	31	25	35	38	9	10	16	10	10	20	12	29	5	
12	11	15	9	5	14	5	7	5	9	3	3	11	10	7	7	5	9	9	11	10	8	10	10	14	7	13	8	6	16	7	15	8	11	12	21	12	7	7	16	7	6	7	2	4	4	11	11	3	5	
9	11	18	10	13	5	9	11	10	17	16	9	6	19	9	7	11	16	9	11	9	7	6	28	12	8	22	17	6	8	12	17	17	15	14	14	23	8	11	24	16	5	10	8	4	10	5	11	23	2	
14	16	27	16	8	12	10	14	17	28	22	5	14	22	25	16	13	18	24	10	23	11	10	19	17	22	26	17	16	15	29	25	8	24	19	14	19	14	18	19	27	5	1	9	2	3	9	3	22	4	
