"УИК №141"	"УИК №142"	"УИК №143"	"УИК №144"	"УИК №145"	"УИК №146"	"УИК №147"	"УИК №149"	"УИК №150"	"УИК №151"	"УИК №152"	"УИК №153"	"УИК №154"	"УИК №155"	"УИК №157"	
2434	1566	2143	1970	2023	1626	931	1624	1922	714	328	871	77	149	260	
2521	1508	2196	2060	2084	1616	969	1806	1973	695	392	969	91	183	299	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1401	802	1202	1179	1169	856	480	835	1073	375	199	642	54	135	186	
38	96	50	57	35	34	24	120	63	119	18	57	7	0	23	
1082	610	944	824	880	726	465	851	837	201	175	270	30	48	90	
38	96	50	57	35	34	24	120	63	119	18	57	7	0	23	
1401	802	1202	1179	1169	856	480	835	1073	375	199	642	54	135	186	
39	20	33	23	37	25	10	13	35	10	2	45	1	2	1	
1400	878	1219	1213	1167	865	494	942	1101	484	215	654	60	133	208	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

9	7	6	12	10	8	3	2	9	0	2	7	0	1	0	
302	162	225	220	235	154	82	202	263	60	21	55	9	9	28	
143	103	152	101	118	100	49	124	113	48	12	45	5	10	23	
911	575	796	843	769	579	345	582	685	369	171	531	44	109	156	
12	14	7	18	19	11	5	14	13	1	6	3	1	1	0	
6	6	11	9	4	3	5	10	9	2	1	4	1	2	0	
8	6	10	6	5	5	2	6	8	0	2	5	0	1	1	
9	5	12	4	7	5	3	2	1	4	0	4	0	0	0	
