"УИК №501"	"УИК №502"	"УИК №503"	"УИК №504"	"УИК №505"	"УИК №506"	"УИК №507"	"УИК №508"	"УИК №509"	"УИК №510"	"УИК №511"	"УИК №512"	"УИК №513"	"УИК №514"	"УИК №515"	"УИК №516"	"УИК №517"	"УИК №518"	"УИК №519"	"УИК №520"	"УИК №521"	"УИК №522"	"УИК №523"	"УИК №524"	"УИК №525"	"УИК №526"	"УИК №527"	"УИК №528"	
1063	534	379	989	489	1024	823	982	462	508	98	137	149	783	259	219	214	203	66	525	155	169	340	325	399	202	723	410	
1063	531	375	922	492	961	876	989	462	510	99	143	154	783	257	217	220	208	68	532	152	171	338	328	412	207	718	406	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
814	418	278	769	411	852	676	810	393	445	81	128	128	654	237	194	187	175	63	399	94	143	294	273	341	165	587	349	
112	62	51	56	42	90	71	33	23	40	10	4	15	93	11	17	24	27	3	74	46	22	33	38	50	30	93	57	
137	51	46	97	39	19	129	146	46	25	8	11	11	36	9	6	9	6	2	59	12	6	11	17	21	12	38	0	
112	62	51	56	42	90	71	33	23	40	10	4	15	93	11	17	24	27	3	74	46	22	33	38	50	30	93	57	
814	418	278	769	411	852	676	810	393	445	81	128	128	654	237	194	187	175	63	399	94	143	294	273	341	165	587	349	
3	9	4	5	5	19	5	6	2	4	0	1	0	0	0	0	1	1	0	5	3	1	1	4	5	0	2	1	
923	471	325	820	448	923	742	837	414	481	91	131	143	747	248	211	210	201	66	468	137	164	326	307	386	195	678	405	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

4	3	3	7	3	5	3	5	0	2	0	3	1	6	0	0	2	0	0	3	3	0	2	1	2	1	4	2	
100	61	34	146	64	113	114	142	60	66	11	14	7	70	10	11	15	27	2	46	17	18	14	29	68	16	37	40	
60	43	24	41	30	81	50	49	27	24	7	2	3	42	13	12	27	10	6	43	7	8	20	27	16	20	38	17	
748	355	256	605	340	699	563	623	317	382	73	110	129	617	223	182	165	156	58	364	105	136	283	242	288	157	576	339	
1	1	1	7	4	11	3	10	6	3	0	1	1	3	1	3	1	1	0	7	1	1	2	0	5	1	6	3	
8	4	0	7	4	6	3	4	1	0	0	1	0	5	0	3	0	5	0	5	4	0	2	6	5	0	9	3	
1	4	4	4	3	3	4	1	2	3	0	0	0	2	1	0	0	2	0	0	0	1	2	1	0	0	7	1	
1	0	3	3	0	5	2	3	1	1	0	0	2	2	0	0	0	0	0	0	0	0	1	1	2	0	1	0	
