"УИК №1201"	"УИК №1202"	"УИК №1203"	"УИК №1204"	"УИК №1205"	"УИК №1206"	"УИК №1207"	"УИК №1208"	"УИК №1209"	"УИК №1210"	"УИК №1211"	"УИК №1212"	"УИК №1213"	"УИК №1214"	"УИК №1215"	"УИК №1216"	"УИК №1217"	"УИК №1218"	"УИК №1219"	"УИК №1220"	"УИК №1221"	"УИК №1222"	"УИК №1223"	"УИК №1224"	"УИК №1225"	"УИК №1226"	"УИК №1227"	"УИК №1228"	"УИК №1229"	"УИК №1230"	"УИК №1231"	
1329	966	1327	1007	916	642	611	952	1580	3052	2095	964	1465	1044	864	630	1300	801	1031	1386	524	504	507	2031	1308	1391	805	1938	1690	1603	1559	
1410	900	1150	900	950	600	550	850	1400	2500	2000	1000	1400	950	800	600	1100	800	950	1300	450	500	460	2000	1280	1300	738	1800	1500	1700	1500	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
942	648	812	744	717	452	469	727	1044	1940	1351	681	1095	701	595	482	880	556	721	960	399	417	400	1469	1004	1011	664	1301	1088	1135	1187	
82	72	100	62	61	61	47	81	53	42	92	102	90	64	41	69	149	49	23	71	21	35	24	95	55	106	53	89	58	125	30	
386	180	238	94	172	87	34	42	303	518	557	217	215	185	164	49	71	195	206	269	30	48	36	436	221	183	21	410	354	440	283	
82	72	100	62	61	61	47	81	53	42	92	102	90	64	41	69	149	49	23	71	21	35	24	95	55	106	53	89	58	125	30	
942	648	812	744	717	452	469	727	1044	1940	1351	681	1095	701	595	482	880	555	721	959	399	417	400	1468	1004	1011	664	1301	1088	1135	1187	
13	11	8	25	4	10	16	9	20	20	12	6	12	6	9	6	14	8	12	16	5	7	7	20	17	16	8	34	17	14	19	
1011	709	904	781	774	503	500	799	1077	1962	1431	777	1173	759	627	545	1015	596	732	1014	415	445	417	1543	1042	1101	709	1356	1129	1246	1198	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

5	4	2	20	4	2	3	5	6	13	8	5	6	5	4	1	6	6	8	7	6	1	4	7	9	7	4	14	2	9	6	
113	69	114	91	65	61	80	111	153	258	167	83	191	92	66	57	107	88	108	134	35	62	44	245	173	176	105	147	121	135	132	
72	49	60	77	46	38	44	65	75	120	103	64	71	48	57	43	73	50	52	61	15	18	22	81	57	55	30	68	57	76	68	
778	574	699	539	637	377	346	596	804	1498	1101	606	866	590	481	431	804	430	528	769	349	345	335	1136	763	817	548	1090	901	987	958	
14	4	9	16	8	11	15	7	19	38	15	9	19	8	8	5	8	15	19	17	5	11	8	36	14	22	12	16	14	20	14	
15	2	9	11	3	5	3	8	11	11	9	5	4	4	7	1	7	2	6	9	2	2	2	14	8	5	0	8	12	9	5	
10	4	6	12	4	3	5	1	4	12	16	1	10	5	3	3	3	3	4	8	1	2	1	9	6	7	5	9	10	3	9	
4	3	5	15	7	6	4	6	5	12	12	4	6	7	1	4	7	2	7	9	2	4	1	15	12	12	5	4	12	7	6	
