"УИК №2601"	"УИК №2602"	"УИК №2603"	"УИК №2604"	"УИК №2605"	"УИК №2606"	"УИК №2607"	"УИК №2608"	"УИК №2609"	"УИК №2610"	"УИК №2611"	"УИК №2612"	"УИК №2613"	"УИК №2614"	"УИК №2615"	"УИК №2616"	"УИК №2617"	"УИК №2618"	"УИК №2619"	"УИК №2620"	"УИК №2621"	"УИК №2622"	"УИК №2623"	"УИК №2624"	"УИК №2625"	"УИК №2626"	"УИК №2627"	"УИК №2628"	"УИК №2629"	"УИК №2630"	"УИК №2631"	"УИК №2632"	"УИК №2633"	"УИК №2634"	"УИК №2635"	"УИК №2636"	"УИК №2637"	"УИК №2638"	"УИК №2639"	"УИК №2640"	"УИК №2641"	"УИК №2642"	"УИК №2643"	"УИК №2644"	"УИК №2645"	"УИК №2646"	"УИК №2647"	"УИК №2648"	"УИК №2649"	"УИК №2650"	"УИК №2651"	"УИК №2652"	"УИК №2653"	"УИК №2654"	"УИК №2655"	"УИК №2656"	"УИК №2657"	"УИК №2658"	"УИК №2659"	"УИК №2660"	"УИК №2661"	"УИК №2662"	"УИК №2663"	"УИК №2664"	"УИК №2665"	"УИК №2666"	"УИК №2667"	"УИК №2668"	"УИК №2669"	"УИК №2670"	"УИК №2671"	"УИК №2672"	"УИК №2673"	"УИК №2674"	"УИК №2675"	"УИК №2676"	"УИК №2677"	"УИК №2678"	"УИК №2679"	"УИК №2680"	"УИК №2681"	"УИК №2682"	"УИК №2683"	"УИК №2684"	"УИК №2685"	"УИК №2686"	"УИК №2687"	"УИК №2688"	"УИК №2689"	
1835	2548	2474	1935	2749	1919	2147	1685	1613	2655	2397	2103	1957	920	2251	1716	2415	2215	1946	2500	2193	1872	1519	2112	2748	2322	2031	2408	2248	2094	1934	2289	2228	1919	2536	2725	2259	2647	2386	2721	3048	2172	3250	1345	2550	2634	2352	1610	2187	1633	1729	1860	1916	1646	1867	1933	1803	2495	1862	1620	2385	1467	2252	2377	2122	2329	2468	2403	2048	2188	2243	2411	2238	2185	1989	2181	2657	2142	1520	2542	2253	1105	1651	575	2300	949	194	53	138	
1800	2400	2300	1800	2600	1800	2100	1600	1400	2600	2300	2100	1900	700	2200	1600	2400	2000	1900	2500	2200	1800	1400	2100	2600	2200	2000	2300	2200	2000	1900	2200	2000	1800	2500	2700	2200	2600	2400	2700	3000	2200	3000	2300	2500	2500	2300	1500	2100	1600	1500	1700	1800	1500	1700	1900	1700	2400	1800	1600	2400	1400	2200	2300	2000	2200	2300	2300	2000	2100	2200	2300	2200	2100	1900	2100	2600	2100	1400	2400	2200	1000	1400	500	2200	955	191	52	144	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1085	1170	1081	938	1173	783	1114	712	755	1302	1264	1196	1168	545	1297	947	1447	1246	1053	1500	1208	1028	776	1081	1575	1343	1150	1265	1200	1057	970	1304	1232	1060	1605	1372	1150	1346	1412	1544	1693	896	1922	1274	1412	1476	1116	873	1070	856	935	1024	1093	858	993	1062	1037	1408	996	810	1239	786	1218	1367	1153	1231	1404	1328	1140	1200	1263	1272	1250	1215	1041	1288	1514	1091	899	1469	1219	550	754	319	1166	505	186	46	126	
35	72	82	47	122	52	61	42	80	95	89	60	51	33	51	50	54	55	59	69	50	47	24	63	70	41	60	57	67	48	34	65	41	66	57	61	62	56	67	57	59	46	33	71	64	54	83	64	84	72	70	55	60	47	72	113	54	77	61	41	72	57	45	56	89	70	40	74	74	44	61	58	65	47	88	40	53	64	51	80	61	18	44	16	54	321	0	6	12	
680	1158	1137	815	1305	965	925	846	565	1203	947	844	681	122	852	603	899	699	788	931	942	725	600	956	955	816	790	978	933	895	896	831	727	674	838	1267	988	1198	921	1099	1248	1258	1045	955	1024	970	1101	563	946	672	495	621	647	595	635	725	609	914	743	749	1089	557	937	877	758	899	855	898	786	856	876	970	885	838	771	772	1033	945	450	851	920	432	602	165	980	129	5	0	6	
35	72	82	47	122	52	61	42	80	95	89	60	51	33	51	50	54	55	59	69	50	47	24	63	70	41	60	57	67	48	34	65	41	66	57	61	62	56	67	57	59	46	33	71	64	54	83	64	84	72	70	55	60	47	72	113	54	77	61	41	72	57	45	56	89	70	40	74	74	44	61	58	65	47	88	40	53	64	51	80	61	18	44	16	54	321	0	6	12	
1085	1170	1081	938	1173	783	1114	712	755	1302	1264	1196	1168	544	1297	947	1444	1246	1053	1500	1208	1028	776	1070	1575	1343	1150	1265	1200	1057	970	1304	1232	1060	1604	1372	1148	1346	1412	1543	1693	896	1922	1274	1410	1476	1115	873	1070	856	935	1023	1093	858	993	1061	1037	1403	996	810	1239	786	1218	1364	1153	1231	1404	1328	1140	1200	1263	1272	1250	1215	1041	1288	1514	1091	892	1469	1219	550	754	319	1166	505	186	46	126	
16	16	9	11	14	8	19	3	8	28	15	10	8	5	19	16	21	17	8	29	18	15	15	0	23	40	10	14	45	8	19	12	18	18	21	17	19	12	21	20	25	10	21	12	22	11	22	10	14	9	8	16	13	11	17	18	14	19	15	17	26	6	19	8	22	8	18	18	8	15	20	11	13	18	12	16	16	25	12	14	9	9	9	3	19	7	1	0	3	
1104	1226	1154	974	1281	827	1156	751	827	1369	1338	1246	1211	572	1329	981	1477	1284	1104	1540	1240	1060	785	1133	1622	1344	1200	1308	1222	1097	985	1357	1255	1108	1640	1416	1191	1390	1458	1580	1727	932	1934	1333	1452	1519	1176	927	1140	919	997	1062	1140	894	1048	1156	1077	1461	1042	834	1285	837	1244	1412	1220	1293	1426	1384	1206	1229	1304	1319	1302	1244	1117	1312	1551	1130	931	1535	1271	559	789	332	1201	819	185	52	135	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

8	6	5	4	12	5	9	3	3	10	10	11	11	1	12	11	13	15	7	7	15	11	2	10	8	9	7	7	8	6	6	13	10	12	12	12	9	12	9	15	16	4	8	9	9	12	6	5	12	3	9	6	15	9	12	8	15	6	9	8	20	12	7	8	5	7	13	8	4	11	10	10	9	7	6	11	12	5	6	9	8	2	6	7	11	3	2	0	0	
134	120	108	98	116	89	112	68	89	136	133	134	122	55	135	79	206	140	100	208	131	104	78	117	177	117	120	137	126	115	100	110	138	114	175	158	128	146	147	196	221	94	243	153	160	186	128	97	109	97	119	98	121	85	91	128	124	160	108	80	147	91	157	172	154	163	200	146	135	146	134	133	126	125	126	124	151	143	83	190	128	67	115	41	127	96	12	6	2	
75	74	65	57	50	36	47	57	55	77	113	92	82	46	90	54	81	78	75	72	75	57	55	72	105	68	76	93	82	80	59	74	81	51	107	91	58	84	79	106	93	62	106	71	61	76	61	60	72	38	64	57	54	45	63	58	58	80	65	57	61	49	69	68	72	74	62	88	66	66	71	72	86	71	45	69	78	64	58	89	64	42	29	20	63	58	22	2	11	
832	978	937	781	1056	668	947	604	653	1093	1032	951	945	455	1022	786	1112	978	870	1188	973	846	625	881	1247	1083	937	995	959	849	771	1084	955	856	1253	1065	943	1076	1129	1177	1319	729	1449	1029	1139	1142	930	724	895	734	753	848	890	713	824	885	800	1110	804	651	967	650	922	1101	933	977	1075	1071	941	942	1011	1028	1003	987	870	1055	1233	845	740	1173	986	418	575	251	937	630	146	43	120	
26	18	17	15	21	12	20	8	18	18	26	23	22	8	31	26	33	32	19	25	18	18	11	23	47	24	28	34	13	18	22	33	22	28	48	47	24	28	41	41	39	20	73	31	29	40	28	15	23	18	22	25	25	16	16	36	38	44	24	25	36	19	35	22	23	33	31	41	27	27	37	39	30	23	24	26	36	29	20	31	45	15	33	8	27	17	1	0	2	
19	7	6	5	8	6	9	5	3	10	7	9	8	3	8	11	11	11	8	18	5	4	6	5	9	11	6	13	12	5	5	9	10	9	9	7	5	14	10	18	2	10	11	10	15	12	9	9	6	3	11	5	3	5	6	8	9	11	9	2	15	7	8	5	9	10	7	11	7	17	7	5	11	10	7	8	9	12	9	13	11	0	2	0	10	6	0	0	0	
5	13	5	8	5	6	5	1	4	5	7	11	10	2	11	6	10	11	10	8	10	5	1	8	13	9	5	12	8	7	6	17	10	10	11	15	11	9	14	10	13	5	14	13	19	25	5	9	11	15	7	3	11	6	6	8	12	22	11	2	14	3	16	15	6	12	11	8	11	9	10	8	10	11	8	5	14	5	3	7	9	7	14	2	15	5	0	0	0	
5	10	11	6	13	5	7	5	2	20	10	15	11	2	20	8	11	19	15	14	13	15	7	17	16	23	21	17	14	17	16	17	29	28	25	21	13	21	29	17	24	8	30	17	20	26	9	8	12	11	12	20	21	15	30	25	21	28	12	9	25	6	30	21	18	17	27	11	15	11	24	24	27	10	31	14	18	27	12	23	20	8	15	3	11	4	2	1	0	
