"УИК №3401"	"УИК №3402"	"УИК №3403"	"УИК №3404"	"УИК №3405"	"УИК №3406"	"УИК №3407"	"УИК №3408"	"УИК №3409"	"УИК №3410"	"УИК №3411"	"УИК №3412"	"УИК №3413"	"УИК №3414"	"УИК №3415"	"УИК №3416"	"УИК №3417"	"УИК №3418"	"УИК №3419"	"УИК №3420"	"УИК №3421"	"УИК №3422"	"УИК №3423"	"УИК №3424"	"УИК №3425"	"УИК №3426"	"УИК №3427"	"УИК №3428"	"УИК №3429"	"УИК №3430"	"УИК №3431"	"УИК №3432"	"УИК №3433"	"УИК №3434"	"УИК №3435"	"УИК №3436"	
1097	236	241	2486	2255	2041	286	226	538	531	894	2344	1659	2070	2188	2180	1860	1579	968	340	1514	1143	191	232	355	289	449	345	554	280	339	468	621	569	138	1112	
1150	240	250	2400	2250	2050	300	200	550	550	900	2300	1700	2100	2300	2250	1900	1600	1000	370	1500	1100	200	230	350	290	450	350	550	300	350	450	650	650	150	1100	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
856	185	196	1723	1742	1598	198	162	448	431	771	1827	1153	1381	1633	1657	1482	1230	629	268	1163	875	153	186	248	230	323	280	455	232	272	375	522	422	95	973	
67	23	14	364	94	78	19	31	40	72	84	109	81	96	88	62	67	87	95	33	72	51	22	21	68	45	70	18	36	22	41	52	39	73	16	62	
227	32	40	313	414	374	83	7	62	47	45	364	466	623	579	531	351	283	276	69	265	174	25	23	34	15	57	52	59	46	37	23	89	155	39	65	
67	23	14	364	94	78	19	31	40	72	84	109	81	96	88	62	67	87	95	33	72	51	22	21	68	45	70	18	36	22	41	52	39	73	16	62	
856	185	196	1723	1742	1598	198	162	448	431	771	1718	1153	1381	1633	1657	1482	1230	629	268	1163	875	153	186	248	230	323	280	455	232	272	375	522	422	95	973	
4	2	3	34	32	19	4	2	4	0	9	10	11	21	0	11	20	0	6	2	9	11	0	0	1	0	8	1	7	3	0	0	3	5	0	7	
919	206	207	2053	1804	1657	213	191	484	503	846	1817	1223	1456	1721	1708	1529	1317	718	299	1226	915	175	207	315	275	385	297	484	251	313	427	558	490	111	1028	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

3	0	1	11	7	1	1	3	1	1	1	2	4	10	8	10	14	2	3	0	7	7	0	4	0	2	2	5	6	1	3	3	3	3	0	2	
38	19	23	203	127	171	16	23	33	14	68	227	71	199	119	142	204	10	87	18	151	123	3	16	15	9	15	33	38	11	23	14	41	47	11	81	
28	13	19	106	42	103	35	18	24	40	70	9	58	134	88	50	37	10	85	25	17	25	8	7	20	8	33	19	21	22	13	4	32	34	7	43	
840	173	162	1669	1482	1375	158	144	414	438	696	1568	1018	1052	1447	1484	1236	1278	527	253	1040	731	164	178	277	253	329	240	407	211	270	401	469	400	85	889	
6	0	1	14	4	2	0	3	5	3	7	3	49	27	25	5	17	8	4	2	5	14	0	0	3	3	2	0	2	2	1	2	3	1	3	5	
2	0	0	22	49	2	1	0	3	2	1	2	11	16	14	10	5	4	3	0	2	3	0	2	0	0	1	0	3	1	0	2	7	2	4	4	
1	0	1	12	73	0	2	0	1	2	3	3	8	12	17	6	9	2	7	0	3	5	0	0	0	0	2	0	1	3	2	1	1	3	1	1	
1	1	0	16	20	3	0	0	3	3	0	3	4	6	3	1	7	3	2	1	1	7	0	0	0	0	1	0	6	0	1	0	2	0	0	3	
