"УИК №1127"	"УИК №1128"	"УИК №1129"	"УИК №1130"	"УИК №1131"	"УИК №1132"	"УИК №1133"	"УИК №1134"	"УИК №1135"	"УИК №1136"	"УИК №1137"	"УИК №1138"	"УИК №1139"	"УИК №1140"	"УИК №1141"	"УИК №1142"	"УИК №1143"	"УИК №1144"	"УИК №1145"	"УИК №1147"	"УИК №1148"	"УИК №1149"	"УИК №1150"	"УИК №1151"	"УИК №1152"	"УИК №1153"	"УИК №1154"	"УИК №1155"	"УИК №1156"	"УИК №1157"	"УИК №1158"	"УИК №1159"	"УИК №1160"	"УИК №1161"	"УИК №1162"	"УИК №1163"	"УИК №1164"	"УИК №1165"	"УИК №1166"	"УИК №1167"	"УИК №1168"	"УИК №1169"	"УИК №1170"	"УИК №1171"	"УИК №1172"	"УИК №1173"	"УИК №1174"	"УИК №1175"	"УИК №1176"	"УИК №1177"	"УИК №1178"	"УИК №1179"	"УИК №1180"	"УИК №1181"	"УИК №1182"	"УИК №1183"	"УИК №1184"	"УИК №1185"	"УИК №1186"	"УИК №1187"	"УИК №1188"	
708	196	469	173	619	573	846	324	572	277	56	737	565	511	405	809	192	324	274	351	159	64	179	754	692	814	690	1728	1547	1056	948	239	510	1022	1339	141	1107	244	162	842	187	1083	1015	1222	1335	1292	1242	1317	1318	1245	1250	1210	1035	1050	1186	1127	1210	1095	1290	1235	1178	
740	196	491	173	637	586	907	379	597	290	58	758	597	547	423	828	193	337	282	377	161	64	191	744	748	838	688	1535	1298	888	965	246	562	878	1229	160	1139	248	148	871	190	961	822	992	1078	1067	1019	1106	1155	1082	1048	1068	850	860	926	970	955	936	1032	959	1030	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
385	177	426	156	598	562	527	302	499	263	51	700	536	460	349	706	161	247	231	302	146	52	163	700	648	717	601	1076	974	755	850	213	317	744	1160	120	1015	207	114	756	149	530	637	704	852	805	787	716	595	628	880	650	548	576	654	592	700	633	859	766	811	
40	18	40	16	19	8	66	16	28	6	0	24	19	25	13	59	16	18	23	13	2	9	3	25	26	73	80	409	178	98	32	26	33	123	61	0	23	13	8	25	10	77	122	42	98	62	146	194	144	21	34	13	90	50	49	62	42	48	108	152	92	
315	1	25	1	20	16	314	61	70	21	7	34	42	62	61	63	16	72	28	62	13	3	25	19	74	48	7	50	146	35	83	7	212	11	8	40	101	28	26	90	31	354	63	246	128	200	86	196	416	433	134	405	212	234	223	316	213	255	65	41	127	
40	18	40	16	19	8	66	16	28	6	0	24	19	25	13	59	16	18	23	13	2	9	3	25	26	73	80	409	178	98	32	26	33	123	61	0	23	13	8	25	10	77	122	42	98	62	146	194	144	21	34	13	90	50	49	62	42	48	108	152	92	
385	177	426	156	598	562	527	302	499	263	51	700	536	460	349	706	161	247	231	302	146	52	163	700	648	717	601	1076	974	755	850	213	317	744	1160	120	1015	207	114	756	149	530	637	704	852	805	787	716	595	628	880	650	548	576	654	592	700	633	859	766	811	
11	0	5	6	8	0	4	2	3	3	0	2	1	4	0	5	1	0	0	3	2	0	3	2	9	7	0	12	4	6	3	1	5	0	3	0	0	2	1	0	0	5	17	13	9	15	5	12	8	8	5	6	35	10	12	5	8	4	8	0	17	
414	195	461	166	609	570	589	316	524	266	51	722	554	481	362	760	176	265	254	312	146	61	163	723	665	783	681	1473	1148	847	879	238	345	867	1218	120	1038	218	121	781	159	602	742	733	941	852	928	898	731	641	909	657	603	616	691	649	734	677	959	918	886	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

2	0	0	4	4	1	7	3	0	1	0	2	3	3	1	1	0	1	0	1	3	0	0	0	1	5	0	8	5	3	1	1	2	2	0	0	2	0	2	2	0	4	6	3	4	6	3	4	3	5	5	1	7	0	2	3	4	7	7	0	5	
28	5	55	22	73	45	88	24	27	11	5	42	47	18	22	73	11	28	22	21	9	2	11	46	43	64	44	180	102	107	211	12	65	164	167	7	123	22	26	135	9	115	101	157	137	173	130	160	103	126	118	125	60	124	87	118	129	94	167	84	125	
27	5	13	2	17	14	23	14	11	6	2	17	13	20	10	17	12	8	10	10	6	2	4	17	16	12	2	47	40	26	37	10	15	28	39	3	26	12	2	18	5	32	31	45	47	44	41	54	46	43	26	58	22	26	26	45	34	35	39	15	39	
353	183	390	127	510	504	460	268	476	247	44	651	482	421	316	662	152	224	216	275	122	57	148	649	600	698	635	1225	978	695	627	213	258	659	987	108	877	181	85	617	143	438	590	517	731	612	740	662	565	452	738	454	490	452	561	475	550	510	729	816	698	
