"УИК №1644"	"УИК №1645"	"УИК №1646"	"УИК №1647"	"УИК №1648"	"УИК №1649"	"УИК №1650"	"УИК №1651"	"УИК №1652"	"УИК №1653"	"УИК №1654"	"УИК №1655"	"УИК №1656"	"УИК №1657"	"УИК №1658"	"УИК №1659"	"УИК №1660"	"УИК №1661"	"УИК №1662"	"УИК №1663"	"УИК №1664"	"УИК №1665"	"УИК №1666"	"УИК №1667"	"УИК №1668"	"УИК №1669"	"УИК №1670"	"УИК №1671"	"УИК №1672"	
507	260	1968	319	897	189	267	364	206	289	779	215	643	1302	502	1058	227	1030	1600	188	573	731	2825	1027	1878	652	501	682	341	
510	240	2010	310	900	190	270	360	210	300	800	200	650	1330	500	1090	230	1050	1620	180	580	730	2840	1060	1970	640	510	700	330	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
439	179	1704	248	832	150	224	302	169	229	643	170	506	923	433	671	203	949	1453	145	439	650	2448	861	1531	558	413	614	291	
38	60	165	55	30	31	35	53	29	47	83	30	98	277	54	130	15	49	115	33	112	51	228	61	135	68	58	44	36	
33	1	141	7	38	9	11	5	12	24	74	0	46	129	13	281	12	52	52	2	29	29	164	138	304	14	39	42	3	
38	60	165	55	30	31	35	53	29	47	83	30	98	277	54	130	15	49	115	33	112	51	228	61	135	68	58	44	36	
439	179	1703	248	832	150	224	302	169	229	643	170	506	922	433	671	203	900	1453	145	439	650	2448	859	1526	558	413	614	291	
2	0	0	0	0	0	0	0	0	0	0	0	0	25	0	27	0	2	10	0	0	0	10	5	8	0	0	0	0	
475	239	1868	303	862	181	259	355	198	276	726	200	604	1174	487	774	218	947	1558	178	551	701	2666	915	1653	626	471	658	327	
0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

1	1	5	0	6	0	0	0	0	0	2	0	4	4	2	7	0	1	11	1	4	0	2	5	2	2	2	4	0	
23	10	56	10	25	3	6	16	4	7	27	5	15	24	15	47	4	75	152	4	12	8	24	37	82	15	18	13	10	
14	6	49	2	20	3	3	9	2	3	6	2	10	19	15	43	1	1	59	0	24	3	13	41	94	7	10	21	19	
430	219	1699	288	776	174	250	328	190	262	685	193	570	1101	448	660	213	867	1306	173	507	688	2612	812	1408	580	429	616	298	
2	1	29	0	13	0	0	0	0	1	0	0	1	9	3	7	0	3	10	0	2	0	5	10	53	8	5	2	0	
4	0	14	3	2	0	0	2	1	2	4	0	2	6	1	6	0	0	4	0	0	1	5	3	3	4	0	0	0	
1	1	12	0	10	1	0	0	0	1	1	0	2	7	1	1	0	0	11	0	0	0	4	2	4	7	2	0	0	
0	1	4	0	10	0	0	0	1	0	1	0	0	4	2	3	0	0	5	0	2	1	1	5	7	3	5	2	0	
