"УИК №1673"	"УИК №1674"	"УИК №1675"	"УИК №1676"	"УИК №1677"	"УИК №1678"	"УИК №1679"	"УИК №1680"	"УИК №1681"	"УИК №1682"	"УИК №1683"	"УИК №1684"	"УИК №1685"	"УИК №1686"	"УИК №1687"	
1336	1397	988	988	415	564	332	249	227	577	546	463	511	368	438	
1395	1547	1006	1046	429	591	343	256	235	608	565	477	541	384	452	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
624	693	398	517	273	428	239	183	180	273	354	362	403	245	166	
84	190	93	104	31	40	20	10	10	36	36	26	16	21	24	
687	664	515	425	125	123	84	63	45	299	175	89	122	118	262	
84	190	93	104	31	40	20	10	10	36	36	26	16	21	24	
624	693	398	517	273	428	239	183	180	273	354	362	403	245	166	
8	8	9	4	0	0	2	0	0	1	0	0	0	0	0	
700	875	482	617	304	468	257	193	190	308	390	388	419	266	190	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

2	3	1	4	2	3	1	2	0	1	0	2	0	1	0	
93	110	63	109	27	58	23	9	9	59	27	41	31	14	14	
61	67	33	46	12	23	24	8	9	22	25	25	3	19	10	
528	680	373	442	261	378	205	172	171	223	335	307	382	224	163	
8	9	3	5	1	2	0	1	0	1	3	3	0	3	0	
4	2	5	5	1	2	3	0	1	2	0	5	2	5	3	
3	2	3	5	0	1	1	0	0	0	0	4	1	0	0	
1	2	1	1	0	1	0	1	0	0	0	1	0	0	0	
