"УИК №1712"	"УИК №1713"	"УИК №1714"	"УИК №1715"	"УИК №1716"	"УИК №1717"	"УИК №1718"	"УИК №1719"	"УИК №1720"	"УИК №1721"	"УИК №1722"	"УИК №1723"	"УИК №1724"	"УИК №1725"	"УИК №1726"	"УИК №1727"	"УИК №1728"	"УИК №1729"	"УИК №1730"	"УИК №1731"	"УИК №1732"	"УИК №1733"	"УИК №1734"	
1762	296	394	214	1667	489	573	167	503	351	311	719	186	161	298	433	1464	1432	1542	1338	1418	1516	1360	
1790	295	400	215	1760	546	636	173	571	350	320	806	192	170	305	420	1445	1455	1565	1345	1445	1515	1345	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1403	251	339	198	1464	394	503	146	465	314	285	656	148	151	279	388	822	1169	1168	1031	1290	681	723	
232	26	51	15	61	50	0	15	14	25	15	34	32	6	11	19	125	139	262	182	36	78	556	
155	18	10	2	235	102	133	12	92	11	20	116	12	13	15	13	498	147	135	132	119	756	66	
232	26	51	15	61	50	0	15	14	25	15	34	32	6	11	19	125	139	262	182	36	78	556	
1403	251	339	198	1464	394	503	146	465	314	285	656	148	151	279	388	822	1169	1168	1031	1290	681	723	
0	0	0	0	1	1	134	0	4	0	0	3	0	0	0	0	3	7	8	0	0	12	0	
1635	277	390	213	1524	443	369	161	475	339	300	687	180	157	290	407	944	1301	1422	1213	1326	747	1279	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

7	0	0	0	2	1	3	0	0	0	2	4	0	0	0	0	6	8	9	3	5	6	1	
45	0	2	4	184	22	27	3	40	6	2	42	2	3	2	4	43	56	81	87	58	124	22	
40	3	1	3	4	22	18	3	22	2	3	41	6	4	3	3	48	69	49	12	28	38	33	
1520	274	387	206	1327	391	318	155	410	329	291	594	172	150	281	395	823	1147	1256	1103	1211	556	1216	
12	0	0	0	3	0	1	0	0	0	1	0	0	0	1	2	11	7	9	2	6	3	4	
3	0	0	0	2	0	1	0	2	0	0	4	0	0	2	1	4	5	8	3	10	9	2	
7	0	0	0	2	3	0	0	0	2	1	2	0	0	1	1	1	7	7	2	5	8	0	
1	0	0	0	0	4	1	0	1	0	0	0	0	0	0	1	8	2	3	1	3	3	1	
