"УИК №139"	"УИК №140"	"УИК №141"	"УИК №142"	"УИК №143"	"УИК №144"	"УИК №145"	"УИК №146"	"УИК №147"	"УИК №148"	"УИК №149"	"УИК №150"	"УИК №151"	"УИК №152"	"УИК №153"	"УИК №154"	"УИК №155"	"УИК №156"	"УИК №157"	"УИК №158"	"УИК №159"	"УИК №160"	"УИК №161"	"УИК №162"	"УИК №163"	"УИК №164"	"УИК №165"	"УИК №166"	
457	164	248	341	202	380	308	276	147	249	267	335	193	135	705	785	1240	1024	722	1507	1423	2080	863	2334	1410	1619	795	2323	
480	150	260	340	230	380	300	280	150	240	280	340	190	130	730	810	1250	1050	740	1550	1450	2100	890	2400	1500	1600	780	2400	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
242	86	127	175	111	231	146	121	77	85	142	186	115	67	353	444	585	536	433	811	845	1247	478	1369	714	946	418	1288	
38	25	16	58	20	12	9	70	32	37	31	36	13	10	51	19	31	23	19	32	31	20	14	20	25	15	44	76	
200	39	117	107	99	137	145	89	41	118	107	118	62	53	326	347	634	491	288	707	574	833	398	1011	761	639	318	1036	
38	25	16	58	20	12	9	70	32	37	31	36	13	10	51	19	31	23	19	32	31	20	14	20	25	15	44	76	
242	86	127	175	111	231	146	121	77	85	142	186	115	67	353	444	585	536	433	811	845	1247	478	1369	714	946	418	1212	
1	2	0	1	3	2	3	1	0	0	0	6	1	0	4	8	7	8	3	15	12	20	7	23	6	7	4	14	
279	109	143	232	128	241	152	190	109	122	173	216	127	77	400	455	609	551	449	828	864	1247	485	1366	733	954	458	1274	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

7	1	4	1	1	4	0	3	2	1	3	1	0	2	4	6	9	4	4	5	6	10	2	18	4	10	3	7	
39	4	20	19	13	31	26	12	16	11	23	59	11	9	65	80	88	67	80	123	106	187	59	196	90	137	59	180	
31	15	12	19	12	25	14	17	11	9	18	31	14	3	44	47	73	52	41	98	79	139	32	105	63	100	45	110	
192	85	106	187	100	175	106	154	77	95	125	120	101	63	274	311	422	421	315	577	648	882	371	996	551	676	338	941	
5	0	0	4	0	3	2	3	0	5	2	3	1	0	5	4	5	2	4	9	9	15	9	16	13	15	7	11	
4	2	1	2	0	1	1	1	3	0	2	0	0	0	4	5	5	3	2	9	6	7	5	14	5	7	2	10	
0	1	0	0	2	2	2	0	0	0	0	2	0	0	2	1	2	1	2	2	2	2	5	10	3	4	1	8	
1	1	0	0	0	0	1	0	0	1	0	0	0	0	2	1	5	1	1	5	8	5	2	11	4	5	3	7	
