"УИК №1612"	"УИК №1613"	"УИК №1614"	"УИК №1615"	"УИК №1616"	"УИК №1617"	"УИК №1618"	"УИК №1619"	"УИК №1620"	"УИК №1621"	"УИК №1622"	"УИК №1623"	"УИК №1624"	"УИК №1625"	"УИК №1626"	"УИК №1627"	"УИК №1628"	"УИК №1629"	"УИК №1630"	"УИК №1631"	"УИК №1632"	"УИК №1633"	"УИК №1634"	"УИК №1635"	"УИК №1636"	"УИК №1637"	"УИК №1638"	"УИК №1639"	"УИК №1640"	"УИК №1641"	"УИК №1642"	"УИК №1643"	"УИК №1644"	"УИК №1645"	"УИК №1646"	"УИК №1647"	"УИК №1648"	"УИК №1649"	"УИК №1650"	"УИК №1651"	"УИК №1652"	"УИК №1653"	"УИК №1654"	"УИК №1655"	"УИК №1656"	"УИК №1657"	"УИК №1658"	"УИК №1659"	"УИК №1660"	"УИК №1661"	"УИК №1662"	"УИК №1663"	"УИК №1664"	"УИК №1665"	"УИК №1667"	
1769	1264	1724	1902	1837	1550	1450	1983	2061	1923	2346	1347	1887	1794	1037	1590	2263	1351	1534	2046	1993	1743	1514	1474	1847	2399	1921	1089	1523	2012	1122	2240	1678	1415	1810	2665	1249	1396	1714	2411	1193	1609	2345	1850	2698	2411	2540	2280	2210	2392	2184	1616	1994	374	753	
1400	1200	1500	1500	1600	1300	1100	1500	1800	1600	2000	1100	1600	1600	900	1300	1900	1100	1200	1800	1700	1500	1200	1400	1500	2000	1500	900	1200	1600	1000	1900	1400	1200	1600	2200	1100	1100	1300	2000	1000	1100	2000	1550	2100	2000	1900	1700	1700	2000	1900	1400	1600	500	2000	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1301	974	806	1013	1318	1024	971	1392	1042	979	1180	762	972	1002	729	1119	1285	945	1077	1422	1509	1205	1129	1303	1403	1706	1303	605	965	1389	853	1403	1184	713	1411	1455	883	863	1261	1727	714	858	1815	1468	2031	1704	1476	1383	1448	1767	1551	1304	1191	193	50	
22	34	29	13	39	29	14	78	30	23	11	7	29	17	12	23	25	13	6	9	13	11	24	16	14	54	75	16	18	28	14	17	23	17	11	36	17	19	12	63	45	19	95	18	10	24	31	224	74	62	28	7	53	168	703	
77	192	665	474	243	247	115	30	728	598	809	331	599	581	159	158	590	142	117	369	178	284	47	81	83	240	122	279	217	183	133	480	193	470	178	709	200	218	27	210	241	223	90	64	59	272	393	93	178	171	321	89	356	139	1247	
22	34	29	13	39	29	14	78	30	23	11	7	29	17	12	23	25	13	6	9	13	11	24	16	14	54	75	16	18	28	14	17	23	17	11	36	17	19	12	63	45	19	95	18	10	23	31	224	74	62	28	7	53	168	703	
1285	955	803	1012	1279	1004	962	1356	1037	979	1175	755	972	1002	728	1119	1280	945	1026	1419	1481	1192	1129	1288	1403	1635	1300	605	965	1389	853	1401	1184	705	1407	1453	881	863	1249	1723	713	857	1815	1468	2031	1659	1476	1379	1401	1764	1551	1304	1158	193	50	
14	14	13	14	42	12	13	21	14	13	19	14	9	12	8	15	9	5	8	11	14	14	21	15	15	21	8	8	6	16	5	28	20	9	23	25	8	8	32	16	5	6	0	24	12	15	16	14	19	37	13	20	22	4	6	
1293	975	819	1011	1276	1021	963	1413	1053	989	1167	748	992	1007	732	1127	1296	953	1024	1417	1480	1189	1132	1289	1402	1668	1367	613	977	1401	862	1390	1187	713	1395	1464	890	874	1229	1770	753	870	1910	1462	2029	1667	1491	1589	1456	1789	1566	1291	1189	357	747	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

14	8	4	11	7	9	5	8	8	10	16	9	9	5	4	12	13	5	8	12	4	7	8	3	6	13	16	6	11	13	4	9	14	8	11	13	6	4	7	10	1	5	8	7	2	6	9	6	12	8	11	4	11	1	4	
111	75	74	83	83	87	82	87	110	54	118	76	73	92	102	120	109	80	86	90	127	75	91	96	76	120	82	54	80	104	93	115	70	59	75	122	49	82	105	101	45	74	91	145	92	146	79	96	104	128	88	90	106	36	79	
42	38	54	41	36	34	30	43	34	15	45	18	15	42	8	25	50	32	28	39	45	41	43	34	32	31	23	16	28	48	49	36	26	21	35	50	27	21	54	48	23	34	39	47	30	45	49	23	37	80	42	27	33	10	29	
992	755	576	730	1020	758	712	1102	752	804	802	594	757	747	560	808	946	714	780	1146	1082	953	845	1032	1137	1273	1065	446	728	1049	580	1053	772	521	1141	1073	733	658	958	1478	629	646	1674	1189	1757	1309	1168	1290	1063	1414	1269	1089	895	291	560	
68	48	42	59	54	75	73	88	72	35	77	20	55	47	37	62	89	64	55	66	107	54	79	63	60	111	94	42	55	95	41	78	222	51	69	109	32	58	48	58	14	47	58	40	82	72	92	69	115	76	73	40	78	10	31	
9	4	6	9	8	5	7	5	2	4	13	4	5	7	3	8	6	4	6	5	18	10	8	5	6	8	4	3	9	2	25	4	6	2	8	5	1	5	9	6	4	8	5	8	7	12	5	5	7	14	7	2	2	1	7	
17	12	11	28	21	18	13	25	21	14	25	9	21	19	7	26	20	10	9	18	29	8	19	18	17	36	23	14	18	25	26	23	16	10	24	25	8	20	17	24	17	15	10	9	21	17	26	34	29	12	23	13	24	2	15	
40	35	52	50	47	35	41	55	54	53	71	18	57	48	11	66	63	44	52	41	68	41	39	38	68	76	60	32	48	65	44	72	61	41	32	67	34	26	31	45	20	41	25	17	38	60	63	66	89	57	53	26	40	6	22	
