"УИК №1145"	"УИК №1146"	"УИК №1147"	"УИК №1148"	"УИК №1149"	"УИК №1150"	"УИК №1151"	"УИК №1152"	"УИК №1153"	"УИК №1154"	"УИК №1155"	"УИК №1156"	"УИК №1157"	"УИК №1158"	"УИК №1159"	"УИК №1160"	"УИК №1161"	"УИК №1162"	"УИК №1163"	"УИК №1164"	"УИК №1165"	"УИК №1166"	"УИК №1167"	"УИК №1168"	"УИК №1169"	"УИК №1170"	"УИК №1171"	"УИК №1172"	"УИК №1173"	"УИК №1174"	"УИК №1175"	"УИК №1176"	"УИК №1177"	"УИК №1178"	"УИК №1179"	"УИК №1180"	"УИК №1181"	"УИК №1182"	"УИК №1183"	"УИК №1184"	"УИК №1185"	"УИК №1186"	"УИК №1187"	"УИК №1188"	"УИК №1189"	"УИК №1193"	"УИК №1194"	"УИК №1195"	"УИК №1196"	"УИК №1197"	"УИК №1198"	"УИК №1199"	"УИК №1200"	"УИК №1201"	"УИК №1202"	"УИК №1203"	"УИК №1204"	"УИК №1205"	"УИК №1206"	"УИК №1207"	"УИК №1208"	"УИК №1209"	"УИК №1210"	"УИК №1211"	"УИК №1212"	"УИК №1213"	"УИК №1214"	"УИК №1215"	"УИК №1216"	
1870	1745	1904	1970	2080	2143	2142	1938	2430	2152	1827	1803	1633	2120	2017	2300	1828	1848	1707	632	1811	2060	2387	2218	2366	1881	2454	628	1748	1862	1800	1782	1694	1928	1023	1965	2225	2034	929	2192	980	1588	2300	2844	2718	1092	1733	1621	1926	1643	1870	2073	1832	1711	1892	1688	1751	1525	2268	2105	1603	1604	587	1529	442	2604	1941	1958	1800	
1900	1700	1800	1900	2100	2200	2100	2000	2200	2100	1800	1800	1600	2000	2000	2200	2300	1800	1700	1000	1800	2000	2200	2100	2100	1800	2200	700	1500	1700	1700	1700	1600	1800	950	1800	1950	2000	900	2100	850	1500	2200	2700	2500	1050	1800	1650	2000	1500	1800	2000	1800	1600	1800	1500	1600	1400	2300	2000	1600	1500	650	1400	350	2500	1900	1900	1800	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1102	1041	1130	1134	1215	1254	1226	1085	1404	1420	1049	1067	970	1237	1180	1450	1134	1086	988	288	1027	1248	1320	1312	1447	1086	1312	465	966	1060	932	1080	1007	1042	603	902	1540	1194	555	1261	604	982	1378	1738	1661	576	1044	949	1104	876	1070	1123	944	997	1054	907	991	869	1297	1203	851	867	355	789	263	1795	958	916	1002	
29	34	28	24	26	26	32	33	31	15	33	27	41	37	38	32	25	23	36	252	39	33	107	56	44	17	68	149	21	32	34	28	33	34	29	52	34	17	8	30	11	13	32	20	8	22	23	31	51	32	38	35	47	18	18	18	25	20	21	37	31	57	204	20	18	16	31	20	25	
769	625	642	742	859	920	842	882	765	665	718	706	589	726	782	718	1141	691	676	460	734	719	773	732	609	697	820	86	513	608	734	592	560	724	318	846	376	789	337	809	235	505	790	942	831	452	733	670	845	592	692	842	809	585	728	575	584	511	982	760	718	576	91	591	69	689	911	964	773	
29	34	28	24	26	26	32	33	31	15	33	27	41	37	38	32	24	23	36	252	39	33	107	56	44	17	68	149	21	32	34	28	33	34	29	52	34	17	8	30	11	13	32	20	8	22	23	31	51	32	38	35	47	18	18	18	25	20	21	37	31	57	204	20	18	16	31	20	25	
1102	1040	1130	1134	1214	1254	1221	1084	1404	1420	1049	1067	970	1237	1180	1450	1134	1086	984	288	1026	1248	1318	1311	1447	1083	1311	465	966	1060	932	1079	1007	1041	603	901	1540	1194	553	1261	604	981	1378	1738	1660	575	1044	946	1104	875	1068	1123	944	997	1053	907	991	868	1296	1202	849	866	355	789	262	1791	958	916	999	
14	11	13	6	19	11	15	6	13	14	15	9	11	12	18	13	14	10	8	10	13	14	19	10	19	15	10	11	9	11	7	8	8	9	6	7	25	7	4	8	7	19	14	11	8	8	9	16	21	5	11	13	12	15	14	11	8	10	12	20	9	8	25	11	1	28	13	12	7	
1117	1063	1145	1152	1221	1269	1238	1111	1422	1421	1067	1085	1000	1262	1200	1469	1144	1099	1012	530	1052	1267	1406	1357	1472	1085	1369	603	978	1081	959	1099	1032	1066	626	946	1549	1204	557	1283	608	975	1396	1747	1660	589	1058	961	1134	902	1095	1145	979	1000	1057	914	1008	878	1305	1219	871	915	534	798	279	1779	976	924	1017	
