"УИК №576"	"УИК №577"	"УИК №578"	"УИК №579"	"УИК №580"	"УИК №581"	"УИК №582"	"УИК №583"	"УИК №584"	"УИК №585"	"УИК №586"	"УИК №587"	"УИК №588"	"УИК №589"	"УИК №590"	"УИК №591"	"УИК №592"	"УИК №593"	"УИК №594"	"УИК №595"	"УИК №596"	"УИК №597"	"УИК №598"	"УИК №599"	"УИК №600"	"УИК №601"	"УИК №602"	"УИК №603"	"УИК №604"	"УИК №605"	"УИК №606"	"УИК №607"	"УИК №608"	"УИК №609"	"УИК №610"	"УИК №611"	"УИК №612"	"УИК №613"	"УИК №614"	"УИК №615"	"УИК №616"	"УИК №617"	"УИК №618"	"УИК №619"	"УИК №620"	"УИК №621"	"УИК №622"	"УИК №623"	"УИК №624"	"УИК №625"	"УИК №626"	"УИК №627"	"УИК №628"	"УИК №629"	"УИК №630"	"УИК №631"	"УИК №632"	"УИК №645"	"УИК №646"	"УИК №647"	"УИК №648"	"УИК №649"	"УИК №650"	"УИК №651"	"УИК №652"	"УИК №653"	"УИК №654"	"УИК №655"	"УИК №656"	"УИК №657"	"УИК №658"	"УИК №659"	"УИК №660"	"УИК №661"	"УИК №662"	"УИК №663"	"УИК №664"	"УИК №666"	"УИК №667"	"УИК №668"	"УИК №669"	"УИК №670"	"УИК №671"	"УИК №672"	"УИК №673"	"УИК №674"	"УИК №675"	"УИК №676"	"УИК №677"	"УИК №679"	"УИК №680"	"УИК №681"	"УИК №682"	"УИК №683"	"УИК №684"	"УИК №685"	"УИК №686"	"УИК №687"	"УИК №688"	"УИК №689"	"УИК №690"	"УИК №691"	"УИК №693"	"УИК №694"	"УИК №695"	"УИК №696"	"УИК №697"	"УИК №698"	"УИК №699"	"УИК №700"	"УИК №701"	"УИК №702"	"УИК №703"	"УИК №704"	"УИК №705"	"УИК №706"	"УИК №707"	"УИК №708"	"УИК №709"	"УИК №710"	"УИК №711"	"УИК №712"	"УИК №713"	"УИК №714"	"УИК №715"	"УИК №716"	"УИК №717"	"УИК №718"	"УИК №719"	"УИК №720"	"УИК №721"	"УИК №722"	"УИК №723"	"УИК №724"	"УИК №725"	"УИК №726"	"УИК №727"	"УИК №728"	"УИК №729"	"УИК №730"	"УИК №731"	"УИК №732"	"УИК №733"	"УИК №734"	"УИК №735"	"УИК №736"	"УИК №737"	"УИК №738"	"УИК №739"	"УИК №740"	"УИК №741"	"УИК №742"	"УИК №743"	"УИК №744"	"УИК №745"	"УИК №746"	"УИК №747"	"УИК №750"	"УИК №751"	"УИК №752"	"УИК №753"	"УИК №755"	"УИК №756"	"УИК №2296"	"УИК №2297"	"УИК №2298"	"УИК №2299"	"УИК №2300"	"УИК №2301"	
1697	1568	1525	1840	2136	1840	1515	1929	1924	1795	1312	1736	1959	1856	958	1874	1040	2227	1279	1394	1519	1984	2129	1299	1108	1440	1519	2311	2255	1354	1420	1470	1579	1289	1591	1850	1734	1501	1572	1338	2279	2519	2102	2392	2419	1721	1943	2187	1773	1695	1378	1425	1886	2081	1747	2000	2328	241	10	10	10	12	12	11	11	10	10	11	11	11	11	11	11	10	9	11	10	11	11	10	10	10	10	10	10	9	10	10	10	10	10	10	10	10	9	11	11	11	11	12	11	10	11	11	11	10	10	10	33	25	25	21	18	21	19	19	19	21	28	19	22	30	36	26	26	25	25	25	45	29	29	28	52	49	25	25	25	9	11	9	10	9	11	9	9	11	61	56	24	27	24	27	26	13	5	5	6	5	9	4	38	27	25	48	54	14	28	12	12	
1500	1500	1500	1500	2000	1600	1200	2000	2000	1600	1200	2000	1500	1500	1000	2000	1500	2000	1200	1600	1500	2000	2000	1100	1000	1200	1200	2500	2500	1500	1500	1500	1500	1500	1500	1600	1500	1500	1500	1500	2100	2100	2000	2500	2500	1600	1700	1500	1500	1500	1500	1500	2000	2000	1500	2000	2200	300	10	10	10	12	12	11	11	10	10	11	11	11	11	11	11	10	9	11	10	11	11	10	10	10	10	10	10	9	10	10	10	10	10	10	10	10	9	11	11	11	11	12	11	10	11	11	11	10	10	10	35	25	25	21	18	21	19	19	19	21	28	19	22	30	36	26	26	30	25	25	45	29	29	28	52	49	25	25	25	9	11	9	10	9	11	9	9	11	70	56	24	27	24	27	26	13	5	5	6	5	9	4	38	30	25	48	54	14	28	12	12	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	10	10	12	12	11	11	10	10	11	11	11	11	11	11	10	9	11	10	11	11	10	10	10	10	10	10	9	10	10	10	10	10	10	10	10	9	11	11	11	11	12	11	10	11	11	11	10	10	10	33	25	25	21	18	21	19	19	0	0	28	19	22	30	36	26	26	24	25	25	0	0	0	0	0	0	25	24	25	9	11	9	10	9	11	9	9	11	47	56	24	27	24	27	26	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1066	887	809	1064	1111	1083	998	1152	1119	1083	745	1074	1091	1022	587	1186	867	1321	839	871	960	1182	1268	798	691	816	846	1421	1578	917	893	901	888	804	954	1061	946	946	932	838	1545	1393	1188	1468	1353	976	1145	1105	1022	1094	919	945	1173	1175	1044	1202	1379	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	21	0	0	0	0	0	0	0	0	0	0	45	29	24	28	52	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	5	6	5	9	4	38	27	25	48	53	14	28	12	12	
11	62	40	18	21	19	8	20	97	14	15	138	20	23	13	24	8	24	21	18	17	20	34	24	17	31	17	13	35	28	13	14	21	20	19	27	24	32	29	21	29	36	23	24	38	23	28	25	26	18	16	24	31	37	21	38	27	218	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
423	550	648	418	868	498	194	828	784	503	440	788	389	455	400	790	625	652	340	711	523	798	698	278	292	353	337	1066	887	555	594	585	591	676	527	512	530	522	539	641	526	671	789	1008	1109	601	527	370	452	388	565	531	796	788	435	760	794	59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	5	0	0	8	0	1	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	1	0	0	0	0	
11	62	40	18	21	19	8	20	97	14	15	138	20	23	13	24	8	24	21	18	17	20	34	24	17	31	17	13	35	28	13	14	21	20	19	27	24	32	29	21	29	36	23	24	38	23	28	25	26	18	16	24	31	37	21	38	27	218	10	10	10	12	12	11	11	10	10	11	11	11	11	11	11	10	9	11	10	11	11	10	10	10	10	10	10	9	10	10	10	10	10	10	10	10	9	11	11	11	11	12	11	10	11	11	11	10	10	10	33	25	25	21	18	21	19	19	0	0	28	19	22	30	36	26	26	24	25	25	0	0	0	0	0	0	25	24	25	9	11	9	10	9	11	9	9	11	47	56	24	27	24	27	26	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1064	887	809	1064	1111	1078	995	1149	1119	1083	745	1074	1083	1015	586	1186	867	1321	839	871	959	1181	1264	797	691	815	845	1418	1574	917	891	900	885	804	953	1061	945	945	930	838	1545	1393	1186	1466	1353	954	1144	1105	1020	1090	917	945	1173	1174	1041	1202	1376	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	21	0	0	0	0	0	0	0	0	0	0	45	29	24	28	52	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	5	6	5	9	4	38	27	25	48	53	14	28	12	12	
16	14	14	18	14	18	15	13	14	9	8	9	27	25	13	26	12	17	11	15	12	19	15	8	8	5	9	27	17	5	8	12	13	7	8	11	12	15	14	6	15	18	15	38	61	5	13	13	10	9	8	11	17	14	8	17	19	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	4	0	0	0	0	1	0	0	0	0	0	0	0	2	2	0	0	1	0	1	1	0	
1059	935	835	1064	1118	1079	988	1156	1202	1088	752	1203	1076	1013	586	1184	863	1328	849	874	964	1182	1283	813	700	841	853	1404	1592	940	896	902	893	817	964	1077	957	962	945	853	1559	1411	1194	1452	1330	972	1159	1117	1036	1099	925	958	1187	1197	1054	1223	1384	238	10	9	10	12	12	11	11	10	10	11	11	11	11	11	11	10	9	11	10	11	11	10	10	10	10	10	10	9	10	10	10	10	10	10	10	10	7	11	11	10	11	12	11	10	10	11	11	10	10	9	33	24	25	21	18	21	19	19	19	21	28	19	22	30	36	24	26	24	25	25	43	29	24	28	52	39	25	24	25	9	11	9	10	9	11	9	9	11	45	52	24	27	24	27	25	13	5	5	6	5	9	4	36	25	25	48	52	14	27	11	12	
0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

9	6	7	10	13	6	9	11	6	10	8	2	18	14	5	13	9	11	7	7	6	9	10	9	9	6	10	11	16	5	13	13	7	6	6	5	8	12	15	5	21	8	15	12	12	6	10	12	19	9	10	9	8	13	11	9	12	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	1	3	0	0	0	0	0	0	0	1	2	0	0	0	1	0	0	
122	92	89	90	96	107	87	116	111	82	75	92	139	104	60	113	83	151	80	111	105	106	127	80	67	71	91	119	137	86	91	95	87	74	94	115	89	72	65	88	135	117	85	135	142	95	82	116	89	88	69	95	90	74	113	123	130	10	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	1	2	1	0	0	0	0	0	0	0	2	2	0	2	0	0	0	0	0	2	0	0	2	0	0	0	0	5	0	0	0	0	1	3	5	2	5	2	7	1	0	2	4	7	9	5	6	5	6	1	1	4	2	8	0	2	0	0	0	2	2	4	1	4	1	3	0	1	0	0	4	2	6	1	1	2	2	4	1	0	1	1	0	0	0	14	4	4	1	0	5	7	0	1	
50	34	30	29	57	52	37	58	73	62	41	45	39	40	28	59	38	47	44	40	39	45	50	35	38	32	35	64	73	42	35	36	51	31	36	49	49	40	46	24	56	62	50	51	48	48	44	42	48	56	31	39	50	68	50	33	54	14	1	0	0	0	1	0	0	0	0	0	0	2	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	0	1	0	1	1	1	2	0	0	2	6	3	2	3	1	3	4	0	1	3	0	3	4	1	1	0	2	0	4	4	2	1	2	8	1	2	4	3	2	0	1	0	1	0	1	1	0	8	3	3	9	2	11	7	2	0	0	1	0	1	0	3	4	2	6	7	1	3	0	0	
762	723	633	838	829	793	769	865	918	832	551	968	756	769	452	903	640	967	614	616	693	907	942	590	490	618	648	1057	1211	702	641	677	675	618	715	806	731	730	704	661	1185	1090	932	1108	985	724	913	854	785	837	763	732	930	928	759	915	1061	205	9	8	10	12	11	11	11	10	8	11	11	8	11	11	8	10	9	10	7	10	8	10	9	10	10	10	10	7	8	10	8	8	10	10	10	10	3	11	11	5	9	12	8	8	4	10	10	8	9	7	24	9	18	14	11	13	15	14	13	16	15	9	14	18	27	15	23	20	20	19	30	21	20	25	42	38	18	18	16	6	7	6	7	8	7	8	7	5	27	29	19	14	15	14	12	7	5	3	3	5	8	3	17	16	16	40	44	6	16	11	10	
51	42	41	60	51	50	36	52	39	26	32	33	69	37	17	49	37	73	44	42	46	50	67	36	54	59	26	73	54	40	49	32	27	27	51	41	37	48	50	30	58	57	50	60	68	38	54	38	37	46	16	31	50	48	53	49	50	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	1	0	1	0	0	0	2	0	2	0	0	1	0	0	0	0	1	0	1	3	0	1	2	0	1	0	0	0	0	1	0	0	0	0	0	1	3	8	1	3	1	0	0	0	0	0	1	0	0	1	1	0	1	1	1	0	0	0	0	
6	6	5	5	7	6	6	9	12	5	15	9	10	9	3	9	7	10	8	10	12	6	9	6	5	5	7	7	8	4	8	7	6	8	3	7	5	4	4	11	8	16	10	12	7	19	6	4	5	8	5	10	10	16	4	7	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	
25	7	12	10	16	17	19	15	15	23	12	25	14	18	6	13	12	12	17	13	12	23	25	17	15	26	9	13	25	16	11	14	9	10	17	11	13	15	18	8	33	24	15	38	21	14	16	12	16	24	7	7	17	23	15	19	18	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	1	0	0	0	0	1	2	0	0	0	0	0	3	0	1	1	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	
