"УИК №1674"	"УИК №1675"	"УИК №1676"	"УИК №1677"	"УИК №1678"	"УИК №1679"	"УИК №1680"	"УИК №1681"	"УИК №1682"	"УИК №1683"	"УИК №1684"	"УИК №1685"	"УИК №1686"	"УИК №1687"	"УИК №1688"	"УИК №1689"	"УИК №1690"	"УИК №1691"	"УИК №1692"	"УИК №1693"	"УИК №1694"	"УИК №1695"	"УИК №1696"	"УИК №1697"	"УИК №1698"	"УИК №1699"	"УИК №1700"	"УИК №1701"	"УИК №1702"	"УИК №1706"	"УИК №1707"	"УИК №1708"	"УИК №1709"	"УИК №1710"	"УИК №1711"	"УИК №1712"	"УИК №1713"	"УИК №1714"	"УИК №1715"	"УИК №1716"	"УИК №1717"	"УИК №1718"	"УИК №1719"	"УИК №1720"	"УИК №1721"	"УИК №1722"	"УИК №1723"	
1153	957	1756	1528	536	1641	1964	298	2925	2299	2601	3250	2584	1967	1881	2500	2184	2115	541	2657	2339	2620	2444	2060	2108	3482	3235	2129	400	2491	716	3039	1381	1216	1516	1911	1859	1654	1084	1515	1367	2491	1403	1456	1408	1606	775	
1000	800	2000	1500	500	1500	1500	350	2500	2000	2500	3000	2500	2000	1500	2000	2000	1700	550	2500	2000	2500	2000	2000	2000	3500	3000	2000	400	2000	600	3000	1500	1000	1500	2000	2000	1500	1000	1500	1300	2500	1500	1500	1400	1500	800	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
708	560	1365	873	333	1033	1198	233	1826	1351	1748	2184	1834	1270	1193	1554	1332	1399	423	1737	1378	1647	1505	1255	1344	2505	2069	1193	365	1462	422	1843	843	696	923	1400	1203	993	763	901	813	1565	949	930	850	972	599	
26	16	18	26	9	30	61	61	25	39	49	51	28	27	37	35	55	24	100	26	33	37	34	27	38	15	38	33	35	38	8	46	19	22	17	23	18	34	16	36	27	33	11	16	15	13	19	
266	224	617	601	158	437	241	56	649	610	703	765	638	703	270	411	613	277	27	737	589	816	461	718	618	980	893	774	0	500	170	1111	638	282	560	577	779	473	221	563	460	902	540	554	535	515	182	
26	16	18	26	9	29	61	61	25	39	49	51	28	27	37	35	55	24	100	26	33	37	34	27	38	15	38	33	35	38	8	46	19	22	17	23	18	34	16	36	27	33	11	16	15	13	19	
704	560	1365	873	333	1033	1196	233	1826	1351	1748	2184	1833	1269	1193	1553	1332	1398	423	1733	1376	1645	1503	1254	1344	2505	2067	1192	365	1461	422	1841	843	696	923	1398	1202	993	763	900	813	1564	949	930	847	972	599	
13	10	6	4	14	11	20	2	13	18	26	31	20	14	12	28	8	19	18	17	14	27	21	13	20	32	23	24	5	9	1	20	10	8	9	16	19	9	9	11	12	14	5	14	9	11	11	
717	566	1377	895	328	1051	1237	292	1838	1372	1771	2204	1841	1282	1218	1560	1379	1403	505	1742	1395	1655	1516	1268	1362	2488	2082	1201	395	1490	429	1867	852	710	931	1405	1201	1018	770	925	828	1583	955	932	853	974	607	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

4	7	16	7	5	9	8	1	11	12	14	28	7	14	15	12	22	16	11	12	16	12	11	6	14	19	12	6	3	16	3	20	8	5	5	15	8	12	9	5	11	11	5	9	7	11	3	
84	56	154	73	25	97	92	7	155	136	148	226	176	95	119	128	110	122	8	148	113	156	144	148	111	200	197	206	27	155	43	176	106	57	89	138	91	96	63	94	86	122	77	78	73	72	62	
34	39	61	25	17	53	59	13	97	53	72	94	112	56	59	70	49	67	32	73	78	69	62	59	60	73	85	46	25	70	19	81	32	22	42	71	65	45	44	48	39	88	56	43	42	54	30	
513	426	1063	713	260	814	1002	259	1431	1063	1438	1685	1406	1049	938	1234	1102	1117	430	1380	1083	1271	1164	957	1078	2078	1633	729	305	1115	344	1466	651	588	746	1078	959	800	616	711	634	1263	756	756	686	782	466	
38	20	39	24	12	29	33	6	74	47	36	60	55	28	31	55	36	32	14	53	39	64	50	40	45	49	62	131	16	58	12	52	24	13	24	44	24	26	11	21	24	39	31	15	19	19	17	
9	7	9	8	3	10	4	1	13	13	16	15	12	7	10	13	8	6	3	15	8	11	7	20	11	5	22	6	2	16	1	10	8	8	6	10	11	9	5	10	6	21	10	7	4	3	4	
11	3	13	15	2	10	13	3	25	18	17	31	20	11	24	20	21	21	5	26	22	23	24	17	22	25	31	28	4	16	3	20	8	6	5	19	13	10	6	7	9	19	11	10	10	7	10	
24	8	22	30	4	29	26	2	32	30	30	65	53	22	22	28	31	22	2	35	36	49	54	21	21	39	40	49	13	44	4	42	15	11	14	30	30	20	16	29	19	20	9	14	12	26	15	
