"УИК №460"	"УИК №490"	"УИК №491"	"УИК №492"	"УИК №493"	"УИК №494"	"УИК №495"	"УИК №496"	"УИК №497"	"УИК №498"	"УИК №499"	"УИК №500"	"УИК №501"	"УИК №502"	"УИК №503"	"УИК №504"	"УИК №505"	"УИК №506"	"УИК №507"	"УИК №508"	"УИК №509"	"УИК №510"	"УИК №511"	"УИК №512"	"УИК №513"	"УИК №514"	"УИК №515"	"УИК №516"	"УИК №517"	"УИК №518"	"УИК №519"	"УИК №520"	"УИК №521"	"УИК №522"	"УИК №523"	"УИК №524"	"УИК №525"	
183	2179	2159	2189	2102	1984	2093	2018	1995	1934	1079	1126	1454	758	1407	1000	713	798	389	807	325	807	2154	1068	375	415	959	554	149	847	319	245	99	2428	1111	1325	1714	
200	2000	2000	2000	2000	2000	2000	2000	2000	2000	1000	1000	1500	700	1400	1000	700	700	400	800	300	800	2000	1000	350	400	900	500	140	800	300	240	90	2500	1000	1200	1800	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
67	1399	1366	1552	1175	1239	1677	1705	1440	1505	793	507	857	476	855	715	390	512	293	538	236	384	1183	371	256	306	644	340	108	481	225	173	76	1095	679	856	1024	
116	326	261	95	314	306	209	106	219	124	124	376	214	84	275	117	59	124	60	107	42	170	341	347	25	28	70	65	12	127	28	29	5	251	245	188	349	
17	275	373	353	511	455	114	189	341	371	83	117	429	140	270	168	251	64	47	155	22	246	476	282	69	66	186	95	20	192	47	38	9	1154	76	156	427	
116	326	261	95	314	306	209	106	219	124	124	376	214	84	275	117	59	124	60	107	42	170	341	347	25	28	70	65	12	127	28	29	5	251	245	188	349	
67	1399	1366	1552	1175	1236	1666	1705	1440	1505	793	507	857	476	855	714	390	512	293	538	236	384	1183	371	256	306	644	340	108	481	225	173	76	1095	679	856	1024	
2	10	15	7	28	17	11	13	14	9	13	20	15	13	0	8	4	5	0	10	1	5	12	8	4	6	6	8	2	3	16	3	0	20	5	8	18	
181	1715	1612	1640	1461	1525	1864	1798	1645	1620	904	863	1056	547	1130	823	445	631	353	635	277	549	1512	710	277	328	708	397	118	605	237	199	81	1326	919	1036	1355	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

2	8	21	12	14	15	6	20	6	7	4	6	1	4	4	0	4	1	3	3	3	4	12	2	2	0	7	0	0	3	1	2	0	6	1	3	11	
15	163	154	162	218	221	207	126	122	110	86	136	177	81	102	68	74	70	22	125	17	57	104	83	26	44	158	56	6	62	25	20	4	158	70	69	171	
13	59	122	17	129	88	47	100	68	101	50	36	60	39	78	77	35	38	15	27	26	26	78	59	22	15	49	4	10	10	1	5	3	129	48	62	115	
143	1460	1271	1416	1051	1166	1584	1512	1414	1388	749	661	807	412	924	659	326	513	308	468	231	454	1300	551	222	264	477	335	102	525	202	166	74	1016	793	880	1031	
4	8	10	12	15	11	7	16	12	2	4	7	4	6	6	9	2	0	2	3	0	2	6	2	3	2	5	0	0	2	3	1	0	7	4	5	11	
4	10	24	12	13	10	4	15	13	8	6	8	1	5	8	5	2	5	2	4	0	5	8	9	1	1	8	1	0	2	4	2	0	7	1	9	6	
0	5	7	7	15	5	7	8	5	2	3	6	2	0	5	2	1	3	1	3	0	0	3	4	1	1	4	0	0	1	1	1	0	1	2	4	2	
0	2	3	2	6	9	2	1	5	2	2	3	4	0	3	3	1	1	0	2	0	1	1	0	0	1	0	1	0	0	0	2	0	2	0	4	8	
