"УИК №1070"	"УИК №1071"	"УИК №1072"	"УИК №1073"	"УИК №1074"	"УИК №1075"	"УИК №1076"	"УИК №1077"	"УИК №1078"	"УИК №1079"	"УИК №1080"	"УИК №1081"	"УИК №1082"	"УИК №1083"	"УИК №1084"	"УИК №1085"	"УИК №1086"	"УИК №1087"	"УИК №1088"	"УИК №1089"	"УИК №1090"	"УИК №1091"	"УИК №1092"	"УИК №1093"	"УИК №1094"	"УИК №1095"	"УИК №1096"	"УИК №1097"	"УИК №1098"	
213	1639	1749	1467	1603	1222	736	1408	1584	1445	1614	1527	2100	804	1182	1304	1396	1124	2120	537	703	1224	1358	700	888	848	252	897	786	
180	1600	1700	1500	1600	1200	700	1400	1600	1400	1600	1500	2100	800	1100	1300	1400	1100	2100	500	700	1200	1300	600	800	800	200	900	700	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
88	748	985	789	858	736	432	891	978	898	954	972	978	372	687	672	829	652	1265	298	318	636	678	365	504	450	142	476	376	
92	113	62	35	55	42	31	53	46	72	40	34	61	31	37	32	54	35	50	40	32	37	41	58	31	53	18	78	69	
0	739	653	676	687	422	237	456	576	430	606	494	1061	397	376	596	517	413	785	162	350	527	581	177	265	297	40	346	255	
92	113	62	35	55	42	31	53	46	72	40	34	61	31	37	32	54	35	50	40	32	37	41	58	31	53	18	78	69	
88	748	985	789	858	736	432	891	978	898	954	972	975	372	687	672	829	652	1265	298	318	636	678	365	504	450	142	476	376	
3	21	13	6	13	12	8	8	12	12	16	15	14	7	3	13	10	5	17	8	4	15	8	5	5	11	0	5	1	
177	840	1034	818	900	766	455	936	1012	958	978	991	1022	396	721	691	873	682	1298	330	346	658	711	418	530	492	160	549	444	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

1	14	5	5	10	12	6	4	4	10	8	10	7	0	3	5	4	3	9	0	2	6	3	7	3	0	1	2	1	
17	127	150	103	131	97	66	132	109	142	130	124	152	47	87	107	114	60	181	34	41	83	86	32	76	37	7	57	31	
12	85	112	69	83	54	46	64	65	60	81	69	97	46	61	59	69	54	112	31	32	56	62	32	46	49	5	43	26	
144	594	742	617	644	564	328	704	798	726	735	745	741	289	557	496	673	551	960	253	265	494	546	334	387	392	147	436	382	
1	3	13	13	6	10	1	14	15	4	13	18	10	4	5	11	3	0	12	4	1	7	6	2	2	3	0	2	0	
1	7	6	6	13	10	6	7	13	10	9	8	9	4	3	7	4	5	9	6	2	8	2	3	4	6	0	4	2	
0	6	2	3	7	7	0	7	4	6	1	8	4	3	0	3	1	5	6	1	1	3	3	5	9	4	0	1	2	
1	4	4	2	6	12	2	4	4	0	1	9	2	3	5	3	5	4	9	1	2	1	3	3	3	1	0	4	0	
