"УИК №1242"	"УИК №1243"	"УИК №1244"	"УИК №1245"	"УИК №1246"	"УИК №1247"	"УИК №1248"	"УИК №1249"	"УИК №1250"	"УИК №1251"	"УИК №1252"	"УИК №1253"	"УИК №1254"	"УИК №1255"	"УИК №1256"	"УИК №1257"	"УИК №1258"	"УИК №1259"	"УИК №1260"	"УИК №1261"	"УИК №1262"	"УИК №1263"	"УИК №1264"	"УИК №1265"	"УИК №1266"	"УИК №1267"	"УИК №1268"	"УИК №1269"	"УИК №1270"	"УИК №1271"	"УИК №1272"	"УИК №1273"	"УИК №1274"	"УИК №1275"	"УИК №1276"	"УИК №1277"	"УИК №1278"	"УИК №1279"	"УИК №1280"	"УИК №1281"	"УИК №1282"	"УИК №1283"	"УИК №1284"	"УИК №1285"	"УИК №1286"	"УИК №1287"	"УИК №1288"	"УИК №1289"	"УИК №1290"	"УИК №1291"	"УИК №1292"	"УИК №1293"	"УИК №1294"	"УИК №1295"	"УИК №1296"	"УИК №1297"	"УИК №1298"	"УИК №1299"	"УИК №1300"	"УИК №1301"	"УИК №1302"	"УИК №1303"	"УИК №1304"	"УИК №1305"	"УИК №1306"	"УИК №1307"	"УИК №1308"	"УИК №1309"	"УИК №1310"	"УИК №1311"	"УИК №1312"	"УИК №1313"	"УИК №1314"	"УИК №1315"	"УИК №1316"	"УИК №1317"	"УИК №1318"	"УИК №1319"	"УИК №1322"	"УИК №1323"	"УИК №1324"	"УИК №1822"	"УИК №1823"	"УИК №2649"	"УИК №2650"	"УИК №2651"	
1244	1715	2212	1653	2343	2843	2356	2221	2556	2392	2484	2600	2644	2807	1074	1168	2521	2257	2118	2056	2083	1891	1846	1520	1398	2281	2245	2414	2416	2587	2272	2168	2116	2336	2675	1807	1705	2209	1150	1831	2089	2397	1545	1795	1917	1737	2390	2915	2196	2053	1037	1728	2576	2529	2253	2612	2621	2159	2167	2506	2375	2568	1957	2259	2267	2301	1980	586	2008	867	506	1031	568	3177	2172	351	508	596	2488	2380	2167	2680	2565	2124	1731	803	
1125	1600	2000	1550	2200	2700	2000	1900	2300	2300	2400	2400	2500	2600	1000	900	2000	2200	1900	1900	2000	1800	1800	1400	1100	2200	2100	2300	2300	2400	2200	2100	2100	2300	2600	1700	1700	2200	1100	1800	2000	2000	1400	1700	1900	1700	2300	2600	2100	1900	800	1500	2400	2400	2100	2500	2600	2100	2100	2400	2300	2500	1900	2100	2200	2200	1800	500	1700	750	800	1050	700	2500	2000	500	600	600	2200	2200	2000	2600	2400	1750	1500	775	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
829	1069	1392	894	1389	1636	1414	1330	1531	1399	1414	1686	1621	1567	553	587	1362	1294	1151	1177	1178	970	1092	903	780	1406	1316	1439	1489	1491	1413	1258	1231	1403	1523	1036	881	1314	616	1141	1258	1451	927	1000	1138	958	1367	1849	1343	1238	625	995	1229	1570	1421	1593	1581	1061	1315	1524	1341	1480	1149	1365	1370	1373	1157	302	977	432	466	820	362	1811	1408	295	478	539	1438	1480	1186	1756	1587	1427	1010	526	
53	30	28	22	17	25	11	22	23	13	11	16	15	26	11	112	42	25	47	20	18	27	20	30	14	8	4	8	38	119	30	25	15	34	26	37	18	31	28	26	33	27	17	32	34	39	23	7	28	32	67	7	23	57	11	24	15	18	10	9	14	22	8	24	23	21	14	1	5	137	32	158	206	157	12	52	0	21	5	24	35	6	13	8	9	4	
243	501	580	634	794	1039	575	548	746	888	975	698	864	1007	436	201	596	881	702	703	804	803	688	467	306	786	780	853	773	790	757	817	854	863	1051	627	801	855	456	633	709	522	456	668	728	703	910	744	729	630	108	498	1148	773	668	883	1004	1021	775	867	945	998	743	711	807	806	629	197	718	181	302	72	132	532	580	153	122	40	757	696	779	838	800	315	481	245	
53	30	28	22	17	25	11	22	23	13	11	16	15	26	11	112	42	25	47	20	18	27	20	30	14	8	4	8	38	119	30	25	15	34	26	37	18	31	28	26	33	27	17	32	34	39	23	7	28	32	67	7	23	57	11	24	15	18	10	9	14	22	8	24	23	21	14	1	5	137	32	158	206	157	12	52	0	21	5	24	35	6	13	8	9	4	
829	1069	1392	894	1389	1636	1414	1329	1531	1399	1414	1683	1621	1567	553	587	1362	1293	1151	1177	1176	970	1092	902	780	1403	1315	1439	1489	1489	1413	1258	1229	1403	1521	1032	881	1313	616	1141	1258	1450	927	1000	1138	958	1367	1847	1342	1237	625	992	1229	1570	1421	1593	1581	1061	1315	1524	1341	1479	1149	1365	1369	1371	1157	302	976	432	466	820	362	1811	1408	295	478	539	1435	1480	1186	1756	1587	1426	1010	526	
13	11	20	17	10	18	26	28	21	20	16	17	15	31	10	8	15	12	12	14	11	12	9	8	11	17	23	14	18	15	19	15	11	19	23	11	9	11	4	15	13	11	12	12	9	7	12	15	13	14	5	21	25	11	24	13	21	10	15	17	20	25	12	14	18	20	11	2	8	3	16	24	4	23	19	4	14	15	17	22	16	23	17	16	13	5	
869	1088	1400	899	1396	1643	1399	1323	1533	1392	1409	1682	1621	1562	554	691	1389	1306	1186	1183	1183	985	1103	924	783	1394	1296	1433	1509	1593	1424	1268	1233	1418	1524	1058	890	1333	640	1152	1278	1466	932	1020	1163	990	1378	1839	1357	1255	687	978	1227	1616	1408	1604	1575	1069	1310	1516	1335	1476	1145	1375	1374	1372	1160	301	973	566	482	954	564	1945	1401	343	464	545	1423	1482	1205	1739	1583	1418	1006	525	
