"УИК №548"	"УИК №549"	"УИК №882"	"УИК №1385"	"УИК №1386"	"УИК №1387"	"УИК №1388"	"УИК №1389"	"УИК №1390"	"УИК №1391"	"УИК №1392"	"УИК №1393"	"УИК №1394"	"УИК №1395"	"УИК №1396"	"УИК №1397"	"УИК №1398"	"УИК №1399"	"УИК №1400"	"УИК №1401"	"УИК №1402"	"УИК №1403"	"УИК №1404"	"УИК №1405"	"УИК №1406"	"УИК №1407"	"УИК №1408"	"УИК №1409"	"УИК №1410"	"УИК №1411"	"УИК №1412"	"УИК №1413"	"УИК №1414"	"УИК №1415"	"УИК №1416"	"УИК №1417"	"УИК №1418"	"УИК №1419"	"УИК №1420"	"УИК №1421"	"УИК №1422"	"УИК №1423"	"УИК №1424"	"УИК №1425"	"УИК №1426"	"УИК №1427"	"УИК №1428"	"УИК №1429"	"УИК №1430"	"УИК №1431"	"УИК №1432"	"УИК №1433"	"УИК №1434"	"УИК №1435"	"УИК №1436"	"УИК №1437"	"УИК №1438"	"УИК №1439"	"УИК №1440"	"УИК №1441"	"УИК №1442"	"УИК №1443"	"УИК №1444"	"УИК №1445"	"УИК №1446"	"УИК №1447"	"УИК №1448"	"УИК №1449"	"УИК №1450"	"УИК №1451"	"УИК №1452"	"УИК №1453"	"УИК №1454"	"УИК №1455"	"УИК №1456"	"УИК №1457"	"УИК №1458"	"УИК №1459"	"УИК №1460"	"УИК №1461"	"УИК №1462"	"УИК №1463"	"УИК №1464"	"УИК №1465"	"УИК №1466"	"УИК №1467"	"УИК №1468"	
266	653	1851	1923	2559	1740	2487	2886	1681	2453	1976	2222	1938	1969	1751	2065	1412	1385	1094	2167	2497	2150	2250	1250	1189	1866	1440	1400	1471	1940	1869	1764	936	1707	1926	1641	1681	1593	1732	2198	2069	2186	2056	2086	2540	1935	1942	1704	1825	2040	1440	1752	2042	2234	1526	1864	2346	1446	1828	1644	1951	1724	1193	980	1889	1844	1952	1651	2081	1888	1972	1985	1772	1982	1793	1786	1885	2018	2332	1808	2150	2449	2078	1718	2065	1457	2011	
300	800	1900	1900	2250	1700	2500	2800	1600	2400	1950	2100	1950	1950	1750	2000	1400	1350	1050	2050	2450	2100	2250	1200	1150	1750	1350	1300	1450	1900	1850	1700	900	1650	1850	1600	1650	1500	1650	2100	2050	2150	2050	2050	2100	1900	1900	1700	1800	2000	1350	1750	2000	2200	1450	1800	2350	1450	1750	1550	1900	1600	1100	900	1700	1800	1950	1700	2050	1850	2000	1950	1750	2000	1800	1850	1850	2050	2300	1800	2100	2300	2050	1700	2050	1400	2000	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
106	601	1106	1133	1753	1055	1488	1595	920	1503	1175	1388	1147	1191	1070	1275	844	805	645	1314	1405	1315	1388	755	713	1095	855	851	854	1101	1059	1068	589	1002	1071	988	1113	926	1101	1495	1198	1248	1258	1263	1662	1198	1184	1012	1082	1297	909	1000	1275	1425	916	1170	1394	885	1086	875	1102	910	586	525	1036	1132	1222	984	1312	1167	1124	1252	1049	1135	1075	999	1163	1117	1442	935	1213	1607	1240	1088	1246	898	1274	
136	37	12	40	24	22	38	17	12	15	18	38	23	42	19	23	17	19	7	16	8	26	24	11	17	27	19	14	21	15	17	21	1	21	28	18	14	17	33	22	43	14	10	6	2	19	31	29	38	19	13	13	18	4	21	12	12	15	18	7	25	44	44	12	12	11	18	13	33	11	25	10	11	21	21	9	25	24	17	18	9	11	10	12	10	8	10	
58	162	782	727	473	623	974	1188	668	882	757	674	780	717	661	702	539	526	398	720	1037	759	838	434	420	628	476	435	575	784	774	611	310	627	751	594	523	557	516	583	809	888	782	781	436	683	685	659	680	684	428	737	707	771	513	618	944	550	646	668	773	646	470	363	652	657	710	703	705	672	851	688	690	844	704	842	662	909	841	847	878	682	800	600	794	494	716	
136	37	12	40	24	22	38	17	12	15	18	38	23	42	19	23	17	19	7	16	8	26	24	11	17	27	19	14	21	15	17	21	1	21	28	18	14	17	33	22	43	14	10	6	2	19	31	29	38	19	13	13	18	4	21	12	12	15	18	7	25	44	44	12	12	11	18	13	33	11	25	10	11	21	21	9	25	24	17	18	9	11	10	12	10	8	10	
106	601	1106	1132	1752	1055	1488	1595	920	1503	1175	1387	1147	1191	1069	1275	844	805	645	1314	1405	1315	1387	755	713	1095	854	851	851	1101	1059	1068	589	1002	1071	988	1111	926	1101	1495	1198	1248	1257	1263	1662	1198	1184	1012	1081	1297	909	1000	1275	1425	916	1170	1394	884	1086	874	1102	910	586	525	1036	1132	1222	984	1311	1167	1124	1251	1049	1135	1075	999	1163	1116	1442	935	1213	1607	1240	1088	1246	898	1273	
6	4	14	26	17	21	52	24	12	21	11	15	11	11	17	16	8	13	7	22	16	20	11	8	7	12	18	10	9	12	11	13	8	10	18	9	27	10	22	15	12	17	15	23	21	19	11	14	10	15	16	13	13	22	15	10	19	9	15	11	11	14	10	4	10	13	15	12	13	10	11	12	12	16	15	8	12	24	10	13	13	16	14	11	19	4	13	
236	634	1104	1146	1759	1056	1474	1588	920	1497	1182	1410	1159	1222	1071	1282	853	811	645	1308	1397	1321	1400	758	723	1110	855	855	863	1104	1065	1076	582	1013	1081	997	1098	933	1112	1502	1229	1245	1252	1246	1643	1198	1204	1027	1109	1301	906	1000	1280	1407	922	1172	1387	890	1089	870	1116	940	620	533	1038	1130	1225	985	1331	1168	1138	1249	1048	1140	1081	1000	1176	1116	1449	940	1209	1602	1236	1089	1237	902	1270	
