"УИК №2129"	"УИК №2130"	"УИК №2131"	"УИК №2132"	"УИК №2133"	"УИК №2134"	"УИК №2135"	"УИК №2136"	"УИК №2137"	"УИК №2138"	
2555	2629	2504	1470	1291	449	1798	255	137	82	
2600	2600	2500	1400	1200	400	1800	250	120	80	
0	0	0	0	0	0	0	0	0	0	
1635	1721	1664	823	789	215	989	166	92	57	
37	65	22	90	34	7	20	2	7	2	
928	814	814	487	377	178	791	82	21	21	
37	65	22	90	34	7	20	2	7	2	
1635	1720	1664	823	789	215	989	166	92	57	
26	32	33	15	8	2	12	7	0	0	
1646	1753	1653	898	815	220	997	161	99	59	
0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	

13	22	10	4	1	2	7	2	2	1	
221	257	213	127	104	25	124	30	10	3	
124	129	104	74	79	25	110	14	6	8	
1233	1293	1276	673	605	159	738	109	81	45	
20	14	13	15	5	4	6	2	0	1	
9	17	11	1	5	3	3	2	0	1	
13	11	11	2	7	0	6	1	0	0	
13	10	15	2	9	2	3	1	0	0	
