"УИК №165"	"УИК №166"	"УИК №167"	"УИК №168"	"УИК №169"	"УИК №170"	"УИК №171"	"УИК №172"	"УИК №173"	"УИК №174"	"УИК №175"	"УИК №176"	"УИК №177"	"УИК №178"	"УИК №179"	"УИК №180"	
754	669	682	765	682	921	551	508	463	914	819	781	864	735	862	1287	
780	700	650	750	650	850	520	500	490	850	700	750	850	690	820	1200	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
652	618	565	585	415	733	388	428	305	690	586	658	678	647	713	755	
59	32	40	42	39	59	33	27	59	69	89	63	83	30	32	102	
69	50	45	123	196	58	99	45	126	91	25	29	89	13	75	343	
59	32	40	42	39	59	33	27	59	69	89	63	83	30	32	102	
652	618	565	585	415	733	388	428	304	690	586	658	678	647	713	755	
3	3	0	5	2	0	2	2	1	2	6	2	2	2	1	10	
708	647	605	622	452	792	419	453	362	757	669	719	759	675	744	847	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

2	0	1	1	1	0	2	3	2	4	4	2	0	7	2	2	
61	48	24	65	54	393	52	51	48	67	59	51	28	72	15	102	
31	16	43	29	28	3	15	11	14	34	36	24	22	24	4	40	
607	578	533	516	362	393	344	385	290	643	562	629	703	557	721	687	
3	1	2	4	2	1	1	1	2	1	2	6	3	8	0	9	
1	2	1	3	1	0	2	1	3	6	3	3	1	5	0	4	
3	1	0	1	2	1	2	1	0	1	2	2	1	2	2	0	
0	1	1	3	2	1	1	0	3	1	1	2	1	0	0	3	
