"УИК №597"	"УИК №598"	"УИК №599"	"УИК №600"	"УИК №601"	"УИК №603"	"УИК №604"	"УИК №605"	"УИК №606"	"УИК №607"	"УИК №608"	"УИК №609"	"УИК №610"	"УИК №611"	"УИК №612"	"УИК №613"	"УИК №614"	"УИК №615"	
1959	344	1503	195	248	194	360	175	383	280	270	176	430	2921	267	436	558	208	
1880	320	1430	175	235	180	340	170	370	260	250	175	405	2700	230	410	560	210	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
871	202	1204	153	156	132	270	138	266	208	204	125	278	2114	166	323	337	147	
233	76	178	22	46	28	68	23	88	52	41	25	77	202	45	49	108	36	
776	42	48	0	33	20	2	9	16	0	5	25	50	384	19	38	115	27	
233	76	178	22	46	28	68	23	88	52	41	25	77	202	45	49	108	36	
871	202	1204	153	156	132	270	138	266	208	204	125	278	2114	166	323	337	147	
7	4	11	0	1	3	3	0	3	0	3	0	3	11	3	4	3	0	
1097	274	1371	175	201	157	335	161	351	260	242	150	352	2305	208	368	442	183	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

12	1	3	0	1	0	2	1	0	4	0	1	2	4	1	1	2	0	
118	11	74	7	15	16	15	13	21	13	15	13	7	170	19	22	25	14	
86	8	71	13	11	15	16	9	14	7	15	7	21	80	14	19	27	15	
861	249	1206	154	170	124	299	134	308	231	209	128	314	2016	168	318	380	154	
10	1	5	0	2	1	2	3	4	2	2	0	3	13	1	4	4	0	
7	3	9	0	2	1	0	0	2	1	0	0	3	13	3	3	2	0	
3	0	2	1	0	0	0	1	2	2	1	0	1	6	0	1	0	0	
0	1	1	0	0	0	1	0	0	0	0	1	1	3	2	0	2	0	
