"УИК №927"	"УИК №928"	"УИК №929"	"УИК №930"	"УИК №931"	"УИК №932"	"УИК №933"	"УИК №934"	"УИК №935"	"УИК №936"	"УИК №937"	"УИК №938"	"УИК №939"	"УИК №940"	"УИК №941"	"УИК №942"	"УИК №943"	"УИК №944"	"УИК №945"	
287	199	254	207	258	273	374	331	319	202	78	180	235	115	268	368	507	1262	2485	
315	205	265	210	255	280	380	340	340	205	70	185	225	120	280	375	550	1300	2500	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
219	133	182	131	194	146	156	223	223	140	52	102	125	57	148	282	356	631	1364	
68	46	36	29	40	84	128	48	52	22	8	53	70	42	46	40	51	300	165	
28	26	47	50	21	50	96	69	65	43	10	30	30	21	86	53	143	369	971	
68	46	36	29	40	84	128	48	52	22	8	53	70	42	46	40	51	300	165	
219	133	182	131	194	146	156	223	223	140	52	102	125	57	148	282	356	631	1364	
0	0	0	1	1	2	1	0	1	0	0	0	0	0	0	1	0	6	13	
287	179	218	159	233	228	283	271	274	162	60	155	195	99	194	321	407	925	1516	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

0	2	0	0	2	1	0	0	1	1	0	0	1	0	4	0	1	8	4	
39	15	27	3	23	16	20	20	20	14	1	14	12	12	9	9	21	85	27	
10	13	17	14	7	12	28	31	12	3	3	1	3	2	9	19	6	53	21	
238	148	173	140	199	198	234	214	238	139	53	140	178	83	169	291	377	774	1453	
0	1	0	0	1	0	0	2	3	3	1	0	0	0	2	1	0	0	5	
0	0	1	1	1	0	0	3	0	1	0	0	0	2	0	1	1	5	3	
0	0	0	1	0	1	1	0	0	1	1	0	0	0	1	0	1	0	2	
0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	1	
