"УИК №878"	"УИК №879"	"УИК №880"	"УИК №881"	"УИК №882"	"УИК №883"	"УИК №884"	"УИК №885"	"УИК №886"	"УИК №887"	"УИК №888"	"УИК №889"	"УИК №890"	"УИК №891"	"УИК №892"	"УИК №893"	"УИК №894"	"УИК №895"	"УИК №896"	"УИК №897"	"УИК №898"	"УИК №899"	"УИК №900"	"УИК №901"	"УИК №902"	"УИК №903"	"УИК №904"	"УИК №905"	"УИК №906"	"УИК №907"	"УИК №908"	"УИК №909"	"УИК №910"	"УИК №911"	"УИК №912"	"УИК №913"	"УИК №914"	"УИК №915"	"УИК №916"	"УИК №917"	"УИК №918"	"УИК №919"	"УИК №920"	"УИК №921"	"УИК №922"	"УИК №923"	"УИК №924"	"УИК №925"	"УИК №926"	"УИК №927"	"УИК №928"	"УИК №929"	"УИК №930"	"УИК №931"	"УИК №932"	"УИК №933"	"УИК №934"	
856	713	1086	977	286	242	121	164	363	172	267	302	165	209	232	185	137	90	233	141	327	182	220	110	284	113	133	111	668	553	400	424	263	62	197	208	88	294	247	113	388	212	103	295	185	383	93	257	119	270	325	289	133	125	145	196	90	
877	725	1150	1000	294	247	126	164	367	176	272	315	165	209	236	186	136	87	234	145	332	182	220	112	288	113	134	111	695	571	407	437	266	63	197	210	89	294	254	113	398	212	104	298	185	383	98	257	119	273	329	290	138	126	147	203	91	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
821	669	1033	907	257	225	118	155	347	155	248	255	155	198	218	177	118	85	223	138	285	170	215	104	234	102	131	108	640	524	373	405	241	60	191	193	79	270	231	106	370	202	98	292	184	338	91	239	119	259	308	269	121	115	131	191	84	
26	30	39	33	28	15	3	8	14	17	14	41	9	10	12	8	17	2	7	3	39	8	3	5	49	9	1	2	18	25	20	19	21	2	5	10	8	20	12	7	16	9	5	0	0	35	1	15	0	6	11	20	11	8	14	5	6	
30	26	78	60	9	7	5	1	6	4	10	19	1	1	6	1	1	0	4	4	8	4	2	3	5	2	2	1	37	22	14	13	4	1	1	7	2	4	11	0	12	1	1	6	1	10	6	3	0	8	10	1	6	3	2	7	1	
26	30	39	33	28	15	3	8	14	17	14	41	9	10	12	8	17	2	7	3	39	8	3	5	49	9	1	2	18	25	20	19	21	2	5	10	8	20	12	7	16	9	5	0	0	35	1	15	0	6	11	20	11	8	14	5	6	
821	669	1024	907	257	225	118	155	347	155	248	255	155	198	218	177	118	85	223	138	285	170	215	104	234	102	131	108	640	524	373	405	241	60	191	193	79	270	231	106	370	202	98	292	184	338	91	239	119	259	308	269	121	115	131	191	84	
0	11	11	102	0	0	0	0	3	0	0	2	0	1	4	0	0	0	0	2	1	2	1	0	0	0	3	0	0	0	0	0	2	0	2	1	0	3	2	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	
847	688	1052	838	285	240	121	163	358	172	262	294	164	207	226	185	135	87	230	139	323	176	217	109	283	111	129	110	658	549	393	424	260	62	194	202	87	287	241	113	386	211	103	292	184	365	92	254	119	265	319	289	132	123	145	196	90	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

1	3	1	2	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	
4	12	31	103	1	1	1	0	2	3	3	24	3	2	5	3	2	3	13	5	13	7	1	1	7	1	2	2	3	0	4	1	3	0	1	6	4	6	5	1	4	3	1	1	4	4	2	0	2	3	9	1	1	2	11	2	0	
1	9	8	22	1	1	0	0	2	0	1	6	0	0	0	0	0	1	0	0	2	1	0	0	0	0	0	0	2	5	2	0	1	0	1	3	3	0	0	0	0	0	0	1	0	2	1	1	0	0	1	1	0	0	2	0	0	
837	661	1000	679	283	236	120	161	353	169	257	255	161	204	221	182	133	82	214	131	306	168	215	108	276	110	127	108	651	544	385	423	253	62	191	193	80	281	236	111	379	208	102	289	180	355	88	252	116	259	303	286	131	121	128	193	90	
1	0	4	16	0	0	0	0	1	0	1	3	0	1	0	0	0	0	1	1	1	0	1	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	1	0	0	0	1	0	1	1	1	1	0	3	0	0	0	2	0	0	
1	1	2	6	0	0	0	2	0	0	0	2	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	3	0	1	0	0	0	0	0	
1	1	1	7	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	
1	1	5	3	0	1	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	2	1	0	
