"УИК №349"	"УИК №350"	"УИК №351"	"УИК №352"	"УИК №353"	"УИК №354"	"УИК №355"	"УИК №356"	"УИК №357"	"УИК №358"	"УИК №359"	"УИК №360"	"УИК №361"	"УИК №362"	"УИК №363"	"УИК №364"	"УИК №365"	"УИК №366"	"УИК №367"	"УИК №368"	"УИК №369"	"УИК №370"	"УИК №371"	"УИК №372"	"УИК №373"	"УИК №374"	"УИК №375"	"УИК №376"	"УИК №377"	"УИК №378"	"УИК №379"	"УИК №380"	"УИК №381"	"УИК №382"	"УИК №383"	"УИК №384"	"УИК №385"	"УИК №386"	"УИК №387"	"УИК №388"	"УИК №389"	"УИК №390"	"УИК №391"	"УИК №392"	"УИК №393"	"УИК №394"	"УИК №395"	"УИК №396"	"УИК №397"	"УИК №398"	"УИК №399"	"УИК №400"	"УИК №401"	"УИК №402"	"УИК №403"	"УИК №404"	"УИК №405"	"УИК №406"	"УИК №407"	"УИК №408"	"УИК №409"	"УИК №410"	"УИК №411"	"УИК №412"	"УИК №413"	"УИК №414"	"УИК №415"	"УИК №416"	"УИК №417"	"УИК №418"	"УИК №419"	"УИК №420"	"УИК №421"	"УИК №422"	"УИК №423"	"УИК №424"	"УИК №425"	"УИК №426"	"УИК №427"	"УИК №428"	"УИК №429"	"УИК №430"	"УИК №431"	"УИК №432"	"УИК №433"	"УИК №434"	"УИК №435"	"УИК №436"	"УИК №437"	"УИК №438"	"УИК №439"	"УИК №440"	"УИК №441"	"УИК №442"	"УИК №443"	"УИК №444"	"УИК №445"	"УИК №446"	"УИК №447"	"УИК №448"	"УИК №449"	"УИК №450"	"УИК №451"	"УИК №452"	
2952	2301	2033	1993	2576	1631	2822	2825	2710	2893	2589	2593	2625	2700	2513	2252	2836	2540	889	2064	806	2648	2976	2433	2756	2470	3143	2059	2384	2367	2515	2792	2445	2330	2134	2758	2174	1639	580	2807	3262	2824	2491	1629	2916	2044	2028	1755	2261	2206	1476	2345	1967	1968	2098	1580	2873	2348	2324	2469	2313	2558	2327	2574	2582	2111	2053	2577	2442	2608	2553	2782	2520	1889	2423	2582	2399	2387	2347	2293	2351	2625	2703	2737	2493	2628	2910	2816	2828	2754	3231	2966	3093	2885	150	82	194	422	87	556	687	262	2592	1979	
2300	1800	1600	1600	2100	1300	2100	2200	2200	2300	2000	2000	2100	2100	2000	1800	2200	2000	700	1700	700	2200	2400	2000	2300	2000	2400	1700	2000	2000	2000	2200	2000	2000	1700	2100	1800	1300	500	2200	2300	2300	2100	1300	2200	1700	1700	1400	1700	1700	2000	1800	1700	1700	1800	1100	2100	1800	2000	2000	2000	2100	2000	2100	2100	1700	1700	2100	2000	2200	2100	2300	2100	1500	2000	2200	2000	2000	2000	2000	2000	2100	2200	2200	2000	2100	2300	2300	2300	2300	2500	2400	2300	2200	150	82	194	425	90	556	687	262	2100	1700	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1763	1334	1174	1111	1548	986	1665	1877	1630	1789	1485	1546	1575	1475	1474	1444	1517	1386	637	1039	443	1452	1601	1403	1825	1352	1541	1311	1437	1526	1536	1553	1489	1399	1222	1595	1427	826	379	1617	2039	1514	1418	828	1769	1146	1140	1047	1375	1256	1442	1345	1127	1177	1269	947	1733	1438	1257	1351	1390	1424	1401	1490	1487	1172	1141	1644	1442	1345	1643	1518	1362	1078	1407	1542	1495	1381	1409	1337	1557	1658	1776	1539	1408	1499	1785	1607	1614	1495	1640	1687	1568	1591	150	82	165	179	79	324	687	0	1427	1169	
43	48	31	52	41	33	35	61	37	38	35	50	58	59	17	17	43	30	10	117	17	32	31	47	15	38	48	32	35	29	79	93	73	35	42	30	46	77	41	128	8	56	39	39	21	40	45	32	50	48	34	65	55	23	43	22	43	54	75	66	35	33	35	41	24	36	25	43	29	28	42	31	51	26	22	34	48	39	32	30	22	10	14	16	23	34	12	20	25	15	17	46	123	33	0	0	29	243	8	232	0	262	13	12	
494	418	395	437	511	281	400	262	533	473	480	404	467	566	509	339	640	584	53	544	240	716	768	550	460	610	811	357	528	445	385	554	438	566	436	475	327	397	80	455	253	730	643	433	410	514	515	321	275	396	524	390	518	500	488	131	324	308	668	583	575	643	564	569	589	492	534	413	529	827	415	751	687	396	571	624	457	580	559	633	421	432	410	645	569	567	503	673	661	790	843	667	609	576	0	0	0	3	3	0	0	0	660	519	
43	48	31	52	41	33	35	61	37	38	35	50	58	59	17	17	43	30	10	117	17	32	31	47	15	38	48	32	35	29	79	93	73	35	42	30	46	77	41	128	8	56	39	39	21	40	45	32	50	48	34	65	55	23	43	22	43	54	75	66	35	33	35	41	24	36	25	43	29	28	42	31	51	26	22	34	48	39	32	30	22	10	14	16	23	34	12	20	25	15	17	46	123	33	0	0	29	243	8	232	0	262	13	12	
1760	1330	1174	1111	1548	984	1665	1877	1628	1789	1484	1546	1572	1473	1474	1444	1517	1386	637	1039	443	1450	1599	1401	1820	1351	1538	1309	1434	1523	1531	1551	1489	1399	1221	1593	1427	826	379	1617	2039	1510	1415	828	1768	1146	1140	1044	1375	1256	1441	1343	1126	1177	1264	943	1731	1436	1256	1348	1387	1422	1398	1490	1484	1169	1141	1644	1439	1345	1639	1517	1362	1078	1403	1539	1490	1379	1400	1328	1553	1653	1772	1539	1406	1494	1777	1604	1608	1494	1640	1687	1568	1589	150	82	165	179	79	324	687	0	1425	1166	
43	5	5	8	27	12	33	25	28	46	48	38	30	23	41	23	29	8	4	17	5	10	4	12	36	4	13	10	28	20	5	21	8	13	5	19	10	13	2	30	30	10	10	5	28	2	26	25	29	10	11	10	3	25	8	10	42	12	20	30	7	16	11	21	32	8	7	3	11	16	3	18	26	12	23	20	39	24	9	24	32	9	4	12	19	17	10	30	0	36	3	3	14	5	0	0	0	2	0	0	0	0	23	9	
1760	1373	1200	1155	1562	1005	1667	1913	1637	1781	1471	1558	1600	1509	1450	1438	1531	1408	643	1139	455	1472	1626	1436	1799	1385	1573	1331	1441	1532	1605	1623	1554	1421	1258	1604	1463	890	418	1715	2017	1556	1444	862	1761	1184	1159	1051	1396	1294	1464	1398	1178	1175	1299	955	1732	1478	1311	1384	1415	1439	1422	1510	1476	1197	1159	1684	1457	1357	1678	1530	1387	1092	1402	1553	1499	1394	1423	1334	1543	1654	1782	1543	1410	1511	1779	1594	1633	1473	1654	1730	1677	1617	150	82	194	420	87	556	687	262	1415	1169	
