"УИК №1592"	"УИК №1593"	"УИК №1594"	"УИК №1595"	"УИК №1596"	"УИК №1597"	"УИК №1598"	"УИК №1599"	"УИК №1600"	"УИК №1601"	"УИК №1602"	"УИК №1603"	"УИК №1604"	"УИК №1605"	"УИК №1606"	"УИК №1607"	"УИК №1608"	"УИК №1609"	"УИК №1610"	"УИК №1611"	"УИК №1612"	"УИК №1613"	"УИК №1614"	"УИК №1615"	"УИК №1616"	"УИК №1617"	"УИК №1618"	"УИК №1619"	"УИК №1620"	"УИК №1621"	"УИК №1622"	"УИК №1623"	
269	327	511	411	398	168	288	115	378	181	379	174	418	217	443	352	308	1249	128	568	318	124	238	387	134	146	154	456	105	104	349	120	
290	350	550	425	420	180	300	115	390	190	390	180	440	220	460	370	320	1250	140	590	330	130	245	400	140	160	165	480	115	115	360	125	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
237	300	470	382	345	152	260	107	353	167	358	154	390	197	408	326	283	1103	123	481	297	113	227	321	127	133	137	430	94	97	330	109	
24	20	41	24	47	11	20	4	22	12	14	12	22	14	28	19	19	126	3	78	15	7	6	62	4	11	14	22	10	7	16	9	
29	30	39	19	28	17	20	4	15	11	18	14	28	9	24	25	18	21	14	31	18	10	12	17	9	16	14	28	11	11	14	7	
24	20	41	24	47	11	20	4	22	12	14	12	22	14	28	19	19	126	3	78	15	7	6	62	4	11	14	22	10	7	16	9	
237	300	470	382	345	152	260	107	353	167	358	154	390	197	408	326	283	1103	123	481	297	113	227	321	127	133	137	430	94	97	330	109	
0	0	1	5	2	0	0	0	0	0	0	0	0	0	1	1	0	1	0	3	0	0	0	0	0	0	0	1	0	0	2	0	
261	320	510	401	390	163	280	111	375	179	372	166	412	211	435	344	302	1228	126	556	312	120	233	383	131	144	151	451	104	104	344	118	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	0	1	0	0	0	0	0	0	1	0	2	0	
5	11	7	8	12	5	5	2	6	0	9	14	1	2	6	3	4	18	0	13	2	0	1	5	1	4	6	6	0	0	6	0	
4	2	4	2	3	1	2	0	4	1	8	2	1	2	2	0	2	4	0	0	0	0	1	2	1	2	1	4	0	0	4	1	
252	306	496	391	374	157	273	109	364	178	353	149	409	207	427	341	291	1194	126	541	310	119	231	374	127	138	144	434	103	104	330	117	
0	0	1	0	1	0	0	0	0	0	2	1	0	0	0	0	4	4	0	1	0	0	0	2	1	0	0	3	0	0	0	0	
0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	2	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	2	0	
0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	
