"УИК №1"	"УИК №2"	"УИК №3"	"УИК №4"	"УИК №5"	"УИК №6"	"УИК №7"	"УИК №8"	"УИК №9"	"УИК №10"	"УИК №11"	"УИК №12"	"УИК №13"	"УИК №14"	"УИК №15"	"УИК №16"	"УИК №17"	"УИК №18"	"УИК №19"	"УИК №20"	"УИК №21"	"УИК №22"	"УИК №23"	"УИК №24"	"УИК №25"	"УИК №26"	"УИК №27"	"УИК №28"	"УИК №29"	"УИК №30"	"УИК №31"	"УИК №32"	"УИК №33"	"УИК №34"	"УИК №35"	"УИК №36"	"УИК №37"	"УИК №38"	"УИК №39"	"УИК №40"	"УИК №781"	
2240	2293	1608	1989	1813	1418	2122	2042	2073	2079	2029	2182	2005	2698	2135	1454	2359	2713	1575	1362	1759	2138	478	1993	955	1440	2642	1636	2177	2254	2375	2399	2517	2619	1611	1566	2386	2237	1534	2265	1417	
2000	2000	1500	1214	1089	1200	1800	941	1800	1800	1800	1900	1094	1557	1266	1300	1381	1672	1008	1200	1600	1900	470	1800	800	818	1543	1067	1415	1399	2100	1460	2300	1509	807	1400	1420	1283	922	1134	1200	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1346	1333	967	1184	1050	669	1154	886	1221	1183	1228	1208	1074	1521	1192	776	1342	1638	990	675	1097	1279	385	1006	533	804	1528	1009	1372	1352	1382	1429	1557	1482	788	887	1404	1231	898	1102	843	
25	15	32	30	39	47	42	55	16	15	19	13	20	36	74	21	39	34	18	27	26	43	5	51	13	14	15	58	43	47	42	31	29	27	19	32	16	52	24	32	5	
629	652	501	0	0	484	604	0	563	602	553	679	0	0	0	503	0	0	0	498	477	578	80	743	254	0	0	0	0	0	676	0	714	0	0	481	0	0	0	0	352	
24	15	32	30	39	47	42	55	16	15	19	13	20	36	74	21	39	34	18	27	26	43	5	51	13	14	15	58	43	43	42	31	29	27	19	32	16	52	24	32	5	
1345	1333	967	1183	1050	669	1154	886	1220	1183	1228	1208	1072	1519	1190	775	1335	1635	987	675	1097	1277	385	1005	533	802	1525	1006	1365	1349	1382	1427	1557	1475	787	872	1396	1227	898	1101	843	
16	13	15	11	7	2	25	6	15	11	12	23	2	4	18	6	24	7	2	9	11	19	4	11	3	5	13	8	20	9	21	20	20	21	4	0	13	10	8	14	6	
1353	1335	984	1202	1082	714	1171	935	1221	1187	1235	1198	1090	1551	1246	790	1350	1662	1003	693	1112	1301	386	1045	543	811	1527	1056	1388	1383	1403	1438	1566	1481	802	904	1399	1269	914	1119	842	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

13	15	10	7	7	4	6	4	8	9	9	12	8	7	12	5	7	7	6	4	5	16	0	7	4	5	17	5	17	5	10	10	13	10	6	7	7	6	10	2	9	
241	264	168	217	152	119	139	139	192	184	185	182	171	224	182	148	256	217	166	93	173	188	54	151	85	123	246	176	234	212	235	234	237	230	155	132	221	197	158	193	155	
55	42	28	60	70	41	72	76	71	82	71	80	81	77	65	48	81	74	39	46	56	73	16	47	30	39	68	57	64	65	46	61	65	73	35	44	48	60	35	50	50	
876	850	680	837	792	500	853	678	865	838	864	824	769	1129	884	533	922	1239	716	504	788	928	277	771	386	582	1073	747	947	985	990	1019	1122	1046	543	647	951	906	630	788	575	
74	77	32	43	28	27	42	20	41	25	44	50	29	58	42	31	40	61	42	22	52	45	21	24	18	22	64	34	54	52	53	43	51	71	39	34	90	35	42	42	30	
8	11	10	11	4	4	5	5	8	8	8	7	8	7	9	5	12	15	5	2	10	12	3	9	2	8	8	5	12	8	15	8	7	8	4	4	10	3	8	7	2	
34	40	23	8	9	8	24	6	17	18	21	19	8	20	13	6	12	22	14	8	11	16	5	12	4	14	21	12	27	23	19	20	18	18	9	9	30	21	10	14	10	
52	36	33	19	20	11	30	7	19	23	33	24	16	29	39	14	20	27	15	14	17	23	10	24	14	18	30	20	33	33	35	43	53	25	11	27	42	41	21	23	11	
