"УИК №201"	"УИК №202"	"УИК №203"	"УИК №204"	"УИК №205"	"УИК №206"	"УИК №207"	"УИК №208"	"УИК №209"	"УИК №210"	"УИК №211"	"УИК №212"	"УИК №213"	"УИК №214"	"УИК №215"	"УИК №216"	"УИК №217"	"УИК №218"	"УИК №219"	"УИК №220"	"УИК №221"	"УИК №222"	
2038	1856	287	165	341	318	116	117	230	223	157	213	134	158	269	221	442	264	175	169	705	610	
1530	1370	220	130	250	230	90	100	180	170	110	155	100	125	220	170	345	200	145	130	580	540	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1155	1015	118	80	146	163	66	38	132	110	75	72	58	74	157	84	224	127	89	92	496	425	
138	145	83	25	74	48	10	11	17	26	14	41	10	23	33	34	43	42	31	24	25	18	
237	210	19	25	30	19	14	51	31	34	21	42	32	28	30	52	78	31	25	14	59	97	
138	145	83	25	74	48	10	11	17	26	14	41	10	23	33	34	43	42	31	24	25	18	
1155	1013	118	80	146	163	66	38	132	110	75	72	58	74	157	84	224	127	89	92	496	425	
20	15	2	2	6	0	0	0	0	0	0	0	0	2	2	1	1	4	0	0	5	2	
1273	1143	199	103	214	211	76	49	149	136	89	113	68	95	188	117	266	165	120	116	516	441	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

6	5	2	0	2	0	0	1	4	3	0	1	0	3	2	0	1	1	0	1	5	3	
206	192	25	14	25	14	5	13	20	28	9	18	6	10	26	19	27	10	13	8	38	38	
97	90	15	5	15	19	3	1	13	9	0	5	10	4	10	11	19	12	12	7	42	38	
934	810	156	84	163	174	68	32	110	95	80	83	52	76	145	86	215	141	94	93	423	355	
12	14	1	0	3	1	0	2	0	1	0	2	0	1	5	0	1	0	1	2	2	3	
9	24	0	0	3	0	0	0	2	0	0	2	0	0	0	1	3	1	0	3	2	3	
8	2	0	0	2	1	0	0	0	0	0	1	0	1	0	0	0	0	0	2	1	1	
1	6	0	0	1	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	3	0	
