"УИК №1801"	"УИК №1802"	"УИК №1803"	"УИК №1804"	"УИК №1805"	"УИК №1806"	"УИК №1807"	"УИК №1808"	"УИК №1809"	"УИК №1810"	"УИК №1811"	"УИК №1812"	"УИК №1813"	"УИК №1814"	"УИК №1815"	"УИК №1816"	"УИК №1817"	"УИК №1818"	"УИК №1819"	"УИК №1820"	"УИК №1821"	"УИК №1822"	"УИК №1823"	"УИК №1824"	"УИК №1825"	"УИК №1826"	"УИК №1827"	"УИК №1828"	"УИК №1829"	"УИК №1830"	"УИК №1831"	"УИК №1832"	"УИК №1833"	"УИК №1834"	"УИК №1835"	"УИК №1836"	"УИК №1837"	
690	662	664	711	723	859	781	737	704	677	761	822	729	773	825	842	757	158	405	351	630	355	165	960	254	294	162	284	280	153	154	660	476	399	181	165	249	
700	700	690	750	700	850	790	750	700	700	800	800	700	750	800	900	800	150	400	350	650	350	160	1000	250	300	150	250	300	120	140	650	470	400	180	150	260	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
554	515	502	589	409	501	465	508	522	489	617	470	428	351	566	397	603	94	294	282	488	245	123	512	168	172	103	190	211	78	85	550	295	293	64	117	148	
35	27	39	13	52	86	129	48	35	40	34	101	84	95	46	104	65	51	84	63	119	49	24	76	20	36	16	44	44	40	43	78	62	27	41	27	23	
111	158	149	148	239	263	196	194	143	171	149	229	188	304	188	399	132	5	22	5	43	56	13	412	62	92	31	16	45	2	12	22	113	80	75	6	89	
35	27	39	13	52	86	129	48	35	40	34	101	84	95	46	104	65	51	84	63	119	49	24	76	20	36	16	44	44	40	43	78	62	27	41	27	23	
554	515	502	589	409	501	465	508	522	489	617	470	428	351	566	397	603	94	294	282	488	245	123	512	168	172	103	190	211	78	85	550	295	293	64	117	148	
2	3	5	7	3	4	5	5	5	0	4	4	5	4	6	0	7	0	1	2	2	0	0	4	2	2	0	1	3	0	0	3	3	0	0	0	0	
587	539	536	595	458	583	589	551	552	529	647	567	507	442	606	501	661	145	377	343	605	294	147	584	186	206	119	233	252	118	128	625	354	320	105	144	171	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

2	3	3	0	4	6	2	2	3	2	1	3	1	1	3	2	5	0	1	3	1	1	1	4	2	0	0	3	0	0	1	2	1	1	2	0	1	
40	28	39	56	53	44	47	56	43	39	50	47	34	46	59	37	26	6	21	17	31	13	11	56	15	21	3	22	17	3	5	24	26	22	23	10	23	
20	26	23	13	31	29	27	29	34	31	25	54	24	34	40	32	61	4	16	15	12	19	2	34	8	11	14	10	15	6	2	22	27	26	9	8	13	
511	470	456	510	361	483	501	454	458	448	560	447	440	341	488	423	560	132	338	305	551	259	130	473	158	172	100	194	218	106	117	568	295	266	69	124	131	
4	7	8	7	4	6	3	2	6	0	1	3	5	7	8	0	5	2	0	1	4	1	1	10	0	2	1	1	0	1	0	3	3	2	0	1	2	
5	3	2	4	1	5	6	3	4	3	3	3	1	4	4	6	2	1	0	2	5	1	1	3	2	0	0	2	2	0	3	3	2	2	2	1	1	
3	0	3	4	3	4	2	4	3	3	4	5	1	8	2	0	1	0	1	0	0	0	1	2	0	0	1	0	0	0	0	1	0	1	0	0	0	
2	2	2	1	1	6	1	1	1	3	3	5	1	1	2	1	1	0	0	0	1	0	0	2	1	0	0	1	0	2	0	2	0	0	0	0	0	
