"УИК №23"	"УИК №24"	"УИК №25"	"УИК №26"	"УИК №27"	"УИК №28"	"УИК №29"	"УИК №30"	"УИК №31"	"УИК №32"	"УИК №33"	"УИК №34"	"УИК №35"	"УИК №36"	"УИК №37"	"УИК №38"	"УИК №39"	"УИК №40"	"УИК №41"	"УИК №42"	"УИК №43"	"УИК №44"	"УИК №45"	"УИК №46"	"УИК №47"	"УИК №48"	"УИК №49"	"УИК №50"	"УИК №51"	"УИК №52"	"УИК №53"	"УИК №54"	"УИК №55"	"УИК №56"	"УИК №57"	"УИК №1192"	
785	962	1741	766	1794	1180	553	1622	1108	1627	1832	1917	1617	1747	415	330	304	506	511	332	513	514	365	337	303	406	315	321	499	101	598	438	619	286	411	82	
800	950	1750	700	1850	1200	550	1650	1150	1650	1850	1950	1650	1750	400	300	300	500	500	300	500	500	350	300	290	400	300	300	450	100	630	400	600	250	350	84	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
412	425	826	373	998	556	262	916	493	905	893	867	894	985	165	117	83	170	222	165	97	213	158	154	126	135	138	90	214	48	285	142	157	68	138	33	
6	20	24	26	29	18	15	31	7	27	20	31	29	13	48	56	56	91	56	16	165	78	43	18	32	73	43	47	60	7	7	63	87	48	47	49	
382	505	900	301	823	626	273	703	650	718	937	1052	727	752	187	127	161	239	222	119	238	209	149	128	132	192	119	163	176	45	338	195	356	134	165	2	
6	20	24	26	29	17	15	31	7	27	20	31	29	13	48	56	56	91	56	16	165	78	43	18	32	73	43	47	60	7	7	63	87	48	47	49	
412	425	826	373	998	556	262	916	493	905	893	867	894	985	165	117	83	170	222	165	97	213	158	154	126	135	138	90	214	48	285	142	157	68	138	33	
3	4	5	7	11	2	0	5	4	9	7	4	13	15	0	1	0	3	4	0	2	2	1	1	1	0	0	1	1	0	4	2	1	0	2	0	
415	441	845	392	1016	571	277	942	496	923	906	894	910	983	213	172	139	258	274	181	260	289	200	171	157	208	181	136	273	55	288	203	243	116	183	82	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

4	5	7	3	17	4	4	9	3	12	11	6	6	6	2	0	1	0	3	1	1	4	0	2	2	2	0	0	2	1	1	0	2	0	2	0	
85	80	171	74	185	115	40	153	77	185	196	192	181	180	33	13	14	38	47	25	19	26	22	29	20	24	14	17	28	4	37	42	33	8	16	4	
46	36	50	29	68	46	38	66	43	61	84	71	58	71	10	15	22	31	20	12	20	24	13	16	4	11	19	13	13	4	30	16	12	4	27	5	
266	306	592	267	706	377	184	688	362	633	585	598	634	687	165	136	97	185	194	141	209	230	162	119	119	170	143	105	222	45	210	145	195	102	131	73	
4	5	12	7	18	9	4	9	3	14	12	7	13	13	0	6	1	2	2	2	5	1	1	1	3	0	3	0	3	0	5	0	0	1	0	0	
1	7	6	6	7	10	2	2	2	8	8	9	8	8	0	1	3	1	5	0	3	3	2	3	8	0	1	1	3	0	2	0	0	0	4	0	
8	0	4	4	11	8	1	7	5	7	9	9	4	12	2	1	1	0	1	0	2	0	0	1	1	1	1	0	1	1	2	0	0	0	3	0	
1	2	3	2	4	2	4	8	1	3	1	2	6	6	1	0	0	1	2	0	1	1	0	0	0	0	0	0	1	0	1	0	1	1	0	0	
