"УИК №346"	"УИК №347"	"УИК №348"	"УИК №349"	"УИК №350"	"УИК №351"	"УИК №352"	"УИК №353"	"УИК №354"	"УИК №355"	"УИК №356"	"УИК №357"	"УИК №358"	"УИК №359"	"УИК №360"	"УИК №361"	"УИК №362"	"УИК №363"	"УИК №364"	"УИК №365"	"УИК №366"	"УИК №367"	"УИК №368"	"УИК №369"	"УИК №370"	"УИК №371"	"УИК №372"	"УИК №373"	"УИК №374"	"УИК №375"	"УИК №376"	"УИК №377"	"УИК №378"	"УИК №379"	"УИК №380"	"УИК №381"	
587	611	1152	1313	1689	1124	1180	1074	1286	1584	1037	258	217	344	577	386	706	609	217	302	305	404	326	330	330	460	136	203	387	268	318	455	368	251	214	164	
500	600	1100	1200	1600	1100	1150	1050	1200	1600	1000	250	200	300	550	350	650	600	200	300	300	400	300	300	300	450	120	200	350	250	300	450	350	230	200	150	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
262	326	576	591	798	645	552	486	701	846	590	140	96	121	225	183	365	283	110	73	98	177	101	177	102	206	69	79	199	97	134	234	49	91	45	87	
29	29	49	140	83	17	41	45	21	43	29	23	32	91	104	47	77	78	32	83	98	35	43	59	76	56	12	43	22	51	30	31	83	61	76	27	
209	245	475	469	719	438	557	519	478	711	381	87	72	88	221	120	208	239	58	144	104	188	156	64	122	188	39	78	129	102	136	185	218	78	79	36	
29	29	49	140	83	17	41	45	21	43	29	23	32	91	104	47	77	78	32	83	98	35	43	59	76	56	12	43	22	51	30	31	83	61	76	27	
262	326	576	591	798	645	552	486	701	846	590	140	96	121	225	183	365	283	110	73	98	177	101	177	102	206	69	79	199	97	134	234	49	91	45	87	
4	2	6	8	8	4	11	8	5	6	10	0	0	0	2	5	0	5	1	0	0	3	0	1	2	4	0	0	0	0	1	2	0	1	0	2	
287	353	619	723	873	658	582	523	717	883	609	163	128	212	327	225	442	356	141	156	196	209	144	235	176	258	81	122	221	148	163	263	132	151	121	112	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

3	2	6	6	6	5	4	3	8	6	7	0	1	3	0	3	2	2	0	3	2	2	0	4	0	1	0	0	0	2	2	3	1	1	0	0	
47	56	81	121	145	103	88	65	120	139	107	18	17	18	43	21	62	45	24	11	10	35	11	15	38	30	4	8	10	13	35	29	9	16	21	6	
17	19	60	78	63	61	37	55	52	57	50	12	7	7	22	25	27	30	12	18	9	12	12	21	7	26	7	15	8	8	25	30	14	17	13	10	
205	256	448	484	624	467	427	375	514	658	426	129	101	181	249	169	341	263	103	121	168	156	120	192	126	201	68	98	197	122	99	192	105	115	87	92	
4	6	5	19	13	9	8	11	7	10	6	2	0	0	5	4	6	6	1	0	4	0	1	0	4	0	1	1	2	0	2	1	0	0	0	2	
9	2	7	3	8	4	7	8	5	6	5	2	2	1	3	0	1	3	0	1	1	1	0	1	0	0	1	0	1	0	0	7	3	0	0	1	
1	6	10	6	6	4	4	4	3	1	7	0	0	1	2	0	2	3	1	1	2	0	0	2	1	0	0	0	1	1	0	0	0	2	0	0	
1	6	2	6	8	5	7	2	8	6	1	0	0	1	3	3	1	4	0	1	0	3	0	0	0	0	0	0	2	2	0	1	0	0	0	1	
