"УИК №434"	"УИК №435"	"УИК №436"	"УИК №437"	"УИК №438"	"УИК №439"	"УИК №440"	"УИК №441"	"УИК №442"	"УИК №443"	"УИК №444"	"УИК №445"	"УИК №446"	"УИК №447"	"УИК №448"	"УИК №449"	"УИК №450"	"УИК №451"	"УИК №452"	"УИК №453"	"УИК №454"	"УИК №455"	"УИК №456"	"УИК №457"	"УИК №458"	"УИК №459"	"УИК №460"	"УИК №461"	"УИК №462"	"УИК №463"	"УИК №464"	"УИК №465"	"УИК №466"	"УИК №467"	"УИК №468"	"УИК №469"	"УИК №470"	"УИК №471"	"УИК №472"	"УИК №473"	"УИК №474"	"УИК №475"	"УИК №476"	"УИК №477"	"УИК №478"	"УИК №479"	"УИК №480"	"УИК №481"	"УИК №482"	"УИК №483"	"УИК №484"	"УИК №485"	"УИК №486"	"УИК №1197"	
2022	1873	1818	2042	1441	203	582	1795	808	1015	1558	1570	1579	1569	1565	1686	1566	1607	1719	1537	2008	1886	1747	1461	1075	1126	1284	1358	1406	1557	1430	1645	925	1580	1042	696	1418	1346	2059	949	315	1931	1891	1397	477	1752	1745	1264	1644	1121	435	337	419	163	
2000	1900	1800	2000	1400	200	580	1800	800	1000	1500	1500	1500	1500	1600	1700	1500	1600	1700	1500	2000	1900	1700	1400	1000	1100	1200	1300	1300	1500	1300	1600	900	1600	1000	650	1400	1300	2000	900	250	1900	1800	1400	450	1700	1700	1200	1600	1100	390	300	380	136	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
920	948	946	1031	642	109	404	860	362	528	760	923	795	841	919	975	937	938	849	886	1188	1125	966	769	509	522	549	679	720	1039	807	900	405	783	410	342	718	657	1311	532	175	1010	950	586	198	988	856	624	720	613	328	159	185	130	
64	22	19	24	18	3	10	27	15	24	38	25	34	31	28	19	19	22	14	11	10	18	14	51	19	30	28	25	42	26	43	164	50	45	71	90	41	86	78	26	38	24	42	19	8	24	32	15	37	25	24	35	69	0	
1016	930	835	945	740	88	166	913	423	448	702	552	671	628	653	706	544	640	837	603	802	757	720	580	472	548	623	596	538	435	450	536	445	772	519	218	641	557	611	342	37	866	808	795	244	688	812	561	843	462	38	106	126	6	
64	22	19	24	18	3	10	27	15	24	38	25	34	31	28	19	19	22	14	11	10	18	14	51	19	30	28	25	42	26	43	164	50	45	71	90	41	86	78	26	38	24	42	19	8	24	32	15	37	25	24	35	69	0	
920	948	945	1027	642	109	404	860	362	528	760	923	795	841	919	974	937	938	849	884	1188	968	965	769	509	522	549	674	720	1039	807	900	405	783	410	342	718	657	1311	532	175	1010	950	586	198	987	856	624	720	613	328	159	185	130	
6	15	15	12	7	1	8	4	7	8	10	10	10	8	7	18	13	10	12	11	20	16	5	8	7	4	5	7	9	16	8	12	15	8	3	6	10	11	18	11	0	20	12	12	1	14	11	8	13	4	1	0	3	0	
978	955	949	1039	653	111	406	883	370	544	788	938	819	864	940	975	943	950	851	884	1178	970	974	812	521	548	572	692	753	1049	842	1052	440	820	478	426	749	732	1371	547	213	1014	980	593	205	997	877	631	744	634	351	194	251	130	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

10	4	4	6	5	3	6	6	1	5	9	11	11	5	9	7	6	7	6	5	11	13	9	5	9	3	8	1	3	2	2	3	3	4	3	4	8	2	3	4	0	11	4	6	3	11	7	2	4	1	4	2	2	1	
135	127	111	100	91	20	48	106	48	69	86	103	102	101	95	122	91	148	116	117	167	138	109	104	75	51	66	111	115	79	87	122	53	78	29	44	67	109	160	45	18	106	123	63	30	137	103	61	65	58	42	33	18	16	
60	70	57	88	52	5	19	60	29	45	64	63	67	52	65	65	57	64	69	67	90	61	65	59	37	45	33	28	46	66	67	91	34	77	38	24	38	30	86	45	12	60	78	45	16	62	51	37	43	32	19	10	6	8	
748	715	740	820	483	78	315	663	268	400	596	724	609	667	733	743	747	691	626	658	855	707	749	622	382	443	443	531	568	874	668	802	343	643	397	345	613	574	1081	438	175	795	743	462	147	749	686	516	618	516	268	146	218	102	
10	12	10	12	10	2	5	12	14	3	13	16	8	14	11	20	21	16	12	16	25	19	12	9	4	2	8	7	9	15	3	13	0	6	4	4	12	7	21	5	2	19	12	5	1	12	13	6	4	7	7	1	1	2	
10	11	15	8	7	0	3	10	5	2	9	9	7	7	10	1	3	9	8	5	12	10	11	3	6	1	8	5	4	5	4	12	4	5	2	3	2	3	10	3	1	7	7	6	0	11	6	3	2	7	3	1	3	0	
3	12	5	5	3	1	6	13	2	6	7	6	8	6	11	7	7	6	8	6	8	6	10	3	6	2	3	7	5	5	6	6	2	3	3	2	6	2	5	3	1	6	8	5	2	7	3	3	3	7	1	0	3	1	
2	4	7	0	2	2	4	13	3	14	4	6	7	12	6	10	11	9	6	10	10	16	9	7	2	1	3	2	3	3	5	3	1	4	2	0	3	5	5	4	4	10	5	1	6	8	8	3	5	6	7	1	0	0	
