"УИК №664"	"УИК №665"	"УИК №666"	"УИК №667"	"УИК №668"	"УИК №669"	"УИК №670"	"УИК №671"	"УИК №672"	"УИК №673"	"УИК №674"	"УИК №675"	"УИК №676"	"УИК №677"	"УИК №678"	"УИК №679"	"УИК №680"	"УИК №681"	"УИК №682"	"УИК №683"	"УИК №684"	"УИК №685"	"УИК №686"	"УИК №687"	"УИК №688"	
2330	1615	610	94	1349	249	189	384	204	60	208	176	194	171	122	121	84	188	255	148	186	51	210	111	174	
2450	1695	635	106	1380	250	217	383	212	59	212	187	207	177	128	119	86	183	262	152	186	53	242	104	169	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1253	921	292	57	651	113	105	204	108	35	117	68	81	86	70	56	47	111	135	101	110	17	107	71	119	
303	95	129	9	265	95	62	142	77	14	55	38	65	54	26	54	23	45	74	26	53	23	39	12	21	
894	679	214	40	464	42	50	37	27	10	40	81	61	37	32	9	16	27	53	25	23	13	96	21	29	
303	95	129	9	265	95	62	142	77	14	55	38	65	54	26	54	23	45	74	26	53	23	39	12	21	
1253	921	292	57	651	113	105	204	108	35	117	68	81	86	70	56	47	111	135	101	110	17	107	71	119	
116	20	5	0	6	0	1	2	1	0	1	0	0	1	0	5	0	0	1	0	0	0	1	1	0	
1440	996	416	66	910	208	166	344	184	49	171	106	146	139	96	105	70	156	208	127	163	40	145	82	140	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

10	5	1	0	6	2	0	2	0	0	0	1	0	1	0	0	0	0	1	0	1	0	0	0	1	
151	202	24	0	76	9	11	32	13	1	5	2	9	6	3	6	0	5	12	4	9	0	23	2	12	
86	76	27	1	67	5	3	12	4	2	5	4	4	2	3	1	1	0	8	4	1	0	6	2	4	
1139	679	353	63	727	190	151	297	164	46	158	97	132	129	90	97	67	150	184	116	150	40	114	78	122	
17	17	6	1	11	0	1	0	2	0	2	0	0	1	0	0	0	0	1	0	0	0	1	0	0	
15	9	2	1	11	1	0	0	1	0	1	0	1	0	0	0	0	1	0	1	2	0	0	0	0	
14	6	2	0	4	0	0	1	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	1	
8	2	1	0	8	1	0	0	0	0	0	1	0	0	0	1	2	0	1	1	0	0	1	0	0	
