"УИК №301"	"УИК №302"	"УИК №303"	"УИК №304"	"УИК №305"	"УИК №306"	"УИК №307"	"УИК №308"	"УИК №309"	"УИК №310"	"УИК №311"	"УИК №312"	"УИК №313"	"УИК №314"	"УИК №315"	"УИК №316"	"УИК №317"	"УИК №318"	"УИК №319"	"УИК №320"	"УИК №321"	"УИК №322"	"УИК №323"	"УИК №324"	"УИК №325"	"УИК №326"	"УИК №327"	"УИК №328"	"УИК №329"	"УИК №330"	"УИК №331"	"УИК №332"	"УИК №333"	"УИК №334"	"УИК №335"	"УИК №336"	"УИК №337"	"УИК №338"	"УИК №339"	"УИК №340"	"УИК №341"	"УИК №342"	"УИК №343"	"УИК №344"	"УИК №345"	"УИК №346"	"УИК №347"	"УИК №348"	"УИК №349"	"УИК №350"	"УИК №351"	"УИК №352"	"УИК №353"	"УИК №354"	"УИК №355"	"УИК №356"	"УИК №357"	"УИК №358"	"УИК №359"	"УИК №360"	"УИК №361"	"УИК №362"	"УИК №363"	"УИК №364"	
1984	2242	2183	1814	1610	1863	1992	1525	2437	1867	2001	2326	2025	1986	2172	1483	1311	1715	1566	2016	1967	1970	720	1060	1381	1474	953	1543	1147	2321	1874	1859	2539	1958	1057	2189	2350	1961	1463	2047	2564	1467	1782	2286	2212	2641	2090	2200	2340	1091	1094	77	1458	1971	2256	1942	531	881	763	257	83	76	81	92	
1800	2000	2000	1800	1600	1800	2000	1500	2200	1800	2000	2300	2000	2000	2000	1400	1200	1700	1500	2000	2000	2000	600	1000	1300	1300	1000	1400	1000	2000	1800	1800	2200	2000	1000	2000	2000	2000	1400	2000	2200	1400	1800	2000	2000	2200	2000	2000	2000	1000	1000	100	1400	1800	2000	1700	500	800	700	300	200	100	200	200	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1203	1329	1314	1124	981	1102	1278	993	1388	1195	1247	1466	1160	1274	1383	866	738	1057	924	1291	1189	1272	388	671	867	905	621	948	639	1364	1073	1094	1534	1248	555	1315	1492	1298	864	1209	1640	901	1080	1392	1377	1665	1268	1443	1438	545	670	75	785	1224	1400	1119	295	431	453	222	79	73	77	91	
35	35	36	19	11	29	29	6	18	12	21	35	20	14	20	47	18	19	30	28	37	23	8	22	15	20	22	13	34	62	72	15	19	14	7	27	31	12	24	26	25	22	11	23	19	11	31	29	20	11	12	0	14	18	27	26	17	2	9	35	0	2	0	0	
562	636	650	657	608	669	693	501	794	593	732	799	820	712	597	487	444	624	546	681	774	705	204	307	418	375	357	439	327	574	655	691	647	738	438	658	477	690	512	765	535	477	709	585	604	524	701	528	542	444	318	25	601	558	573	555	188	367	238	43	121	25	123	109	
35	35	36	19	11	29	29	6	18	12	21	35	20	14	20	47	18	19	30	28	37	23	8	22	15	20	22	13	34	62	72	15	19	14	7	27	31	12	24	26	25	22	11	23	19	11	31	29	20	11	12	0	14	18	27	26	17	2	9	35	0	2	0	0	
1203	1329	1314	1124	981	1102	1278	993	1388	1195	1247	1465	1160	1274	1383	866	738	1057	924	1291	1189	1272	388	671	867	905	621	948	639	1362	1073	1094	1534	1248	555	1315	1492	1298	864	1209	1640	901	1080	1391	1377	1665	1268	1442	1438	545	670	75	785	1224	1400	1119	295	431	453	222	79	73	77	91	
5	18	11	16	12	19	15	14	19	9	12	13	20	15	21	7	10	9	8	15	8	10	3	10	8	10	0	18	6	25	19	15	25	14	4	9	18	15	14	18	24	15	12	24	13	21	20	10	12	6	8	1	5	19	16	10	7	3	6	5	0	0	0	1	
1233	1346	1339	1127	980	1112	1292	985	1387	1198	1256	1487	1160	1273	1382	906	746	1067	946	1304	1218	1285	393	683	874	915	643	943	667	1399	1126	1094	1528	1248	558	1333	1505	1295	874	1217	1641	908	1079	1390	1383	1655	1279	1461	1446	550	674	74	794	1223	1411	1135	305	430	456	252	79	75	77	90	
