"УИК №2701"	"УИК №2702"	"УИК №2703"	"УИК №2704"	"УИК №2705"	"УИК №2706"	"УИК №2707"	"УИК №2708"	"УИК №2709"	"УИК №2710"	"УИК №2711"	"УИК №2712"	"УИК №2713"	"УИК №2714"	"УИК №2715"	"УИК №2716"	"УИК №2717"	"УИК №2718"	"УИК №2719"	"УИК №2720"	"УИК №2721"	"УИК №2722"	"УИК №2723"	"УИК №2724"	"УИК №2725"	"УИК №2726"	
839	240	239	596	235	425	316	1781	941	1673	1373	136	351	172	469	1015	489	659	742	542	647	1315	1183	376	1084	751	
830	230	230	600	230	430	300	1750	950	1700	1350	140	350	180	450	1040	500	650	750	500	640	1300	1150	390	1030	700	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
509	165	112	368	113	245	217	840	615	1096	836	98	249	93	295	627	390	384	395	296	398	910	755	206	679	480	
28	16	18	35	39	63	16	119	33	32	110	14	31	26	27	58	36	26	46	17	26	21	18	19	33	14	
293	49	100	197	78	122	67	791	302	572	404	28	70	61	128	355	74	240	309	187	216	369	377	165	318	206	
28	16	18	35	39	63	16	119	33	32	110	14	31	26	27	58	36	26	46	17	26	21	18	19	33	14	
509	165	112	368	113	245	217	840	615	1096	835	98	249	93	295	627	390	384	395	296	398	910	755	206	679	480	
8	2	0	8	0	4	0	18	4	17	16	2	2	0	4	8	2	4	9	7	6	10	9	0	11	11	
529	179	130	395	152	304	233	941	644	1111	929	110	278	119	318	677	424	406	432	306	418	921	764	225	701	483	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

1	1	2	1	0	2	0	4	1	3	3	0	0	0	0	2	1	2	2	2	2	14	5	2	0	6	
33	3	1	40	16	32	5	88	74	128	63	8	21	6	29	62	21	35	20	21	28	116	104	23	81	53	
39	3	12	32	9	28	6	56	48	73	53	10	6	6	20	44	18	23	26	27	28	45	59	13	40	37	
447	172	110	315	125	236	219	774	500	871	794	91	249	105	266	547	380	341	380	248	353	722	561	179	554	372	
4	0	3	3	1	0	1	4	5	13	7	1	0	0	0	1	1	2	0	2	3	10	15	5	6	4	
1	0	1	1	1	3	1	7	10	14	3	0	2	2	2	11	0	2	3	4	1	6	6	0	12	4	
3	0	0	2	0	2	0	5	3	5	2	0	0	0	1	5	2	0	0	2	1	6	6	2	4	2	
1	0	1	1	0	1	1	3	3	4	4	0	0	0	0	5	1	1	1	0	2	2	8	1	4	5	
