"УИК №2801"	"УИК №2802"	"УИК №2803"	"УИК №2804"	"УИК №2805"	"УИК №2806"	"УИК №2807"	"УИК №2808"	"УИК №2809"	"УИК №2810"	"УИК №2811"	"УИК №2812"	"УИК №2813"	"УИК №2814"	"УИК №2815"	"УИК №2816"	"УИК №2817"	"УИК №2818"	"УИК №2819"	"УИК №2820"	"УИК №2821"	"УИК №2822"	"УИК №2823"	"УИК №2824"	"УИК №2825"	"УИК №2826"	
1435	1584	1076	521	286	107	217	407	316	228	444	317	147	645	377	287	285	269	105	870	312	73	1145	929	542	147	
1464	1619	1102	568	282	107	232	407	319	254	476	332	148	686	391	296	295	280	107	872	316	77	1140	933	543	154	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
804	872	548	252	145	41	113	209	129	113	324	168	72	326	206	162	164	151	57	487	165	28	565	478	228	129	
104	84	45	72	32	14	17	31	44	34	28	29	22	78	88	42	40	33	15	37	21	3	95	47	61	1	
556	663	509	244	105	52	102	167	146	107	124	135	54	282	97	92	91	96	35	348	130	46	480	408	254	24	
104	84	45	72	32	14	17	31	44	34	28	29	22	78	88	42	40	33	15	37	21	3	95	47	61	1	
804	870	548	252	145	41	113	209	129	113	324	168	72	326	206	162	164	151	57	487	165	28	565	478	228	129	
10	12	14	3	4	1	4	1	1	3	0	2	2	1	4	1	0	3	1	11	2	0	6	1	0	1	
898	942	579	321	173	54	126	239	172	144	352	195	92	403	290	203	204	181	71	513	184	31	654	524	289	129	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

2	6	3	1	2	1	1	1	0	0	1	1	0	2	0	1	3	1	1	2	0	0	6	0	1	1	
196	177	106	46	17	6	21	39	38	12	33	49	4	35	26	19	32	19	12	158	50	1	154	156	103	9	
58	58	42	18	15	11	10	25	7	11	15	13	8	19	15	4	12	19	5	21	17	2	61	27	15	10	
623	679	416	252	136	36	91	168	121	121	302	126	80	343	240	178	152	138	51	320	112	28	420	334	168	108	
3	9	4	2	1	0	1	2	2	0	1	3	0	0	4	0	1	0	2	5	2	0	2	2	0	0	
10	7	5	1	0	0	1	0	0	0	0	2	0	0	1	1	1	1	0	5	2	0	8	1	2	0	
2	1	0	0	0	0	1	4	3	0	0	0	0	2	4	0	3	2	0	1	0	0	2	1	0	0	
4	5	3	1	2	0	0	0	1	0	0	1	0	2	0	0	0	1	0	1	1	0	1	3	0	1	
