"УИК №2901"	"УИК №2902"	"УИК №2903"	"УИК №2904"	"УИК №2905"	"УИК №2906"	"УИК №2907"	"УИК №2908"	"УИК №2909"	"УИК №2910"	"УИК №2911"	"УИК №2912"	"УИК №2913"	"УИК №2914"	"УИК №2915"	"УИК №2916"	"УИК №2917"	"УИК №2918"	"УИК №2919"	"УИК №2920"	"УИК №2921"	"УИК №2922"	"УИК №2923"	"УИК №2924"	"УИК №2925"	"УИК №2926"	"УИК №2927"	"УИК №2928"	"УИК №2929"	"УИК №2930"	
2561	1490	1332	2084	1008	1545	552	1815	1150	245	201	680	1681	376	639	447	1559	142	218	1305	667	546	556	764	1912	111	786	228	163	454	
2400	1300	1300	2000	900	1500	560	1700	1100	230	200	740	1700	370	630	460	1600	140	220	1300	670	570	630	770	1900	180	920	240	160	470	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1689	949	831	1316	625	999	354	1082	697	175	142	511	896	226	404	300	836	102	135	894	471	216	413	437	1322	97	575	187	127	265	
83	70	45	172	63	117	69	73	78	20	28	51	150	29	31	41	181	11	15	29	48	139	74	102	167	1	43	12	10	75	
628	281	424	512	212	384	137	545	325	35	30	178	654	115	195	119	583	27	70	377	151	215	143	231	411	82	302	41	23	130	
83	70	45	172	63	117	69	73	78	20	28	51	150	29	31	41	181	11	15	29	48	139	74	102	167	1	43	12	10	75	
1689	949	831	1316	625	999	354	1082	697	175	142	511	896	226	404	300	836	102	135	894	471	216	411	437	1322	97	575	187	127	265	
21	12	14	21	7	23	4	12	15	2	2	8	18	3	8	4	18	1	3	15	4	6	8	2	18	2	16	4	3	5	
1751	1007	862	1467	681	1093	419	1143	760	193	168	554	1028	252	427	337	999	112	147	908	515	349	477	537	1471	96	602	195	134	335	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

11	6	10	12	4	6	1	7	3	3	0	4	5	0	0	0	8	3	0	4	2	0	3	3	12	1	5	3	0	2	
267	179	133	242	114	148	42	157	94	9	32	37	232	49	78	56	99	7	2	179	60	50	53	83	195	17	98	15	6	54	
124	50	60	90	48	79	18	95	65	11	14	37	77	17	28	21	64	4	8	45	24	18	18	35	79	0	22	15	7	22	
1293	740	632	1084	499	836	351	865	583	170	117	466	681	180	315	255	816	96	134	656	416	277	397	409	1152	74	456	158	120	254	
26	10	9	18	0	9	3	6	8	0	1	5	12	1	4	2	3	0	3	6	4	1	1	2	13	2	9	3	0	1	
13	12	6	12	10	6	3	9	3	0	3	3	7	1	1	0	6	2	0	12	5	1	4	1	11	0	4	1	1	1	
11	8	7	4	4	3	1	2	3	0	0	2	6	0	0	2	1	0	0	2	4	2	1	4	5	1	3	0	0	0	
6	2	5	5	2	6	0	2	1	0	1	0	8	4	1	1	2	0	0	4	0	0	0	0	4	1	5	0	0	1	
