"УИК №345"	"УИК №346"	"УИК №347"	"УИК №348"	"УИК №349"	"УИК №350"	"УИК №351"	"УИК №352"	"УИК №353"	"УИК №354"	"УИК №355"	"УИК №356"	"УИК №357"	"УИК №358"	"УИК №359"	"УИК №360"	"УИК №361"	"УИК №362"	"УИК №363"	"УИК №364"	"УИК №365"	"УИК №366"	"УИК №367"	"УИК №368"	"УИК №369"	"УИК №370"	"УИК №371"	"УИК №372"	"УИК №373"	"УИК №374"	"УИК №375"	"УИК №376"	"УИК №377"	"УИК №378"	"УИК №379"	"УИК №380"	"УИК №381"	"УИК №382"	"УИК №383"	"УИК №384"	"УИК №385"	"УИК №386"	"УИК №387"	"УИК №388"	"УИК №389"	"УИК №390"	"УИК №391"	"УИК №392"	"УИК №393"	"УИК №394"	"УИК №395"	"УИК №396"	"УИК №397"	"УИК №398"	"УИК №399"	
1882	1877	2176	1844	2089	1998	1545	2468	2466	2357	1843	1380	1431	1133	2220	2640	2364	2437	2337	1710	2685	2185	2158	1445	2537	2297	1340	2172	820	1448	733	1535	2668	2594	2204	2381	2157	2543	360	2249	2076	2337	423	1822	1097	1094	1783	1469	1249	2326	1866	1986	1327	2428	692	
1800	1800	1417	1800	1507	1900	945	2400	2300	2400	1800	1200	1300	1100	2200	1740	2200	1637	1486	1700	2600	2200	2100	1200	2400	2100	825	2000	700	930	486	1400	2500	2500	2200	2400	1396	2500	300	2100	2000	2300	400	1700	1000	900	1700	1400	1200	2300	1800	1900	1300	2400	600	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1108	1170	1417	1168	1472	1222	888	1395	1606	1389	1105	923	919	654	1476	1679	1550	1602	1429	1051	1617	1438	1391	853	1616	1288	771	1060	446	910	480	956	1552	1552	1287	1500	1342	1635	188	1590	1294	1380	236	1208	756	805	1069	923	796	1396	1096	1307	794	1488	443	
48	62	0	50	35	67	57	83	89	79	78	40	29	64	60	61	17	35	57	41	246	108	35	113	59	186	54	176	24	20	6	65	132	71	72	59	54	37	44	60	48	65	24	48	31	31	40	57	34	71	40	42	40	31	21	
644	568	0	582	0	611	0	922	605	932	617	237	352	382	664	0	633	0	0	608	737	654	674	234	725	626	0	764	230	0	0	379	816	877	841	841	0	828	68	450	658	855	140	444	213	64	591	420	370	833	664	551	466	881	136	
48	62	0	50	35	67	57	83	89	79	78	40	29	64	60	61	17	35	57	41	246	108	35	113	59	186	54	176	24	20	6	65	132	71	72	59	54	37	44	60	48	65	24	48	31	31	40	57	34	71	40	42	40	31	21	
1108	1169	1409	1168	1472	1222	885	1395	1606	1387	1105	923	919	654	1472	1674	1549	1598	1427	1051	1614	1438	1385	849	1616	1288	767	1060	446	909	479	956	1552	1552	1287	1500	1337	1635	188	1590	1293	1380	236	1208	756	805	1069	923	796	1396	1096	1307	792	1488	443	
6	18	8	14	14	26	4	19	23	23	18	10	14	6	25	14	13	12	5	13	17	22	28	11	24	13	8	18	28	5	2	10	19	18	18	36	5	19	0	15	21	13	0	6	10	11	16	6	9	13	15	22	10	17	7	
1150	1213	1401	1204	1493	1263	938	1459	1672	1443	1165	953	934	712	1507	1721	1553	1621	1479	1079	1843	1524	1392	951	1651	1461	813	1218	442	924	483	1011	1665	1605	1341	1523	1386	1653	232	1635	1320	1432	260	1250	777	825	1093	974	821	1454	1121	1327	822	1502	457	
