"УИК №690"	"УИК №691"	"УИК №692"	"УИК №693"	"УИК №694"	"УИК №695"	"УИК №696"	"УИК №697"	"УИК №698"	"УИК №699"	"УИК №700"	"УИК №701"	"УИК №702"	"УИК №703"	"УИК №704"	"УИК №705"	"УИК №706"	"УИК №707"	"УИК №708"	"УИК №709"	"УИК №710"	"УИК №711"	"УИК №712"	"УИК №713"	"УИК №714"	"УИК №715"	"УИК №716"	"УИК №717"	"УИК №718"	"УИК №719"	"УИК №720"	"УИК №721"	"УИК №722"	"УИК №723"	"УИК №724"	"УИК №725"	"УИК №726"	"УИК №727"	"УИК №728"	"УИК №729"	"УИК №730"	"УИК №731"	"УИК №732"	"УИК №733"	"УИК №734"	"УИК №735"	"УИК №736"	"УИК №737"	"УИК №738"	"УИК №739"	"УИК №740"	"УИК №741"	"УИК №742"	"УИК №743"	"УИК №744"	"УИК №745"	"УИК №746"	"УИК №747"	"УИК №748"	"УИК №749"	"УИК №750"	"УИК №751"	"УИК №752"	"УИК №753"	"УИК №754"	
828	1489	1814	1948	2032	857	1870	1854	1168	2545	607	1615	1137	1078	1757	1893	1636	1499	1513	2205	1873	1838	1846	1711	1312	2419	2369	1966	2405	1928	1940	1701	2533	1577	2220	1968	2653	2186	2293	2692	2552	1954	2541	1327	1687	2272	1853	1907	2088	2123	2073	1805	2132	2260	1177	1994	2220	1437	1091	1071	951	402	1168	1110	489	
750	1400	1750	1600	1900	850	1700	1850	1850	2450	550	1550	1100	1000	1750	1900	1600	1450	1450	2200	1850	1750	1850	1700	1300	2400	2300	1900	2400	1850	1900	1700	2500	1550	2200	1900	2700	2150	2300	2650	2500	1800	2500	1300	1650	2200	1750	1850	2100	2100	2050	1700	2050	2200	1150	2000	2200	1400	1000	1000	900	550	1150	1100	466	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
474	788	1093	1440	1485	527	1084	1165	1095	1336	369	989	719	684	1112	1117	998	832	913	1475	1323	1179	1271	1156	919	1723	1489	1397	1702	1343	1180	1074	1645	1036	1479	1330	1804	1473	1465	1772	1566	1254	1660	752	1132	1451	1214	1255	1378	1446	1401	1263	1524	1400	675	1384	1570	890	642	655	552	365	760	695	134	
158	38	37	30	57	33	96	58	73	26	18	60	35	27	45	54	37	50	46	61	26	38	54	32	22	56	49	39	42	25	40	68	47	42	57	67	45	81	47	51	65	31	47	39	44	45	38	48	29	62	64	45	61	47	31	24	38	59	40	44	24	37	39	12	303	
118	574	620	130	358	290	520	627	682	1088	163	501	346	289	593	729	565	568	491	664	501	533	525	512	359	621	762	464	656	482	680	558	808	472	664	503	851	596	788	827	869	515	793	509	474	704	498	547	693	592	585	392	465	753	444	592	592	451	318	301	324	148	351	393	29	
158	38	37	30	57	33	96	58	73	26	18	60	35	27	45	54	37	50	46	61	26	38	54	32	22	56	49	39	42	25	40	68	47	42	57	67	45	81	47	51	65	31	47	39	44	45	38	48	29	62	64	45	61	47	31	24	38	59	40	44	24	37	39	12	303	
474	788	1093	1440	1485	527	1084	1165	1095	1336	369	989	719	684	1112	1117	998	832	913	1475	1323	1179	1271	1156	919	1723	1489	1397	1702	1343	1180	1074	1645	1036	1479	1330	1799	1473	1465	1772	1565	1254	1660	752	1132	1451	1214	1255	1377	1446	1401	1263	1524	1400	675	1384	1566	890	642	655	552	365	760	695	134	
27	9	14	21	29	6	17	14	20	24	3	11	11	11	14	25	8	15	13	18	17	6	17	8	13	17	19	16	20	10	5	12	21	8	28	23	25	10	17	22	17	22	21	10	19	15	31	24	12	20	23	21	13	22	11	16	13	15	9	8	2	3	12	11	1	
605	817	1116	1449	1513	554	1163	1209	1148	1338	384	1038	743	700	1143	1146	1027	867	946	1518	1332	1211	1308	1180	928	1762	1519	1420	1724	1358	1215	1130	1671	1070	1508	1374	1819	1544	1495	1801	1613	1263	1686	781	1157	1481	1221	1279	1394	1488	1442	1287	1572	1425	695	1392	1591	934	673	691	574	399	787	696	436	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

5	4	9	6	5	4	3	12	7	11	4	6	9	2	3	7	3	4	3	16	10	10	7	7	4	13	11	10	7	6	17	7	10	13	12	14	16	8	8	20	11	6	11	2	8	15	7	9	10	14	10	14	14	12	3	17	11	4	8	4	5	2	8	2	7	
31	70	105	163	141	49	106	129	135	181	42	114	98	81	113	125	113	86	125	188	146	130	149	134	119	198	173	141	205	169	134	130	163	108	162	146	205	179	227	204	176	166	204	76	141	201	163	154	175	179	163	160	161	176	79	159	155	104	78	72	62	51	100	82	40	
70	66	96	121	150	49	95	82	91	133	31	95	60	50	82	102	85	80	82	115	90	86	106	85	58	95	104	103	112	98	85	72	118	105	134	102	130	98	79	95	115	85	126	61	85	93	119	101	91	108	102	103	103	115	56	98	96	64	64	65	53	34	48	65	30	
475	647	868	1093	1134	428	926	957	881	973	299	788	537	537	894	864	790	655	695	1146	1030	925	986	903	705	1375	1158	1109	1332	1025	930	870	1317	803	1129	1062	1386	1201	1106	1408	1253	936	1274	624	877	1122	890	952	1055	1107	1110	957	1222	1070	529	1039	1235	719	493	521	430	296	583	501	344	
12	7	15	34	49	13	12	7	14	19	0	13	14	9	19	12	7	22	11	25	17	23	21	14	22	26	23	20	26	17	19	14	23	11	23	20	33	19	26	22	27	36	30	7	13	15	15	22	21	38	21	13	30	14	12	32	30	19	10	13	6	5	26	18	8	
6	6	13	9	11	3	11	10	4	8	3	7	8	6	10	14	12	11	10	4	7	9	17	12	5	15	17	8	13	10	5	10	9	11	11	9	18	12	17	12	8	6	16	5	10	8	11	23	19	10	10	10	17	18	6	11	13	9	5	6	7	3	3	5	3	
3	8	4	11	7	5	6	6	11	7	5	5	5	6	9	9	7	6	10	13	15	13	7	11	9	16	18	12	19	18	15	12	18	13	19	14	13	11	17	25	9	12	10	5	13	18	9	10	11	15	15	13	12	11	3	16	23	7	4	6	7	5	8	10	1	
3	9	6	12	16	3	4	6	5	6	0	10	12	9	13	13	10	3	10	11	17	15	15	14	6	24	15	17	10	15	10	15	13	6	18	7	18	16	15	15	14	16	15	1	10	9	7	8	12	17	11	17	13	9	7	20	28	8	11	4	4	3	11	13	3	
