"УИК №150"	"УИК №151"	"УИК №152"	"УИК №153"	"УИК №154"	"УИК №155"	"УИК №156"	"УИК №157"	"УИК №158"	"УИК №159"	"УИК №160"	"УИК №161"	"УИК №162"	"УИК №163"	"УИК №164"	"УИК №165"	"УИК №166"	"УИК №167"	"УИК №168"	"УИК №169"	"УИК №170"	"УИК №171"	"УИК №172"	"УИК №173"	"УИК №175"	"УИК №176"	"УИК №177"	"УИК №178"	"УИК №179"	"УИК №180"	"УИК №181"	"УИК №183"	"УИК №184"	"УИК №185"	"УИК №186"	"УИК №187"	"УИК №188"	"УИК №189"	"УИК №190"	"УИК №191"	"УИК №192"	"УИК №193"	"УИК №194"	"УИК №195"	"УИК №196"	"УИК №197"	"УИК №198"	"УИК №199"	"УИК №200"	"УИК №201"	"УИК №202"	"УИК №204"	"УИК №205"	"УИК №206"	"УИК №207"	"УИК №208"	
1825	1788	782	442	470	1617	1659	879	776	729	778	937	612	210	329	405	806	782	349	569	784	742	759	362	249	84	269	228	254	163	1224	1162	1314	1358	1493	1611	2176	1637	1620	1610	1553	1353	358	2312	2542	855	376	462	397	299	160	344	352	702	2148	2258	
1840	1660	810	410	460	1620	1630	850	750	750	790	920	520	180	250	400	760	610	310	520	790	740	770	340	240	70	200	210	260	140	1210	1180	1290	1330	1400	1570	2190	1580	1510	1570	1600	1340	340	2190	2460	740	300	450	400	280	167	330	340	630	2130	2190	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
931	1081	443	261	286	1033	1015	556	380	386	424	494	246	126	204	228	435	497	186	307	300	370	504	185	86	60	145	85	83	94	622	675	727	756	862	810	1241	873	821	925	849	663	211	1421	1539	520	178	203	168	125	107	136	124	393	1151	1179	
66	59	31	9	14	58	33	33	46	7	26	29	110	14	22	5	40	29	43	29	85	26	43	25	65	5	39	25	29	23	61	32	77	60	51	42	24	26	79	40	41	30	16	53	51	28	30	26	35	27	20	50	59	47	54	66	
843	520	336	140	160	529	582	261	324	357	340	397	164	40	24	167	285	84	81	184	405	344	223	130	89	5	16	100	148	23	527	473	486	514	487	718	925	681	610	605	710	647	113	716	870	192	92	221	197	128	40	144	157	190	925	945	
66	59	31	9	14	58	33	33	46	7	26	29	110	14	22	5	40	29	43	29	85	26	43	25	65	5	39	25	29	23	61	32	77	60	51	42	24	26	79	40	41	30	16	53	51	28	30	26	35	27	20	50	59	47	54	66	
931	1080	443	261	286	1033	1014	556	380	386	424	494	246	126	204	228	435	497	186	307	300	370	504	185	86	60	145	85	83	94	622	675	727	756	862	810	1241	873	821	925	849	663	211	1421	1537	520	178	203	168	125	107	136	124	393	1151	1179	
28	34	8	5	2	29	15	6	5	3	52	13	11	5	4	2	5	12	7	6	2	2	3	3	3	0	0	0	3	0	12	22	22	15	16	28	28	25	23	28	31	27	3	41	43	17	5	5	4	4	2	0	1	6	29	32	
969	1105	466	265	298	1062	1032	583	421	390	398	510	345	135	222	231	470	514	222	330	383	394	544	207	148	65	184	110	109	117	671	685	782	801	897	824	1237	874	877	937	859	666	224	1433	1545	531	203	224	199	148	125	186	182	434	1176	1213	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

8	0	3	2	2	5	7	1	7	4	4	4	2	2	1	1	0	4	1	1	1	2	2	3	1	0	1	0	0	0	3	6	6	10	3	2	12	1	5	8	12	6	1	20	14	2	0	1	2	0	0	1	1	5	5	8	
110	141	47	27	34	137	124	68	30	44	41	72	37	13	23	29	39	55	24	44	45	33	51	22	8	0	34	12	13	15	89	103	104	114	108	116	152	99	106	136	116	100	28	178	207	96	15	16	31	9	13	18	19	37	108	132	
69	67	30	26	24	84	70	41	31	45	50	41	36	6	16	22	28	33	20	35	43	27	27	23	8	3	23	13	11	6	60	66	48	63	94	66	85	70	52	53	51	60	12	93	81	36	7	10	18	10	3	17	10	25	77	83	
738	856	368	195	225	794	795	447	337	281	294	376	261	113	175	176	389	405	171	240	285	324	446	150	131	62	120	81	85	87	502	486	594	601	664	600	939	669	674	705	658	480	179	1078	1174	381	171	195	146	126	103	146	146	351	943	961	
19	17	7	6	5	21	15	11	5	6	2	5	1	0	2	0	2	7	4	5	5	1	6	4	0	0	3	2	0	2	3	11	15	3	17	12	23	14	6	11	6	9	1	22	35	4	6	2	0	1	0	2	1	7	15	15	
6	7	1	2	5	5	6	4	4	5	2	4	5	0	2	1	3	6	1	2	2	4	5	2	0	0	2	1	0	0	11	2	7	4	5	8	13	5	10	8	8	0	0	14	6	5	0	0	0	0	1	1	1	5	7	6	
12	6	6	5	1	10	10	5	3	4	1	5	1	0	1	0	2	1	1	2	1	1	5	2	0	0	0	1	0	1	1	9	5	1	4	12	9	7	11	8	4	4	0	12	12	3	1	0	1	2	1	1	1	3	13	5	
7	11	4	2	2	6	5	6	4	1	4	3	2	1	2	2	7	3	0	1	1	2	2	1	0	0	1	0	0	6	2	2	3	5	2	8	4	9	13	8	4	7	3	16	16	4	3	0	1	0	4	0	3	1	8	3	
