"УИК №4501"	"УИК №4502"	"УИК №4503"	"УИК №4504"	"УИК №4505"	"УИК №4506"	"УИК №4507"	"УИК №4508"	"УИК №4509"	"УИК №4510"	"УИК №4511"	"УИК №4512"	"УИК №4513"	"УИК №4514"	"УИК №4515"	"УИК №4516"	"УИК №4517"	"УИК №4518"	"УИК №4519"	"УИК №4520"	"УИК №4521"	"УИК №4522"	"УИК №4523"	"УИК №4524"	"УИК №4525"	"УИК №4526"	"УИК №4527"	"УИК №4528"	"УИК №4529"	
848	384	254	399	864	465	278	157	370	1195	354	971	722	353	712	678	417	738	313	1090	253	399	1119	621	1958	834	497	780	585	
850	380	270	400	900	450	270	165	380	1300	370	1200	750	370	780	670	500	750	335	1050	260	400	1150	650	2100	800	500	800	600	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
640	254	119	260	573	265	189	90	200	670	222	428	482	243	480	349	285	412	193	470	111	269	610	346	1202	387	306	519	360	
131	92	44	101	177	90	56	24	101	174	43	255	92	75	132	182	61	108	76	171	71	78	169	100	154	260	86	186	104	
79	34	107	39	150	95	25	51	79	456	105	517	176	52	168	139	154	230	66	409	78	53	371	204	744	153	108	95	136	
131	92	44	101	177	90	56	24	101	174	43	255	92	75	132	182	61	108	76	171	71	78	169	100	154	260	86	186	104	
640	254	119	260	573	265	189	90	200	670	222	428	482	243	480	349	285	412	193	470	111	269	610	346	1202	387	306	519	360	
7	0	0	0	7	12	0	2	2	4	1	3	1	0	4	4	5	3	2	9	0	0	5	3	20	6	0	4	2	
764	346	163	361	743	343	245	112	299	840	264	680	573	318	608	527	341	517	267	632	182	347	774	443	1336	641	392	701	462	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

1	0	1	0	3	0	1	0	2	12	2	11	0	0	11	1	4	2	4	4	0	3	13	5	9	9	3	1	1	
46	39	20	21	64	35	28	9	30	154	41	72	138	23	85	53	65	116	24	145	26	40	197	75	322	94	48	76	30	
30	11	19	31	41	19	4	14	10	62	28	32	30	20	22	16	18	24	17	29	5	15	54	18	108	45	33	23	35	
683	284	123	302	626	285	207	86	246	590	188	551	401	269	481	451	251	365	214	442	151	285	502	336	874	482	301	588	391	
0	5	0	2	4	1	1	0	7	14	0	8	2	2	3	3	2	4	2	3	0	0	1	2	9	3	2	1	2	
2	3	0	5	4	1	4	2	3	1	2	5	1	2	4	2	0	4	5	8	0	3	3	4	4	5	5	5	3	
0	3	0	0	1	0	0	1	1	6	3	0	0	1	2	1	1	0	1	0	0	0	1	1	7	2	0	4	0	
2	1	0	0	0	2	0	0	0	1	0	1	1	1	0	0	0	2	0	1	0	1	3	2	3	1	0	3	0	
