"УИК №371"	"УИК №372"	"УИК №373"	"УИК №374"	"УИК №375"	"УИК №376"	"УИК №377"	"УИК №378"	"УИК №379"	"УИК №380"	"УИК №381"	"УИК №382"	"УИК №383"	"УИК №384"	"УИК №385"	"УИК №386"	"УИК №388"	"УИК №389"	"УИК №390"	"УИК №391"	"УИК №392"	"УИК №393"	"УИК №394"	"УИК №395"	"УИК №396"	"УИК №397"	"УИК №398"	"УИК №399"	"УИК №400"	"УИК №401"	"УИК №402"	"УИК №403"	"УИК №404"	"УИК №405"	"УИК №406"	"УИК №407"	"УИК №408"	"УИК №409"	
1619	1047	1813	1743	1809	250	221	792	119	156	433	202	43	98	105	256	247	276	973	170	74	498	299	628	283	953	1196	994	324	455	126	94	580	900	185	205	508	190	
1590	1050	1820	1780	1810	235	213	781	98	150	445	189	50	95	110	276	225	297	990	188	64	477	302	645	281	945	1200	1000	325	460	129	98	560	930	179	198	530	185	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
916	507	901	822	1024	133	91	432	71	74	228	99	22	34	65	98	73	171	482	86	35	226	168	345	122	462	590	547	158	242	76	37	213	389	128	103	211	84	
91	46	87	62	56	19	27	60	7	16	59	32	3	19	9	65	69	30	64	23	11	32	29	38	44	51	56	36	18	35	7	20	73	114	6	15	68	27	
583	497	832	896	730	83	95	289	20	60	158	58	25	42	36	113	83	96	444	79	18	219	105	262	115	432	554	417	149	183	46	41	274	427	45	80	251	74	
91	46	87	62	56	19	27	60	7	16	59	32	3	19	9	65	69	30	64	23	11	32	29	38	44	51	56	36	18	35	7	20	73	114	6	15	68	27	
916	507	901	822	1024	133	91	432	71	74	228	99	22	34	65	98	73	171	482	86	35	226	168	345	122	462	590	547	158	242	76	37	213	389	128	103	211	84	
6	2	6	6	11	2	1	5	1	2	3	0	0	1	0	2	0	1	7	0	0	1	3	3	0	2	10	5	4	0	0	1	3	6	0	0	1	0	
1001	551	982	878	1069	150	117	487	77	88	284	131	25	52	74	161	142	200	539	109	46	257	194	380	166	511	636	578	172	277	83	56	283	497	134	118	278	111	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

9	0	5	9	5	1	1	5	0	0	1	0	0	1	0	0	1	1	4	0	0	1	1	2	1	4	2	3	0	1	0	0	1	7	1	1	2	1	
156	112	139	131	159	18	16	62	5	2	16	1	2	4	3	24	29	12	56	10	3	16	14	53	11	73	84	83	11	12	7	11	33	64	20	7	43	21	
72	55	83	84	104	11	5	35	8	17	25	17	8	4	4	14	10	20	67	12	4	20	22	43	13	54	44	46	7	26	6	6	18	33	11	6	21	5	
738	366	728	626	770	118	94	373	62	69	235	113	14	42	67	120	96	164	399	86	38	212	145	274	139	370	484	439	152	236	69	37	222	387	101	102	208	83	
12	2	15	11	14	0	0	3	1	0	2	0	0	1	0	1	2	2	5	0	1	4	4	2	2	5	7	3	0	1	1	0	4	1	0	0	3	1	
6	3	3	4	6	0	0	6	1	0	2	0	0	0	0	1	1	0	2	0	0	2	2	5	0	2	1	3	2	0	0	2	4	3	1	0	1	0	
4	5	3	5	6	0	0	2	0	0	3	0	1	0	0	1	0	1	5	0	0	2	2	0	0	2	6	0	0	0	0	0	0	1	0	1	0	0	
4	8	6	8	5	2	1	1	0	0	0	0	0	0	0	0	3	0	1	1	0	0	4	1	0	1	8	1	0	1	0	0	1	1	0	1	0	0	
