"УИК №726"	"УИК №727"	"УИК №728"	"УИК №729"	"УИК №730"	"УИК №731"	"УИК №732"	"УИК №733"	"УИК №734"	"УИК №735"	"УИК №736"	"УИК №737"	"УИК №738"	"УИК №739"	"УИК №740"	"УИК №741"	"УИК №742"	"УИК №743"	"УИК №744"	"УИК №745"	"УИК №746"	"УИК №747"	"УИК №748"	"УИК №749"	"УИК №750"	"УИК №751"	"УИК №752"	"УИК №753"	"УИК №754"	"УИК №755"	"УИК №756"	"УИК №757"	
1007	1031	488	442	860	258	952	846	752	394	189	301	373	244	163	474	180	142	168	259	171	171	496	227	394	288	677	98	657	266	319	263	
1015	1060	509	425	868	182	952	832	770	406	171	283	348	239	150	477	144	140	168	258	178	166	485	233	372	282	677	85	658	253	353	263	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
568	559	338	268	517	143	597	531	401	192	122	153	169	110	63	312	82	82	91	129	120	79	269	109	172	112	387	50	329	79	234	138	
54	27	12	48	28	39	0	0	44	69	35	74	89	72	51	82	34	13	42	68	13	51	118	38	48	61	51	12	100	110	30	36	
393	474	159	109	323	0	355	301	325	145	14	56	90	57	36	83	28	45	35	61	45	36	98	86	153	109	239	23	229	64	89	89	
54	27	12	48	28	39	0	0	44	69	35	74	89	72	51	82	34	13	42	68	13	51	118	38	47	61	51	12	100	110	30	36	
568	559	338	268	516	143	597	530	401	192	122	153	169	110	63	312	82	82	91	129	120	79	269	109	172	112	387	50	329	79	234	138	
10	3	4	4	4	0	1	1	3	1	2	1	1	2	3	0	2	2	2	0	2	7	6	1	0	0	4	1	0	0	1	2	
612	583	346	312	540	182	596	529	442	260	155	226	257	180	111	394	114	93	131	197	131	123	381	146	219	173	434	61	429	189	263	172	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	

8	5	3	2	4	0	4	4	7	1	1	1	2	2	0	1	1	2	2	3	2	0	1	2	0	2	3	0	2	1	1	1	
115	99	63	58	93	24	89	87	52	37	21	16	15	7	15	29	12	16	17	18	9	10	52	8	39	16	34	11	88	34	47	15	
52	46	15	17	46	13	41	46	44	37	12	27	23	18	14	39	13	11	5	30	9	3	42	14	11	11	26	6	28	9	29	16	
415	415	256	226	379	139	443	376	326	178	119	180	209	150	78	319	88	64	100	135	108	108	276	119	166	143	363	41	294	143	173	135	
13	9	1	4	8	1	9	12	3	3	0	1	4	2	1	3	0	0	3	6	1	0	4	0	1	0	3	0	9	1	7	1	
6	5	1	2	3	2	2	1	1	2	0	1	2	0	1	1	0	0	2	2	1	0	1	2	0	0	1	1	3	0	2	0	
0	4	6	2	5	2	7	0	3	1	1	0	1	1	1	0	0	0	0	1	1	1	4	1	0	1	1	1	1	0	3	4	
3	0	1	1	2	1	1	3	6	1	1	0	1	0	1	2	0	0	2	2	0	1	1	0	2	0	3	1	4	1	1	0	
